'bing'shui'wei'zhi'er'han'yu'shui 冰水为之而寒于水
'bu'fu'ting'zhe'rou'shi'zhi'ran'ye 不复挺者輮使之然也
'bu'lin'shen'xi'bu'zhi'di'zhi'hou'ye 不临深溪不知地之厚也
'bu'ru'deng'gao'zhi'bo'jian'ye 不如登高之博见也
'bu'ru'xu'yu'zhi'suo'xue'ye 不如须臾之所学也
'bu'wen'xian'wang'zhi'yi'yan 不闻先王之遗言
'bu'zhi'xue'wen'zhi'da'ye 不知学问之大也
'deng'gao'er'zhao'bi'fei'jia'chang'ye 登高而招臂非加长也
'er'jian'zhe'yuan'shun'feng'er'hu 而见者远顺风而呼
'er'zhi'qian'li'jia'zhou'ji'zhe 而致千里假舟楫者
'fei'neng'shui'ye'er'jue'jiang'he 非能水也而绝江河
'gan'yue'yi'hao'zhi'zi 干越夷貉之子
'gu'bu'deng'gao'shan'bu'zhi'tian'zhi'gao'ye 故不登高山不知天之高也
'gu'mu'shou'sheng'ze'zhi'jin'jiu'li'ze'li 故木受绳则直金就砺则利
'jia'yu'ma'zhe'fei'li'zu'ye 假舆马者非利足也
'jiao'shi'zhi'ran'ye 教使之然也
'jing'gong'er'wei'hao'shi'zheng'zhi 靖共尔位好是正直
'jun'zi'sheng'fei'yi'ye 君子生非异也
'jun'zi'yue'xue'bu'ke'yi'yi 君子曰学不可以已
'mu'zhi'zhong'sheng'rou'yi'wei'lun 木直中绳輮以为轮
'qi'qu'zhong'gui'sui'you'gao'pu 其曲中规虽有槁暴
'qing'qu'zhi'yu'lan'er'qing'yu'lan 青取之于蓝而青于蓝
'shan'jia'yu'wu'ye 善假于物也
'shen'mo'da'yu'hua'dao'fu'mo'chang'yu'wu'huo 神莫大于化道福莫长于无祸
'shen'zhi'ting'zhi'jie'er'jing'fu 神之听之介尔景福
'sheng'er'tong'sheng'chang'er'yi'su 生而同声长而异俗
'sheng'fei'jia'ji'ye'er'wen'zhe'zhang 声非加疾也而闻者彰
'shi'yue'jie'er'jun'zi'wu'heng'an'xi 诗曰嗟尔君子无恒安息
'wu'chang'qi'er'wang'yi 吾尝跂而望矣
'wu'chang'zhong'ri'er'si'yi 吾尝终日而思矣
