'a'di'da'si 阿迪达斯
'a'fu 阿芙
'a'ma'ni 阿玛尼
'ai'di'er 艾迪儿
'ai'er'shi'dan 艾尔诗丹
'ai'fu'er 爱夫尔
'ai'li 爱丽
'ai'ma'shi 爱马仕
'ai'mo'li 爱茉莉
'ai'qi'mei 爱琪美
'ai'qian'kai 艾茜凯
'ai'si'ka'da 爱斯卡达
'ai'si'mei 爱思美
'ai'si'po 艾丝珀
'ai'wen'li 艾文莉
'an'bi'xin 安必信
'an'li 安利
'an'li'ya'zi 安利雅姿
'an'na 安娜
'ao'ba'xun 奥巴讯
'ao'di'shi 奥迪氏
'ao'lan'xue 奥岚雪
'ao'zhi'mei 傲之美
'ba'bao'li 巴宝莉
'ba'li'ou'pan'duo'ping'mei 巴黎欧潘多平美
'ba'li'shi'jia 巴黎世家
'ba'si'luo'man 巴斯洛漫
'bai'cao'ji 佰草集
'bai'dai'fu 白大夫
'bai'fen'bai 百分百
'bai'neng 佰能
'bai'zi 柏姿
'bang'bao'shi 帮宝适
'bao'di'jia 宝迪佳
'bao'jia'li 宝嘉丽
'bao'lai'na 宝莱娜
'bao'luo'shi'mi'si 保罗史密斯
'bao'mei'qi 宝美奇
'bao'xian'jian 保仙健
'bei'bi 贝碧
'bei'de'ma 贝德玛
'bei'ge 蓓格
'bei'jia'si 贝佳斯
'bei'li 蓓丽
'bei'luo 贝罗
'bei'na'tong 贝纳通
'bei'rou 蓓柔
'bei'si'te 贝斯特
'bei'ze'si 蓓泽丝
'ben'liu 奔流
'bi'de'luo'fu 彼得罗夫
'bi'er'bu'la'si 比尔布拉斯
'bi'fu 碧芙
'bi'hua'li 比华利
'bi'ou'quan 碧欧泉
'bi'ou'xun 碧欧薰
'bi'rou 碧柔
'bi'si 碧斯
'bi'xi'zhi'ran'mei'li'chuan'qi 碧皙之然美丽传奇
'biao'ma 彪马
'bo'bi'bu'lang 波比布朗
'bo'lan'te'bo'shi 勃兰特博士
'bo'mei 泊美
'bo'shi 波士
'bu'lan'ni 布兰妮
'cai'qi 采琪
'cai'shi 采诗
'cai'zhuang 彩妆
'chan'zhen 婵真
'chong'ai'zhi'ming 宠爱之名
'chu'sha'di 楚沙迪
'da'bao 大宝
'da'wei'du'fu 大卫杜夫
'dan'ba'bi 丹芭碧
'dan'pai'shi 丹派诗
'de'guo'bai'li'gao 德国柏力高
'de'guo'hai'ma 德国海马
