'ai'zi'bing'tuo'ye'jian'ce 艾滋病唾液检测
'bai'dan'bai 白蛋白
'bai'se'nian'zhu'jun'kang'ti 白色念珠菌抗体
'bai'se'nian'zhu'jun'kang'yuan 白色念珠菌抗原
'bai'xue'bing'mian'yi'fen'xing 白血病免疫分型
'ban'tie'shi'yan 斑贴试验
'cai'xie'guan 采血管
'chuan'ran'xing'shi'bing'jing'jian 传染性虱病镜检
'ci'ji'su 雌激素
'cu'huang'ti'sheng'cheng'su 促黄体生成素
'cu'jin'pao'sheng'cheng'su 促进泡生成素
'cu'shen'shang'xian'pi'zhi'ji'su 促肾上腺皮质激素
'cu'suan'nai'fen'zhi'mei'ran'se 醋酸萘酚酯酶染色
'cui'ru'su 催乳素
'dan'gu'chun 胆固醇
'dan'he'xi'bao'hua'xue'qu'hua'yin'zi 单核细胞化学趋化因子
'dan'hong'su 胆红素
'dan'zhi'suan 胆汁酸
'di'chong'mei'jun'xing'bing'jian'yan 滴虫霉菌性病检验
'di'mi'du'zhi'dan'bai 低密度脂蛋白
'dian'fen'mei 淀粉酶
'ding'suan'nai'fen'zhi'mei'ran'se 丁酸萘酚酯酶染色
'fei'yan'zhi'yuan'ti 肺炎支原体
'gan'you'san'zhi 甘油三酯
'gao'mi'du'zhi'dan'bai 高密度脂蛋白
'ge'lan'shi'yin'xing 革兰氏阴性
'gong'xing'ti'kang'ti'yang'xing'ding'xing 弓形体抗体阳性定性
'gu'bing'zhuan'an'mei 谷丙转氨酶
'gu'cao'zhuan'an'mei 谷草转氨酶
'gu'sui'ju'he'xi'bao'ding'liang'ji'shu'fen'lei'fen'xi 骨髓巨核细胞定量计数分类分析
'gu'sui'xi'bao'xing'tai'xue'zhen'duan'jian'cha 骨髓细胞形态学诊断检查
'guan'xi'ye'chang'gui'jian'cha 灌洗液常规检查
'guo'min'yuan'jian'ce'xi'ru'zu'shi'wu'zu 过敏原检测吸入组食物组
'guo'yang'hua'wu'mei'ran'se 过氧化物酶染色
'hu'xi'dao'bing'du'jian'ce 呼吸道病毒检测
'hua'ban'jun'jing'jian 花斑菌镜检
'ji'gai'dan'bai 肌钙蛋白
'ji'gan 肌酐
'ji'gan'qing'chu'lv 肌酐清除率
'ji'suan'ji'mei 肌酸激酶
'ji'zhi'xi'bao'yuan'xing'yin'zi 基质细胞源性因子
'jia'gan'kang'ti 甲肝抗体
'jia'zhuang'pang'xian'ji'su 甲状旁腺激素
'jian'jie'dan'hong'zhi 间接胆红质
'jian'rui'shi'you'cu'suan'bai'shi'yan 尖锐湿疣醋酸白实验
'jian'xing'lin'suan'mei 碱性磷酸酶
'jie'chuang'jing'jian 疥疮镜检
'jie'he'gan'jun 结核杆菌
'jie'he'yin'ji'shi'yan 结核印迹试验
'ju'shi'xi'bao'gan'ran'qu'hua'yin'zi 巨噬细胞感染趋化因子
'ju'xi'bao'bing'du'kang'ti'ding'xing 巨细胞病毒抗体定性
'jun'tuan'jun'kang'yuan'jian'ce 军团菌抗原检测
'li'xi'bao'ci'ji'yin'zi 粒细胞刺激因子
'lian'qiu'jun'kang'yuan 链球菌抗原
'lin'bing'kuai'su'jian'ce 淋病快速检测
'lin'chuang'xing'tai'xue'zhen'duan'hui'zhen 临床形态学诊断会诊
'lin'qiu'jun 淋球菌
'lin'qiu'jun'pei'yang'qu'cai 淋球菌培养取材
'lv'cu'suan'nai'fen'mei'ran'se 氯醋酸萘酚酶染色
'man'chong'jing'jian 螨虫镜检
'mao'nang'chong'jing'jian 毛囊虫镜检
'mei'du'luo'xuan'ti 梅毒螺旋体
'mian'yi'qiu'dan'bai 免疫球蛋白
'mian'yi'ying'guang'jian'cha 免疫荧光检查
'mian'yi'zu'hua'yan'cha 免疫组化验查
'ming'cheng 名称
'nao'ji'ye'sheng'hua'tang 脑脊液生化糖
'nao'ji'ye'xi'bao'xue'jian'cha 脑脊液细胞学检查
'niao'pi'zhi'chun 尿皮质醇
'niao'rong'mao'mo'cu'xing'fei'xian'ye'su 尿绒毛膜促性肥腺液素
'niao'shen'tou'ya 尿渗透压
'niao'su'dan 尿素氮
'niao'suan 尿酸
'niao'wei'liang'bai'dan'bai'pai'xie'lv 尿微量白蛋白排泄率
'pi'fu'bing'li'huo'jian 皮肤病理活检
'qiang'ding'suan'tuo'qing'mei 羟丁酸脱氢酶
'quan'xue'nian'du 全血黏度
'ru'suan 乳酸
'ru'suan'tuo'qing'mei 乳酸脱氢酶
'shang'pi'xi'bao 上皮细胞
'sheng'zhang'ji'su 生长激素
'si'xiang'you'dao'xue'xiao'ban'ju'ji'gong'neng'ce'shi 四项诱导血小板聚集功能测试
'su'dan'hei'ran'se 苏丹黑染色
'suan'xing'lin'suan'mei 酸性磷酸酶
'suan'xing'lin'suan'mei'he'jiu'shi'suan 酸性磷酸酶和酒石酸
'sui'qiao'jian'xing'dan'bai 髓鞘碱性蛋白
'sui'qiao'jian'xing'dan'bai'kang'ti 髓鞘碱性蛋白抗体
'tai'pan'tang'dan'bai 胎盘糖旦白
'tang'nai'liang'shi'yan 糖耐量实验
'tang'pi'zhi'lei'gu'chun'shou'ti 糖皮质类固醇受体
'tang'yuan'ran'se 糖元染色
'te'yi'xing'zhi'mei'shuang'ran'se 特异性酯酶双染色
'tie'ran'se 铁染色
'tong'gong'mei 同工酶
'xi'bao'ya'qun'ce'ding 细胞亚群测定
'xi'jun'pei'yang 细菌培养
'xian'gan'tuo'an'suan 腺苷脱氨酸
'xing'bing'yi'yuan'ti'kuai'su'jian'ce 性病衣原体快速检测
'xing'bing'zhi'yuan'ti'jian'ce 性病支原体检测
'xiong'shui 胸水
'xue'an 血氨
'xue'guan'jin'zhang'su'zhuan'hua'mei 血管紧张素转化酶
'xue'jiang'tong'xing'ban'guang'an'suan 血浆同型半胱氨酸
'xue'jiang'wei'sheng'su 血浆维生素
'xue'jiang'ye'suan'ce'ding 血浆叶酸测定
'xue'mei 血镁
'xue'niao'tong 血尿铜
'xue'niao'xin 血尿锌
'xue'pi'zhi'chun 血皮质醇
'xue'qi'fen'xi'jia'li'zi'fen'xi 血气分析加离子分析
'xue'qing'dan'bai'dian'yong 血清蛋白电泳
'xue'shen'tou'ya 血渗透压
'xue'tang 血糖
'xue'tu'pian'fen'lei'ji'xing'tai'xue'fen'xi 血涂片分类及形态学分析
'xue'xiao'ban'ju'ji 血小板聚集
'xue'xiao'ban'nian'fu 血小板黏附
'xue'ye'huo'niao'ye'an'ji'suan'fen'xi 血液或尿液氨基酸分析
'yang'he 氧合
'yi'dao'su'kang'ti 胰岛素抗体
'yi'dao'xi'bao'kang'ti 胰岛细胞抗体
'yi'gan'biao'mian'kang'yuan 乙肝表面抗原
'yi'gan'liang'dui'ban 乙肝两对半
'yi'gao'tang'su 胰高糖素
'yi'yuan'ti 衣原体
'zai'zhi'dan'bai 载脂蛋白
'zai'zhi'dan'bai 栽脂蛋白
'zao'lao'su 早老素
'zhen'jun'jing'jian 真菌镜检
'zhen'jun'pei'yang'qu'cai 真菌培养取材
'zhi'fang'mei 脂肪酶
'zhi'jie'dan'hong'zhi 直接胆红质
'zhi'kong 质控
'zhi'yuan'ti 支原体
'zhong'liu'biao'ji'kang'yuan 肿瘤标记抗原
'zhong'xing'li'xi'bao'jian'xing'lin'suan'mei'ran'se 中性粒细胞碱性磷酸酶染色
'zhuan'tai'mei 转肽酶
'zong'dan'bai 总蛋白
'zong'dan'hong'zhi 总胆红质
'zu'fen'qu'dai 组分区带
