'ba'mao'ru'yi'qi'hui'zhen'ji'heng 拔茅茹以其彙貞吉亨
'ba'mao'zhen'ji'zhi'zai'jun'ye 拔茅貞吉志在君也
'bai'ben'wu'jiu 白賁无咎
'bai'ben'wu'jiu'shang'de'zhi'ye 白賁无咎上得志也
'bai'gu'cao'mu'li'hu'tu 百穀草木麗乎土
'bai'ma'han'ru 白馬翰如
'bao'bao'ye'rou'bian'gang'ye 剝剝也柔變剛也
'bao'bu'li'you'you'wang 剝不利有攸往
'bao'cheng'xiao'ren'ji'da'ren'fou'heng 包承小人吉大人否亨
'bao'chuang'yi'bian'mie'zhen'xiong 剝床以辨蔑貞凶
'bao'chuang'yi'bian'wei'you'yu'ye 剝床以辨未有與也
'bao'chuang'yi'fu'qie'jin'zai'ye 剝床以膚切近災也
'bao'chuang'yi'fu'xiong 剝床以膚凶
'bao'chuang'yi'zu'mie'zhen'xiong 剝床以足蔑貞凶
'bao'chuang'yi'zu'yi'mie'xia'ye 剝床以足以滅下也
'bao'he'da'he'nai'li'zhen 保合大和乃利貞
'bao'min'wu'jiang 保民无疆
'bao'shang'yi'hou'xia'an'zhai 剝上以厚下安宅
'bao'xiu 包羞
'bao'xiu'wei'bu'dang'ye 包羞位不當也
'bao'zhi'wu'jiu 剝之无咎
'bao'zhi'wu'jiu'shi'shang'xia'ye 剝之无咎失上下也
'ben'heng 賁亨
'ben'heng'xiao'li'you'you'wang 賁亨小利有攸往
'ben'hu'di'zhe'qin'xia 本乎地者親下
'ben'hu'tian'zhe'qin'shang 本乎天者親上
'ben'qi'xu 賁其須
'ben'qi'xu'yu'shang'xing'ye 賁其須與上興也
'ben'qi'zhi'she'che'er'tu 賁其趾舍車而徒
'ben'ru'po'ru 賁如皤如
'ben'ru'ru'ru'yong'zhen'ji 賁如濡如永貞吉
'ben'yu'qiu'yuan'shu'bo'jian'jian'lin 賁于丘園束帛戔戔吝
'bo'meng'li'yong'xing'ren 發蒙利用刑人
'bu'dang'wei'wei'da'shi'ye 不當位未大失也
'bu'fu'yi'qi'lin 不富以其鄰
'bu'geng'hu'bu'zai'she 不耕穫不菑畬
'bu'geng'hu'wei'fu'ye 不耕穫未富也
'bu'geng'qi'de'huo'cheng'zhi'xiu'zhen'lin 不恆其德或承之羞貞吝
'bu'geng'qi'de'wu'suo'rong'ye 不恆其德无所容也
'bu'jia'shi'ji'yang'xian'ye 不家食吉養賢也
'bu'ke'cheng'ye 不可成也
'bu'ke'ji'zhen 不可疾貞
'bu'ke'she'da'chuan 不可涉大川
'bu'kun'qiong'yi 不困窮矣
'bu'li'dong'bei'qi'dao'qiong'ye 不利東北其道窮也
'bu'li'jun'zi'zhen 不利君子貞
'bu'li'she'da'chuan 不利涉大川
'bu'li'she'da'chuan'ru'yu'yuan'ye 不利涉大川入于淵也
'bu'li'you'you'wang 不利有攸往
'bu'li'you'you'wang'xiao'ren'chang'ye 不利有攸往小人長也
'bu'ming'hui'chu'deng'yu'tian 不明晦初登于天
'bu'neng'tui'bu'neng'sui'bu'xiang'ye 不能退不能遂不詳也
'bu'shi'wang'hou'gao'shang'qi'shi 不事王侯高尚其事
'bu'shi'wang'hou'zhi'ke'ze'ye 不事王侯志可則也
'bu'su'zhi'ke'san'ren'lai'jing'zhi 不速之客三人來敬之
'bu'yan'suo'li'da'yi'zai 不言所利大矣哉
'bu'yi'hu'shi'bu'cheng'hu'ming 不易乎世不成乎名
'bu'yong'suo'shi'song'bu'ke'chang'ye 不永所事訟不可長也
'bu'yuan'fu'wu'qi'hui'yuan'ji 不遠復无祇悔元吉
'bu'yuan'zhi'fu'yi'xiu'shen'ye 不遠之復以脩身也
'bu'zhan'er'yi'yi 不占而已矣
'bu'zhong'ri'zhen'ji'yi'zhong'zheng'ye 不終日貞吉以中正也
'bu'zu'jing'ye 不足敬也
'cheng'ma'ban'ru 乘馬班如
'cheng'qi'yong'fu'ke'gong'ji 乘其墉弗克攻吉
'cheng'qi'yong'yi'fu'ke'ye 乘其墉義弗克也
'chong'chong'wang'lai 憧憧往來
'chong'chong'wang'lai'wei'guang'da'ye 憧憧往來未光大也
'chu'chen'qie'ji 畜臣妾吉
'chu'chen'qie'ji'bu'ke'da'shi'ye 畜臣妾吉不可大事也
'chu'deng'yu'tian'zhao'si'guo'ye 初登于天照四國也
'chu'jiu 初九
'chu'jiu'qian'long'wu'yong 初九潛龍勿用
'chu'jiu'yue 初九曰
'chu'liu 初六
'chu'men'jiao'you'gong'bu'shi'ye 出門交有功不失也
'chu'men'tong'ren'you'shei'jiu'ye 出門同人又誰咎也
'chu'pin'niu'ji'ye 畜牝牛吉也
'chu'ru'wu'ji 出入无疾
'chu'shi'gao'zai'san'dou 初筮告再三瀆
'chu'ti'tuo'ruo'qi'jie'ruo'ji 出涕沱若戚嗟若吉
'da'che'yi'zai'ji'zhong'bu'bai'ye 大車以載積中不敗也
'da'che'yi'zai'you'you'wang'wu'jiu 大車以載有攸往无咎
'da'chu 大畜
'da'chu'li'zhen'bu'jia'shi'ji 大畜利貞不家食吉
'da'die'zhi'jie'xiong 大耋之嗟凶
'da'guan'zai'shang'shun'er'xun 大觀在上順而巽
'da'guo'da'zhe'guo'ye 大過大者過也
'da'guo'dong'nao'li'you'you'wang'heng 大過棟撓利有攸往亨
'da'guo'zhi'shi'da'yi'zai 大過之時大矣哉
'da'heng'yi'zheng'tian'zhi'dao'ye 大亨以正天之道也
'da'heng'yi'zheng'tian'zhi'ming'ye 大亨以正天之命也
'da'jian'peng'lai 大蹇朋來
'da'jian'peng'lai'yi'zhong'jie'ye 大蹇朋來以中節也
'da'jun'zhi'yi'xing'zhong'zhi'wei'ye 大君之宜行中之謂也
'da'ming'zhong'shi'liu'wei'shi'cheng 大明終始六位時成
'da'ren'fou'heng'bu'luan'qun'ye 大人否亨不亂羣也
'da'ren'yi'ji'ming'zhao'yu'si'fang 大人以繼明照于四方
'da'ren'zhi'ji'wei'zheng'dang'ye 大人之吉位正當也
'da'shi'ke'xiang'yu 大師克相遇
'da'shi'xiang'yu'yan'xiang'ke'ye 大師相遇言相克也
'da'wang'xiao'lai 大往小來
'da'you'rou'de'zun'wei 大有柔得尊位
'da'you'shang'ji'zi'tian'you'ye 大有上吉自天祐也
'da'you'yuan'heng 大有元亨
'da'zai'qian'hu 大哉乾乎
'da'zai'qian'yuan'wan'wu'zi'shi 大哉乾元萬物資始
'da'zhong'er'shang'xia'ying'zhi'yue'da'you 大中而上下應之曰大有
'da'zhuang'da'zhe'zhuang'ye 大壯大者壯也
'da'zhuang'li'zhen 大壯利貞
'da'zhuang'li'zhen'da'zhe'zheng'ye 大壯利貞大者正也
'dang'wei'zhen'ji'yi'zheng'bang'ye 當位貞吉以正邦也
'de'bo'er'hua 德博而化
'de'qi'da'shou 得其大首
'de'zhong'er'ying'hu'gang 得中而應乎剛
'de'zhong'er'ying'hu'qian 得中而應乎乾
'di'dao'bei'er'shang'xing 地道卑而上行
'di'dao'bian'ying'er'liu'qian 地道變盈而流謙
'di'jian'shan'chuan'qiu'ling'ye 地險山川丘陵也
'di'yang'chu'fan'bu'neng'tui'bu'neng'sui 羝羊觸藩不能退不能遂
'di'zhong'you'shan'qian 地中有山謙
'dian'yi'fu'jing'yu'qiu'yi'zheng'xiong 顛頤拂經于丘頤征凶
'dian'yi'ji 顛頤吉
'dian'yi'zhi'ji'shang'shi'guang'ye 顛頤之吉上施光也
'dong'er'jian'gang'zhong'er'ying 動而健剛中而應
'dong'er'you'hui'ye 動而有悔也
'dong'hu'jian'zhong 動乎險中
'dong'long'ji'you'ta'lin 棟隆吉有它吝
'dong'long'zhi'ji'bu'nao'hu'xia'ye 棟隆之吉不橈乎下也
'dong'nao'ben'mo'ruo'ye 棟撓本末弱也
'dong'nao'xiong 棟橈凶
'dong'nao'zhi'xiong'bu'ke'yi'you'fu'ye 棟橈之凶不可以有輔也
'dou'ze'bu'gao 瀆則不告
'dou'ze'bu'gao'li'zhen 瀆則不告利貞
'du'li'bu'ju'dun'shi'wu'men 獨立不懼遯世无悶
'dun'fu'wu'hui 敦復无悔
'dun'fu'wu'hui'zhong'yi'zi'kao'ye 敦復无悔中以自考也
'dun'heng'dun'er'heng'ye 遯亨遯而亨也
'dun'heng'xiao'li'zhen 遯亨小利貞
'dun'lin'ji'wu'jiu 敦臨吉无咎
'dun'lin'zhi'ji'zhi'zai'na'ye 敦臨之吉志在內也
'dun'shi'wu'men'bu'jian'shi'er'wu'men 遯世无悶不見是而无悶
'dun'wei'li'wu'yong'you'you'wang 遯尾厲勿用有攸往
'dun'wei'zhi'li'bu'wang'he'zai'ye 遯尾之厲不往何災也
'dun'zhi'shi'yi'da'yi'zai 遯之時義大矣哉
'duo'shi'qian'yan'wang'xing'yi'chu'qi'de 多識前言往行以畜其德
'e'e'yang'shan'shun'tian'xiu'ming 遏惡揚善順天休命
'er'kuang'jian'hou'xing'shi'hu 而況建侯行師乎
'er'kuang'yu'ren'hu 而況於人乎
'er'nv'tong'ju'qi'zhi'bu'tong'xing 二女同居其志不同行
'er'qi'gan'ying'yi'xiang'yu 二氣感應以相與
'er'wei'zhu'yu'na 而爲主於內
'er'ying'jun'zi'zheng'ye 而應君子正也
'fan'fu'qi'dao 反復其道
'fan'jue'bu'lei 藩決不羸
'fan'jue'bu'lei'shang'wang'ye 藩決不羸尚往也
'fan'shen'xiu'de 反身脩德
'fei'dun'wu'bu'li 肥遯无不利
'fei'dun'wu'bu'li'wu'suo'yi'ye 肥遯无不利无所疑也
'fei'kou'hun'gou 匪寇婚媾
'fei'kou'hun'gou'zhong'wu'you'ye 匪寇婚媾終无尤也
'fei'li'fu'lv 非禮弗履
'fei'long'zai'tian 飛龍在天
'fei'long'zai'tian'da'ren'zao'ye 飛龍在天大人造也
'fei'long'zai'tian'li'jian'da'ren 飛龍在天利見大人
'fei'long'zai'tian'shang'zhi'ye 飛龍在天上治也
'fei'qi'peng'wu'jiu 匪其彭无咎
'fei'qi'peng'wu'jiu'ming'bian'zhe'ye 匪其彭无咎明辨晢也
'fei'shi'er'zi 非十二子
'fen'gang'shang'er'wen'rou 分剛上而文柔
'fen'ru'si'ru'qi'ru 焚如死如棄如
'fen'shi'zhi'ya'ji 豶豕之牙吉
'feng'xing'di'shang'guan 風行地上觀
'feng'zi'huo'chu'jia'ren 風自火出家人
'fou'zhi'fei'ren 否之匪人
'fou'zhong'ze'qing'he'ke'chang'ye 否終則傾何可長也
'fu'da'ren'zhe'yu'tian'di'he'qi'de 夫大人者與天地合其德
'fu'fu'fu'fu'er'jia'dao'zheng 夫夫婦婦而家道正
'fu'fu'zi'zi'xiong'xiong'di'di 父父子子兄兄弟弟
'fu'heng 復亨
'fu'heng'gang'fan'dong'er'yi'shun'xing 復亨剛反動而以順行
'fu'ji'ming'yu'an'zhen'bu'shi'ye 復即命渝安貞不失也
'fu'jia'da'ji 富家大吉
'fu'jia'da'ji'shun'zai'wei'ye 富家大吉順在位也
'fu'jing'ju'zhen'ji 拂經居貞吉
'fu'mu'zhi'wei'ye 父母之謂也
'fu'qi'jian'tian'di'zhi'xin'hu 復其見天地之心乎
'fu'ren'ji'fu'zi'xiong 婦人吉夫子凶
'fu'ren'zhen'ji'cong'yi'er'zhong'ye 婦人貞吉從一而終也
'fu'rong'yu'mang'di'gang'ye 伏戎于莽敵剛也
'fu'rong'yu'mang'sheng'qi'gao'ling 伏戎于莽升其高陵
'fu'yi'zhen'xiong 拂頤貞凶
'fu'yu'jia'ji 孚于嘉吉
'fu'yu'jia'ji'wei'zheng'zhong'ye 孚于嘉吉位正中也
'fu'zi'xi'xi'shi'jia'jie'ye 婦子嘻嘻失家節也
'fu'zi'xi'xi'zhong'lin 婦子嘻嘻終吝
'fu'zi'zhi'yi'cong'fu'xiong'ye 夫子制義從婦凶也
'gan'fu'yong'yu'cheng'yi'de'ye 幹父用譽承以德也
'gan'fu'zhi'gu'xiao'you'hui'wu'da'jiu 幹父之蠱小有悔无大咎
'gan'fu'zhi'gu'yi'cheng'kao'ye 幹父之蠱意承考也
'gan'fu'zhi'gu'yong'yu 幹父之蠱用譽
'gan'fu'zhi'gu'you'zi'kao'wu'jiu 幹父之蠱有子考无咎
'gan'fu'zhi'gu'zhong'wu'jiu'ye 幹父之蠱終无咎也
'gan'lin'wei'bu'dang'ye 甘臨位不當也
'gan'lin'wu'you'li'ji'you'zhi'wu'jiu 甘臨无攸利既憂之无咎
'gan'mu'zhi'gu'bu'ke'zhen 幹母之蠱不可貞
'gan'mu'zhi'gu'de'zhong'dao'ye 幹母之蠱得中道也
'gang'dang'wei'er'ying'yu'shi'xing'ye 剛當位而應與時行也
'gang'guo'er'zhong 剛過而中
'gang'jian'du'shi'hui'guang 剛健篤實輝光
'gang'jian'er'bu'xian'qi'yi 剛健而不陷其義
'gang'jian'zhong'zheng'chun'cui'jing'ye 剛健中正純粹精也
'gang'lai'er'de'zhong'ye 剛來而得中也
'gang'rou'fen'dong'er'ming 剛柔分動而明
'gang'rou'shi'jiao'er'nan'sheng 剛柔始交而難生
'gang'shang'er'rou'xia'lei'feng'xiang'yu 剛上而柔下雷風相與
'gang'shang'er'shang'xian 剛上而尚賢
'gang'yi'dong'gu'zhuang 剛以動故壯
'gang'zhong'er'ying 剛中而應
'geng'bu'si'zhong'wei'wang'ye 恆不死中未亡也
'geng'heng'wu'jiu 恆亨无咎
'geng'heng'wu'jiu'li'zhen 恆亨无咎利貞
'geng'jiu'ye 恆久也
'geng'qi'de'zhen 恆其德貞
'geng'wu'jiu'wei'shi'chang'ye 恆无咎未失常也
'gong'yong'heng'yu'tian'zi'xiao'ren'fu'ke 公用亨于天子小人弗克
'gong'yong'heng'yu'tian'zi'xiao'ren'hai'ye 公用亨于天子小人害也
'gu'gang'shang'er'rou'xia 蠱剛上而柔下
'gu'huo'zhi 故或之
'gu'qian'qian'yin'qi'shi'er'ti 故乾乾因其時而惕
'gu'wu'jiu 故无咎
'gu'yuan'heng'er'tian'xia'zhi'ye 蠱元亨而天下治也
'gu'yuan'heng'li'she'da'chuan 蠱元亨利涉大川
'gu'yue'qian'yuan'heng'li'zhen 故曰乾元亨利貞
'guan'guan'er'bu'jian'you'fu'yong'ruo 觀盥而不薦有孚顒若
'guan'guo'zhi'guang'li'yong'bin'yu'wang 觀國之光利用賓于王
'guan'guo'zhi'guang'shang'bin'ye 觀國之光尚賓也
'guan'hu'ren'wen'yi'hua'cheng'tian'xia 觀乎人文以化成天下
'guan'hu'tian'wen'yi'cha'shi'bian 觀乎天文以察時變
'guan'qi'sheng'jun'zi'wu'jiu 觀其生君子无咎
'guan'qi'sheng'zhi'wei'ping'ye 觀其生志未平也
'guan'qi'suo'gan 觀其所感
'guan'qi'suo'geng 觀其所恆
'guan'tian'zhi'shen'dao 觀天之神道
'guan'wo'duo'yi 觀我朵頤
'guan'wo'sheng'guan'min'ye 觀我生觀民也
'guan'wo'sheng'jin'tui 觀我生進退
'guan'wo'sheng'jin'tui'wei'shi'dao'ye 觀我生進退未失道也
'guan'wo'sheng'jun'zi'wu'jiu 觀我生君子无咎
