'a'su'ji'ba 阿速吉八
'ai'xin'jue'luo'fu'lin 爱新觉罗福临
'ai'xin'jue'luo'hong'li 爱新觉罗弘历
'ai'xin'jue'luo'huang'tai'ji 爱新觉罗皇太极
'ai'xin'jue'luo'min'ning 爱新觉罗旻宁
'ai'xin'jue'luo'nu'er'ha'chi 爱新觉罗努尔哈赤
'ai'xin'jue'luo'pu'yi 爱新觉罗溥仪
'ai'xin'jue'luo'xuan'ye 爱新觉罗玄烨
'ai'xin'jue'luo'yi'zhu 爱新觉罗奕詝
'ai'xin'jue'luo'yin'zhen 爱新觉罗胤禛
'ai'xin'jue'luo'yong'yan 爱新觉罗颙琰
'ai'xin'jue'luo'zai'chun 爱新觉罗载淳
'ai'xin'jue'luo'zai'tian 爱新觉罗载湉
'ai'yu'li'ba'li'ba'da 爱育黎拔力八达
'bu'xiang 不降
'cao'cao 曹操
'cao'fang 曹芳
'cao'huan 曹奂
'cao'mao 曹髦
'cao'pi 曹丕
'cao'rui 曹睿
'chai'rong 柴荣
'chai'zong'xun 柴宗训
'chen'ba'xian 陈霸先
'chen'bo'zong 陈伯宗
'chen'qian 陈蒨
'chen'shu'bao 陈叔宝
'chen'xu 陈顼
'chong'hua 重华
'da'hua'xing 大华兴
'da'ming'zhong 大明忠
'da'qian'huang 大虔晃
'da'qin'mao 大钦茂
'da'ren'xiu 大仁秀
'da'song'lin 大嵩璘
'da'wei'jie 大玮瑎
'da'wu'yi 大武艺
'da'xuan'xi 大玄锡
'da'yan'yi 大言义
'da'yi'zhen 大彝震
'da'yin'zhuan 大諲撰
'da'yuan'yi 大元义
'da'yuan'yu 大元瑜
'da'zuo'rong 大祚荣
'di'ku 帝喾
'di'xin 帝辛
'di'yi 帝乙
'di'zhi 帝挚
'duan'sui 段随
'duan'ye 段业
'fang'xun 放勋
'feng'ba 冯跋
'feng'hong 冯弘
'fu'chong 苻崇
'fu'deng 苻登
'fu'hong 苻宏
'fu'hong 苻洪
'fu'jian 苻健
'fu'jian 苻坚
'fu'pi 苻丕
'fu'sheng 苻生
'gao'bao'rong 高宝融
'gao'bao'xu 高保勖
'gao'cong'hui 高从诲
'gao'heng 高恒
'gao'ji'chong 高继冲
'gao'ji'xing 高季兴
'gao'shao'yi 高绍义
'gao'wei 高纬
'gao'xin'shi 高辛氏
'gao'yan 高演
'gao'yan'zong 高延宗
'gao'yang 高洋
'gao'yang'shi 高阳氏
'gao'yin 高殷
'gao'yun 高云
'gao'zhan 高湛
'gui'you 贵由
'guo'wei 郭威
'hai'mi'shi'hou 海迷失后
'hai'shan 海山
'he'dan'jia 河亶甲
'he'lian'bo'bo 赫连勃勃
'he'lian'chang 赫连昌
'he'lian'ding 赫连定
'he'shi'la 和世剌
'hu'bi'lie 忽必烈
'hu'hai 胡亥
'huang'di 黄帝
'ji'ban 姬班
'ji'bian 姬扁
'ji'chang 姬昌
'ji'ding 姬定
'ji'fa 姬发
'ji'gai 姬匄
'ji'gong'sheng 姬宫湦
'ji'gui 姬贵
'ji'hu 姬胡
'ji'hu'qi 姬胡齐
'ji'jian 姬囏
'ji'jiao 姬骄
'ji'jie 姬介
'ji'jing 姬静
'ji'lang 姬阆
'ji'lin 姬林
'ji'man 姬满
'ji'meng 姬猛
'ji'pi'fang 姬辟方
'ji'qu'ji 姬去疾
'ji'ren 姬仁
'ji'ren'chen 姬壬臣
'ji'shu 姬叔
'ji'song 姬诵
'ji'tuo 姬佗
'ji'wei 姬嵬
'ji'wu 姬午
'ji'xi 姬喜
'ji'xia 姬瑕
'ji'xie 姬燮
'ji'xie'xin 姬泄心
'ji'yan 姬延
'ji'yi 姬夷
'ji'yi'hu 姬繄扈
'ji'yi'jiu 姬宜臼
'ji'yu 姬瑜
'ji'zhao 姬钊
'ji'zheng 姬郑
'jin'tian'shi 金天氏
'ju'qu'meng'xun 沮渠蒙逊
'ju'qu'mu'jian 沮渠牧犍
'kang'ding 康丁
'kong'jia 孔甲
'li'an'quan 李安全
'li'ang 李昂
'li'ban 李班
'li'bing'chang 李秉常
'li'chen 李忱
'li'chu 李拀
'li'chun 李纯
'li'chun'you 李纯佑
'li'cong'hou 李从厚
'li'cong'ke 李从珂
'li'cui 李漼
'li'cun'xu 李存勖
'li'dan 李亶
'li'dan 李旦
'li'de'ming 李德明
'li'de'wang 李德旺
'li'gao 李暠
'li'heng 李亨
'li'heng 李恒
'li'ji'qian 李继迁
'li'jing 李璟
'li'liang'zuo 李谅祚
'li'long'ji 李隆基
'li'qi 李期
'li'qian'shun 李乾顺
'li'ren'xiao 李仁孝
'li'sheng 李升
'li'shi 李适
'li'shi 李势
'li'shi'min 李世民
'li'shou 李寿
'li'song 李诵
'li'te 李特
'li'xian 李显
'li'xian 李睍
'li'xin 李歆
'li'xiong 李雄
'li'xuan 李儇
'li'xun 李恂
'li'yan 李炎
'li'ye 李晔
'li'yu 李豫
'li'yu 李煜
'li'yuan 李渊
'li'yuan'hao 李元昊
'li'zhan 李湛
'li'zhi 李治
'li'zhong'mao 李重茂
'li'zi'cheng 李自成
'li'zun'xu 李遵顼
'lin'xin 廪辛
'liu'ao 刘骜
'liu'bang 刘邦
'liu'bao 刘保
'liu'bei 刘备
'liu'bian 刘辩
'liu'bing 刘炳
'liu'can 刘粲
'liu'chan 刘禅
'liu'chang 刘鋹
'liu'che 刘彻
'liu'cheng'you 刘承佑
'liu'cong 刘聪
'liu'da 刘炟
'liu'fen 刘玢
'liu'fu'ling 刘弗陵
'liu'gong 刘恭
'liu'he 刘贺
'liu'heng 刘恒
'liu'hong 刘宏
'liu'hong 刘弘
'liu'hu 刘祜
'liu'huai 刘淮
'liu'ji'en 刘继恩
'liu'ji'yuan 刘继元
'liu'jun 刘钧
'liu'jun 刘骏
'liu'long 刘隆
'liu'min 刘旻
'liu'qi 刘启
'liu'shao 刘劭
'liu'sheng 刘晟
'liu'shi 刘奭
'liu'xie 刘协
'liu'xin 刘欣
'liu'xiu 刘秀
'liu'xuan 刘玄
'liu'xun 刘询
'liu'yan 刘衍
'liu'yan 刘岩
'liu'yao 刘曜
'liu'yi 刘懿
'liu'yi'fu 刘义符
'liu'yi'long 刘义隆
'liu'ying 刘婴
'liu'ying 刘盈
'liu'yu 刘裕
'liu'yu 刘彧
'liu'yu 刘昱
'liu'yuan 刘渊
'liu'zhao 刘肇
'liu'zhi 刘志
'liu'zhi'yuan 刘知远
'liu'zhuang 刘庄
'liu'zi'ye 刘子业
'liu'zuan 刘缵
'lv'guang 吕光
'lv'long 吕隆
'lv'shao 吕绍
'lv'zhi 吕稚
'lv'zuan 吕纂
'ma'nai'zhen'hou 马乃真后
'ma'xi'chong 马希崇
'ma'xi'e 马希萼
'ma'xi'fan 马希范
'ma'xi'guang 马希广
'ma'xi'sheng 马希声
'ma'yin 马殷
'meng'chang 孟昶
'meng'ge 蒙哥
'meng'zhi'xiang 孟知祥
'mu'rong'bao 慕容宝
'mu'rong'chao 慕容超
'mu'rong'chong 慕容冲
'mu'rong'chui 慕容垂
'mu'rong'de 慕容德
'mu'rong'hong 慕容泓
'mu'rong'huang 慕容皝
'mu'rong'ji 慕容觊
'mu'rong'jun 慕容儁
'mu'rong'sheng 慕容盛
'mu'rong'wang 慕容望
'mu'rong'wei 慕容廆
'mu'rong'wei 慕容暐
'mu'rong'xi 慕容熙
'mu'rong'yong 慕容永
'mu'rong'zhong 慕容忠
'nan'geng 南庚
'nian'hao'cheng'hua 年号成化
'nian'hao'chong'zhen 年号崇祯
'nian'hao'hong'wu 年号洪武
'nian'hao'hong'xi 年号洪熙
'nian'hao'hong'zhi 年号弘治
'nian'hao'jia'jing 年号嘉靖
'nian'hao'jian'wen 年号建文
'nian'hao'jing'tai 年号景泰
'nian'hao'long'qing 年号隆庆
'nian'hao'tai'chang 年号泰昌
'nian'hao'tian'qi 年号天启
'nian'hao'wan'li 年号万历
'nian'hao'xuan'de 年号宣德
'nian'hao'yong'le 年号永乐
'nian'hao'zheng'de 年号正德
'nian'hao'zheng'tong'tian'shun 年号正统天顺
'pan'geng 盘庚
'qi'fu'chi'pan 乞伏炽盘
'qi'fu'guo'ren 乞伏国仁
'qi'fu'mu'mo 乞伏慕末
'qi'fu'qian'gui 乞伏乾归
'qian'hong'chu 钱弘俶
'qian'hong'zong 钱弘倧
'qian'hong'zuo 钱弘佐
'qian'liu 钱鏐
'qian'yuan'guan 钱元瓘
'ran'min 冉闵
'shao'hao 少昊
'shao'kang 少康
'shen'nong'shi 神农氏
'shi'hong 石弘
'shi'hu 石虎
'shi'jian 石鉴
'shi'jing'tang 石敬瑭
'shi'le 石勒
'shi'shi 石世
'shi'zhi 石祗
'shi'zhong'gui 石重贵
'shi'zun 石尊
'shu'lv'ping 述律平
'shuo'de'ba'la 硕德八剌
'si'ma'chi 司马炽
'si'ma'dan 司马聃
'si'ma'de'wen 司马德文
'si'ma'de'zong 司马德宗
'si'ma'pi 司马丕
'si'ma'rui 司马睿
'si'ma'shao 司马绍
'si'ma'shi 司马师
'si'ma'yan 司马衍
'si'ma'yan 司马炎
'si'ma'yao 司马曜
'si'ma'ye 司马邺
'si'ma'yi 司马奕
'si'ma'yi 司马懿
'si'ma'yu 司马昱
'si'ma'yue 司马岳
'si'ma'zhao 司马昭
'si'ma'zhong 司马衷
'sun'ce 孙策
'sun'hao 孙皓
'sun'liang 孙亮
'sun'quan 孙权
'sun'xiu 孙休
'tai'ding 太丁
'tai'geng 太庚
'tai'jia 太甲
'tai'kang 太康
'tai'wu 太戊
'tang'yao 唐尧
'tie'mu'er 铁穆耳
'tie'mu'zhen 铁木真
'tu'fa'li'lu'gu 秃发利鹿孤
'tu'fa'nu'tan 秃发傉檀
'tu'fa'wu'gu 秃发乌孤
'tu'tie'mu'er 图帖睦尔
'tu'yu'hun 吐谷浑
'tuo'ba'gui 拓跋珪
'tuo'ba'he'na 拓跋纥那
'tuo'ba'he'nu 拓跋贺傉
'tuo'ba'hong 拓跋弘
'tuo'ba'jun 拓跋浚
'tuo'ba'kuo 拓跋廓
'tuo'ba'pu'gen 拓跋普根
'tuo'ba'shen'yi'jian 拓跋什翼犍
'tuo'ba'shi'sheng 拓跋始生
'tuo'ba'si 拓跋嗣
'tuo'ba'tao 拓跋焘
'tuo'ba'yi'huai 拓跋翳槐
'tuo'ba'yi'lu 拓跋猗卢
'tuo'ba'yu 拓跋余
'tuo'ba'yu'lv 拓跋郁律
'tuo'guan'tie'mu'er 妥懽帖睦尔
'tuo'lei 拖雷
'wai'bing 外丙
'wai'ren 外壬
'wan'yan'a'gu'da 完颜阿骨打
'wan'yan'cheng'lin 完颜承麟
'wan'yan'dan 完颜亶
'wan'yan'jing 完颜璟
'wan'yan'liang 完颜亮
'wan'yan'sheng 完颜晟
'wan'yan'shou'xu 宛颜守绪
'wan'yan'xun 完颜珣
'wan'yan'yong 完颜雍
'wan'yan'yong'ji 完颜永济
'wang'chang 王昶
'wang'jian 王建
'wang'mang 王莽
'wang'shen'zhi 王审知
'wang'xi 王曦
'wang'yan 王衍
'wang'yan'han 王延翰
'wang'yan'jun 王延钧
'wang'yan'zheng 王延政
'wen'ding 文丁
'wo'ding 沃丁
'wo'jia 沃甲
'wo'kuo'tai 窝阔台
'wu'ding 武丁
'wu'yi 武乙
'wu'ze'tian 武则天
'wu'zhao 武曌
'xiao'bao'juan 萧宝卷
'xiao'bao'rong 萧宝融
'xiao'chuo 萧绰
'xiao'cong 萧琮
'xiao'dao'cheng 萧道成
'xiao'dong 萧栋
