'chi'lun'you'beng'sun'huai 齿轮油泵损坏
'da'lian'tiao'duan'lie 大链条断裂
'da'men'lou'fen'huan'pan'gen 大门漏粉换盘根
'dong'ye'sun'huai 动叶损坏
'hou'pan'jin'yi'wu 后盘进异物
'ji'ke'mo'lou 机壳磨漏
'jian'su'ji'chi'lun'chao'yue'ou'he'qi'sun'huai 减速机齿轮超越偶合器损坏
'jian'su'ji'sun'huai 减速机损坏
'kong'lv'qi'du 空滤器堵
'lian'tiao'tuo'gui 链条脱轨
'lou'fen 漏粉
'lv'wang'du 滤网堵
'mo'chao'wen'shao'sun 磨超温烧损
'pai'qi'wen'du'gao'ya'li'gao 排气温度高压力高
'qian'pan'jin'yi'wu 前盘进异物
'ru'kou'dang'ban'gu'zhang 入口挡板故障
'ru'kou'dang'ban'jiao'lian'sun'huai 入口挡板铰链损坏
'shuai'you'huan'sun'huai 甩油环损坏
'tui'li'wa'shao'sun 推力瓦烧损
'xiao'lian'tiao'duan'lie 小链条断裂
'xuan'zhuan'you'feng'sun'huai 旋转油封损坏
'ya'jiao'chu'jiao 压礁除礁
'ye'lun'song'dong 叶轮松动
'ye'ya'gang'gu'zhang'dong'ye'da'bu'kai 液压缸故障动叶打不开
'you'beng'ji'jian'sun'huai 油泵及键损坏
'you'beng'lou'you 油泵漏油
'you'lv'xin'du 油滤芯堵
'you'wei'di 油位低
'zhen'dong'da 振动大
'zhi'cheng'zhou'cheng'dao'xiang'zhou'cheng'leng'que'you'beng'sun'huai 支撑轴承导向轴承冷却油泵损坏
'zhou'cheng'sun'huai 轴承损坏
'zhou'wa'shao'sun 轴瓦烧损
'zi'mi'feng'shan'xing'ban'gua'mi'feng'pian 自密封扇形板刮密封片
