'bai'zi'hua 白子画
'ban'shu 班淑
'bao'zheng 包拯
'bi'qing 必清
'chen'chang'sheng 陈长生
'chu'qiao 楚乔
'dao'ji 道济
'di'ren'jie 狄仁杰
'er'kang 尔康
'er'tai 尔泰
'fang'shi'yu 方世玉
'gong'sun'ce 公孙策
'guang'liang 广亮
'guo'jing 郭靖
'hua'qian'gu 花千骨
'hua'wu'que 花无缺
'huang'rong 黄蓉
'jiang'xiao'yu 江小鱼
'jiang'zi'ya 姜子牙
'jing'tian 景天
'li'ma 李马
'li'wei'yang 李未央
'li'xiao'yao 李逍遥
'li'xiu'yuan 李修缘
'li'xun'huan 李寻欢
'li'yuan'fang 李元芳
'mi'yue 芈月
'sha'seng 沙僧
'shen'xing'yi 沈星移
'song'yu'die 宋玉蝶
'su'da'ji 苏妲己
'sun'wu'kong 孙悟空
'tang'san'zang 唐三藏
'tang'xue'jian 唐雪见
'tie'xin'lan 铁心兰
'tuo'ba'jun 拓跋浚
'wang'bao'chuan 王宝钏
'wei'qing 卫青
'wu'a'ge 五阿哥
'wu'pin 吴聘
'xiao'long'nv 小龙女
'xiao'yan'zi 小燕子
'xu'you'rong 徐有容
'xue'ping'gui 薛平贵
'yang'guo 杨过
'yi'xiao'chuan 易小川
'yong'qi 永琪
'yu'shu 玉漱
'yu'wen'yue 宇文玥
'zhan'zhao 展昭
'zhao'ling'er 赵灵儿
'zhao'zi'long 赵子龙
'zhen'huan 甄嬛
'zhou'ying 周莹
'zhu'ba'jie 猪八戒
'zi'wei 紫薇
