'bai'bian'xing'jun 百变星君
'bai'kai'nan 白凯南
'cai'guo'qing 蔡国庆
'cao'yun'jin 曹云金
'chang'yuan 常远
'chen'han'dian 陈汉典
'chi'zi 池子
'chu'pin'ren 出品人
'da'zhang'wei 大张伟
'duan'zi 段子
'fa'piao'feng'bo 发票风波
'feng'huang'chuan'qi 凤凰传奇
'gong'lin'na 龚琳娜
'han'qiao'sheng 韩乔生
'he'jie 何洁
'he'zi'ming 赫子铭
'hua'ju'yan'yuan 话剧演员
'huang'ting'ting 黄婷婷
'huang'zi'jiao 黄子佼
'jia'chang 假唱
'jia'ling 贾玲
'jiao'shou'yi'xiao'xing 叫兽易小星
'jing'du'nian'ci'an 京都念慈菴
'kong'lian'shun 孔连顺
'li'ai 李艾
'li'chen 李晨
'li'dan 李诞
'li'tian'you 李天佑
'li'xiang 李湘
'li'xiao'lu 李小璐
'li'ya'nan 李亚男
'li'yu'chun 李宇春
'li'yu'gang 李玉刚
'ling'hua 玲花
'liu'neng 刘能
'liu'wei 刘维
'lu'han 鹿晗
'ma'rui 马睿
'ma'yun 马云
'mei'shi 美式
'mei'shi'tuo'kou'xiu 美式脱口秀
'nian'ci'an 念慈菴
'ning'jing 宁静
'qi'pa'shuo 奇葩说
'qu'ying 瞿颖
'sha'bao'liang 沙宝亮
'sha'yi 沙溢
'shen'ling 沈凌
'shen'qu 神曲
'shen'yu'lin 沈玉琳
'shi'hang 史航
'su'xing 苏醒
'tan'te 忐忑
'tang'guo'qiang 唐国强
'teng'xun'shi'pin 腾讯视频
'tian'xin 甜馨
'tian'you 天佑
'tu'cao 吐槽
'tuo'kou'xiu 脱口秀
'wang'fei 王菲
'wang'gang 王刚
'wang'jian'guo 王建国
'wang'xiao'li 王小利
'wang'zi'jian 王自健
'wang'zong 网综
'wang'zu'lan 王祖蓝
'wu'mo'chou 吴莫愁
'xi'ju 喜剧
'xian'xiang'ji'zong'yi 现象级综艺
'xiang'sheng 相声
'xiao'guo'wen'hua 笑果文化
'xiao'shen'yang 小沈阳
'xiao'xian'rou 小鲜肉
'xie'na 谢娜
'xu'hao 徐浩
'xue'zhi'qian 薛之谦
'yan'yuan 演员
'yi'jie'zhi'zheng 一姐之争
'yu'chi'lin'jia 尉迟琳嘉
'zeng'yi 曾毅
'zhang'ben'yu 张本煜
'zhang'da'da 张大大
'zhang'liang 张亮
'zhang'shao'gang 张绍刚
'zhang'tie'lin 张铁林
'zhao'zheng'ping 赵正平
'zheng'kai 郑恺
'zhi'pian'ren 制片人
'zhou'jie 周杰
'zhou'wei'tong 周韦彤
'zhu'chi'ren 主持人
'zhu'zhen 朱桢
