'a'er'fa 阿尔法
'a'er'fa'chang'pian 阿尔法唱片
'ai'qing'fu'lu 爱情俘虏
'ai'qing'xuan'ya 爱情悬崖
'ai'zai'xi'yuan'qian 爱在西元前
'ai'zuo'meng'de'yu 爱做梦的鱼
'an'hao 暗号
'an'jing 安静
'ba'du'kong'jian 八度空间
'ba'wo'hui'lai'le 爸我回来了
'bai'se'feng'che 白色风车
'bai'se'yu'mao 白色羽毛
'ban'dao'tie'he 半岛铁盒
'ban'shou'ren 半兽人
'bao'yi'bao 抱一抱
'bei'dou'xing 北斗星
'bei'shang'de'xie'dui'mian 悲伤的斜对面
'bu'ai'wo'de'hua'mian 不爱我的画面
'bu'gao'er'bie 不告而别
'bu'hui'ku'de'ren 不会哭的人
'bu'la'ge'guang'chang 布拉格广场
'bu'neng'shuo'de'mi'mi 不能说的秘密
'bu'shi'bu'xiang 不是不想
'chang'ge'de'ren'zui'kuai'le 唱歌的人最快乐
'che'ling 扯铃
'chu'dian 触电
'cui'lei 催泪
'da'guan'lan 大灌篮
'da'kai'ai 打开爱
'da'sheng'jiang'chu'xin'nei'de'hua 大声讲出心内的话
'dan'jiang'zhong'xue 淡江中学
'dao'dai 倒带
'dao'di'shui'shi'yi 到底谁是伊
'dao'feng'bian'yuan 刀锋边缘
'dao'ma'dan 刀马旦
'dao'xiang 稻香
'di'yu'tian'shi 地狱天使
'dian'deng'pao 点灯泡
'ding'shi'zha'dan 定时炸弹
'dong'feng'po 东风破
'dong'xin 动心
'dou'niu 斗牛
'du'guo'zhang 杜国璋
'duan'le'de'xian 断了的弦
'dui'bu'qi 对不起
'er'bian'feng 耳边风
'er'leng'zi 二楞子
'fa'ru'xue 发如雪
'fa'tang 发烫
'fan'fang'xiang'de'zhong 反方向的钟
'fan'te'xi 范特西
'fang'shi'jie 方世杰
'fang'wen'shan 方文山
'fen'lie 分裂
'feng'kuang'cai'ge'zhou'jie'lun'ban 疯狂猜歌周杰伦版
'ge'qian 搁浅
'gei'wo'yi'shou'ge'de'shi'jian 给我一首歌的时间
'guan'lan 灌篮
'gui'ji 轨迹
'gui'lun'mei 桂纶镁
'ha'la 哈啦
'hai'dao 海盗
'he'bin'gong'yuan 河滨公园
'hei'se'mao'yi 黑色毛衣
'hei'se'you'mo 黑色幽默
'hei'yu 黑雨
'hong'mo'fang 红模仿
'hu'tong'li'de'mao 胡同里的猫
'hu'tong'li'you'zhi'mao 胡同里有只猫
'hua'hai 花海
'huang'jin'jia 黄金甲
'hui'dao'guo'qu 回到过去
'huo'che'dao'wei'qu 火车叨位去
'huo'xu'ni'shi'dui'de 或许你是对的
'ji'pai'fan 鸡排饭
'jian'dan'ai 简单爱
'jiang'jun 将军
'jie'kou 借口
'jie'ni'shui'le'ma 姐你睡了吗
'jie'wei'er 杰威尔
'ju'hua'tai 菊花台
'kai'bu'liao'kou 开不了口
'kang'jin'rong 康晋荣
'ke'ai'nv'ren 可爱女人
'kuai'guo'qi'de'cao'mei 快过期的草莓
'kun'shou'zhi'dou 困兽之斗
'lan'se'feng'bao 蓝色风暴
'lang'man'shou'ji 浪漫手机
'liang'ge'ji'mo 两个寂寞
'liu'lang'che'piao 流浪车票
'liu'zhuang'shi 六壮士
'long'juan'feng 龙卷风
'long'quan 龙拳
'long'zhan'qi'shi 龙战骑士
'luan'wu'chun'qiu 乱舞春秋
'luo'yu'sheng 落雨声
'mai'ya'tang 麦芽糖
'man'ge 慢歌
'mi'die'xiang 迷迭香
'mi'lan'de'xiao'tie'jiang 米兰的小铁匠
'mian'ju 面具
'mo'jie'zuo 魔杰座
'ni'bi'cong'qian'kuai'le 你比从前快乐
'ni'lin 逆鳞
'ni'ting'de'dao 你听得到
'ni'zou 你走
'niang'zi 娘子
'niu'zai'hen'mang 牛仔很忙
'nuo'fu 懦夫
'piao'yi 飘移
'ping'heng'dian 平衡点
'pu'gong'ying'de'yue'ding 蒲公英的约定
'qi'li'xiang 七里香
'qi'shi'jing'shen 骑士精神
'qian'li'zhi'wai'ben'cao'gang'mu 千里之外本草纲目
'qiao'ke'shu'shu 乔克叔叔
'qing'hua 情画
'qing'tian 晴天
're'dai'yu'lin 热带雨林
'ren'zhe 忍者
'rong'yi'po'sui'de'xin 容易破碎的心
'san'mian'san'ri 三眠三日
'san'nian'er'ban 三年二班
'shan'hu'hai 珊瑚海
'shang'hai'yi'jiu'si'san 上海一九四三
'she'wu 蛇舞
'shi'jie'mo'ri 世界末日
'shi'yi'yue'de'xiao'bang 十一月的萧邦
'shua'hua'yang 耍花样
'shuang'dao 双刀
'shuang'jie'gun 双截棍
'shui'shi'bai'chi 谁是白痴
'shuo'hao'de'xing'fu'ne 说好的幸福呢
'si'mian'chu'ge 四面楚歌
'suan'ming 算命
'ta'de'jie'mao 她的睫毛
'ti'tian 梯田
'ting'ma'ma'de'hua 听妈妈的话
'tong'yi'zhong'diao'diao 同一种调调
'tou'wen'zi 头文字
'tui'hou 退后
'tui'rang 退让
'wa'jie 瓦解
'wai'po 外婆
'wan'mei'zhu'yi 完美主义
'wei'lian'gu'bao 威廉古堡
'wen'lan 温岚
'wen'rou'huai'nan'ren 温柔坏男人
'wo'ai'de'ren 我爱的人
'wo'bu'pei 我不配
'wo'de'di'pan 我的地盘
'wo'hen'mang 我很忙
'wo'jiu'shi'wang'bu'diao'zhao'kuai'le'de'ren 我就是忘不掉找快乐的人
'wo'niu 蜗牛
'wu'ding 屋顶
'wu'yu'lun'bi'wei'jie'chen'lun 无与伦比为杰沉沦
'wu'zong'xian 吴宗宪
'xi'huan'zhe'yang'zi 喜欢这样子
'xia'le'long'le 瞎了聋了
'xia'tian'de'feng 夏天的风
'xiang'si'shi'sha'mi 相思是啥咪
'xin'yu 心雨
'xing'qing 星晴
'xu'ruo'xuan 徐若瑄
'xun'zhao'zhou'jie'lun 寻找周杰伦
'yan'lei'zhi'dao 眼泪知道
'ye'de'di'qi'zhang 夜的第七章
'ye'hai'zi 野孩子
'ye'hui'mei 叶惠美
'ye'kong'de'jing'ling 夜空的精灵
'ye'qu 夜曲
'ye'ye'pao'de'cha 爷爷泡的茶
'yi'ding'yao'xing'fu 一定要幸福
'yi'fu'zhi'ming 以父之名
'yi'hu'xiang'chou 一壶乡愁
'yi'lu'xiang'bei 一路向北
'yi'ran'fan'te'xi 依然范特西
'yi'si'tan'bao 伊斯坦堡
'yin'di'an'lao'ban'jiu 印地安老斑鸠
'yuan'jia 冤家
'yuan'you'hui 园游会
'yue'guang 月光
'zhan'zai'ni'zhe'bian 站在你这边
'zhan'zheng 战争
'zhi'zhan'zhi'shang 止战之殇
'zhong'shang'de'han'shui 重伤的汗水
'zhong'sheng'yuan 众生缘
'zhou'da'xia 周大侠
'zhou'dong 周董
'zhou'jie'lun 周杰伦
'zhu'wo'sheng'ri'kuai'le 祝我生日快乐
'zi'wo'cui'mian 自我催眠
'zui'chang'de'dian'ying 最长的电影
'zui'hou'de'zhan'yi 最后的战役
