'ai'da'de 挨打的
'ben'xiang 本香
'bian'ping'de 扁平的
'bian'suan'de 变酸的
'bian'zhi 变质
'bian'zhi'de 变质的
'biao'mian'you'pao'mo'de 表面有泡沫的
'bing'de 病的
'bu'yu'kuai'de 不愉快的
'cao'mei 草莓
'cao'wei 草味
'chen'jiu'de 陈旧的
'chen'zhong'de 沉重的
'chun'hou'de 醇厚的
'chun'jing'de 纯净的
'chun'lie'de 醇烈的
'ci'ji'gan 刺激感
'cu'cao'de 粗糙的
'cu'lu'de 粗鲁的
'cu'su'de 粗俗的
'cu'wei 醋味
'cuo'chi'de 锉齿的
'dan'er'wu'wei'de 淡而无味的
'di'ji'de 低级的
'dian'wei'de 碘味的
'ding'zi'xiang 丁子香
'dong'cai'hua 董菜花
'dong'wu'xiang 动物香
'fa'la'de 发腊的
'fang'xiang 芳香
'fang'xiang'de 芳香的
'fei'bo'de 菲薄的
'fei'shuo'de 肥硕的
'fen'de 酚的
'feng'man'de 丰满的
'feng'mi'xiang 蜂蜜香
'fu'pen'zi 复盆子
'gan'cao 干草
'gan'cao 甘草
'gan'jing'de 干净的
'gan'shou'de 干瘦的
'gan'you'xing'de 甘油型的
'gou'jia'de 构架的
'guang'tu'de 光突的
'gui'pi 桂皮
'guo'he 果核
'guo'xiang 果香
'ha'la'wei'de 哈喇味的
'han'hu'de 含糊的
'hao'cao 蒿草
'he'ge'de 合格的
'hei'cha'zi 黑茶子
'hu'po'xiang 琥珀香
'hu'zhuang'de 糊状的
'hua'xiang 花香
'hua'xue'xiang 化学香
'hun'hou'de 浑厚的
'jian'kang'de 健康的
'jian'ke'de 尖刻的
'jian'shi'de 坚实的
'jian'xing'de 碱性的
'jiang'ying'de 僵硬的
'jiao'chou'de 脚臭的
'jiao'mu'wei 酵母味
'jiao'pi'wei'de 胶皮味的
'jiao'tang'wei 焦糖味
'jiao'xiang 焦香
'jing'mei'de 精美的
'jiu'gui'hua 玖瑰花
'jiu'jing'wei'shui'zhi'wei'de 酒精味水质味的
'jiu'xiang 酒香
'jiu'xiang'de 酒香的
'jue'cao 蕨草
'ka'fei'wei 咖啡味
'kao'mian'bao'wei 烤面包味
'ke'kou'de 可口的
'ku'gan'de'shu'ye 枯干的树叶
'ku'se'de 苦涩的
'ku'wei'de 枯萎的
'ku'xing'ren 苦杏仁
'la'de 辣的
'lao'guan'cao'wei 老鹳草味
'lao'ren'de 老人的
'li'ti'gan'de 立体感的
'li'zi 李子
'ma'de'la'tian'wei 马德拉甜味
'mao'pao'de 冒泡的
'mi'tian'de 蜜甜的
'mu'gua 木瓜
'mu'xi'cao'hua 木犀草花
'mu'xiang 木香
'nai'you'qiao'ke'li 奶油巧克力
'ni'de 腻的
'ning'meng 柠檬
'pi'ge 皮革
'pi'lao'de 疲劳的
'pin'fa'de 贫乏的
'ping'dan'de 平淡的
'ping'guo 苹果
'ping'yong'de 平庸的
'pu'tao'guo'fa'mei'de 葡萄果发霉的
'qi'pao'de 起泡的
'qiang'li'de 强力的
'qin'xin'de 侵衅的
'qing'jie'de 清洁的
'qing'lv'suan'de 青绿酸的
'qing'ruo'dan'gua'de 轻弱淡寡的
'qing'ya'de 轻雅的
'quan'xiang 醛香
'rong'hua'de 融化的
'rong'ji'wei'de 溶剂味的
'rou'he'de 柔和的
'rou'shun'de 柔顺的
'ruo'de 弱的
'se'kou'de 涩口的
'shao'ba'dou'xing 烧巴豆杏
'she'xiang 麝香
'sheng'qing'suan'de 生青酸的
'sheng'ying'de 生硬的
'shi'heng'de 失衡的
'shi'you'wei'de 石油味的
'shou'lian'de 收敛的
'shou'ruo'de 瘦弱的
'shou'xue'de 瘦削的
'shu'pi'xiang 树皮香
'shu'tou'de 熟透的
'shu'ye'wei 树叶味
'shu'zhi 树脂
'shu'zhi'wei'de 树脂味的
'shuai'lao'de 衰老的
'shuai'tui'de 衰退的
'shui'guo'xiang 水果香
'si'sui'de 撕碎的
'si'yi'ban'de 丝一般的
'suan'de 酸的
'suan'xiang 酸香
'tao'zi 桃子
'tian'e'rong'shi'de 天鹅绒似的
'tian'zhu'kui'wei 天竺葵味
'wei'duan'de 味短的
'wei'jue'qing'liang'gan 味觉清凉感
'wei'zheng'de 味正的
'wu'li'ti'gan'de 无立体感的
'wu'wei'dao'de 无味道的
'xi'di'ye'de 洗涤液的
'xi'ni'de 细腻的
'xian'de 咸的
'xiang'de 香的
'xiang'jiao 香蕉
'xiang'zhi'xiang 香脂香
'xiang'zi'lan 香子兰
'xiao'wei 笑味
'xin'la'de 辛辣的
'xin'xian'gan'de 新鲜感的
'xin'xiang 辛香
'xue'song'mu 雪松木
'yan'cao 烟草
'yan'xun'wei 烟熏味
'yang'hua'wei 氧化味
'yao'de 药的
'ye'wei'rou'xiang 野味肉香
'yin'qi'tuo'ye'shou'lian'de 引起唾液收敛的
'ying'de 硬的
'ying'tao 樱桃
'ying'tao'mu 樱桃木
'you'ge'xing'de 有个性的
'you'suan'wei'de 有酸味的
'you'xiang 油香
'you'ya'de 优雅的
'you'zhi'de 油质的
'yu'lan'hua 玉兰花
'yuan'run'de 圆润的
'yuan'run'mei'wei'de 园润美味的
'yuan'wei 鸢尾
'zhen'jun'wei'de 真菌味的
'zhen'zi 榛子
'zhi'wu'wei 植物味
'zhi'wu'wei'de 植物味的
'zhi'wu'xiang 植物香
'zhuo'shao'de 灼烧的
'zhuo'yue'de 卓越的
'zou'wei'de 走味的
