'ba'zhuan 八专
'ba'zi 八字
'ba'zi'jin'shu 八字金书
'bai'cai 败财
'bai'hu 白虎
'bai'la'jin 白鑞金
'bai'yi'sha 白衣煞
'bang'zhang 棒杖
'bi'jian 比肩
'bi'jian'xiao'rong 必见销熔
'bi'jie 比劫
'bi'shang'tu 壁上土
'bi'si 必死
'bi'wei'kan'zhe 必为砍折
'bi'wei'xi'mie 必为熄灭
'bi'wei'yu'se 必为淤塞
'bi'zao'qing'xian 必遭倾陷
'bing'bai 病败
'bing'chen 丙辰
'bing'ding 丙丁
'bing'fu 兵福
'bing'fu 病符
'bing'huo 丙火
'bing'nian 丙年
'bing'ren 丙人
'bing'shen 丙申
'bing'shi'wu 丙食戊
'bing'wu 丙午
'bing'xin 丙辛
'bing'xu 丙戌
'bing'yang 丙阳
'bing'yin 丙寅
'bing'zi 丙子
'cai'ming 财命
'cai'yong 蔡邕
'cai'zhen'ge 采真歌
'can'tong'qi 参同契
'cao'zhen'gui 曹震圭
'ceng'men'jing 曾门经
'chai'chuan'jin 钗钏金
'chang'ju 常居
'chang'liu'shui 常流水
'chang'sheng 长生
'chen'tu 辰土
'chen'tuan 陈摶
'chen'wei'tian'luo 辰为天罗
'chen'wu'you'hai 辰午酉亥
'chen'xi'lie 陈希烈
'chen'xu 辰戌
'chen'xu'chou'wei 辰戌丑未
'chen'yang 辰阳
'chen'you 辰酉
'cheng'tou'tu 城头土
'cheng'xiang 成象
'chi'fen'ruo 赤奋若
'chong'guang 重光
'chou'mao'si'wei'you'hai 丑卯巳未酉亥
'chou'tu 丑土
'chou'wei 丑未
'chou'wei'xu 丑未戌
'chou'wu 丑午
'chou'yao'si 丑摇巳
'chou'yin 丑阴
'chuan'zhu'zhi'zhang 穿珠指掌
'chun'wu'yin 春戊寅
'ci'yi 此义
'cun'zhu'chi'bi 寸珠尺璧
'da'hai'shui 大海水
'da'hao 大耗
'da'huang'luo 大荒落
'da'lin'mu 大林木
'da'lv 大吕
'da'nao'shi 大撓氏
