'a'er'tai'yin 阿尔泰因
'a'te'luo'pin'yao'shui 阿特罗品药水
'an'yi'gu 安忆谷
'ao'lai'he 奥莱赫
'ao'lai'he'rong'he'cai'liao 奥莱赫融合材料
'ao'yi'jing'tong 奥义精通
'ba'quan 霸拳
'bai'lian'nu'hu 白莲怒虎
'bao'hu'yao'shui 保护药水
'bao'zha'zhuan'jia 爆炸专家
'bing'shuang'shou'liu'dan 冰霜手榴弹
'bu'qu 不屈
'cai'feng'shu 裁缝术
'cai'jue'zhe 裁决者
'cheng'fang 盛放
'cheng'sheng'zhui'ji 乘胜追击
'chi'zi'zhi'xin 赤子之心
'chong'ji'xiu'lian 冲击修炼
'chuang'shi'li'xiang 创世理想
'dian'feng 巅峰
'dou'hun 斗魂
'fa'li'bao'fa 法力爆发
'fa'li'chong'ying 法力充盈
'fa'li'huan'rao 法力环绕
'fan'zhi'chong'ji 反制冲击
'fei'ying'wu'kong 绯影悟空
'fen'nu'zhi'chui 愤怒之锤
'feng'kuang 疯狂
'fu'shi'zha'dan 腐蚀炸弹
'gao'ji'hui'fu'yao 高级恢复药
'gao'jie'zhao'huan'shi 高阶召唤师
'gong'ji'xing'zhan'dou'dao'ju 攻击型战斗道具
'gong'neng'xing'zhan'dou'dao'ju 功能性战斗道具
'gou'huo 篝火
'gu'du'de'qi'shi 孤独的骑士
'gui'yuan 归元
'guo'wang'sheng'yu 国王圣谕
'he'xie'sui'pian 和谐碎片
'he'xie'sui'pian'dai'zi 和谐碎片袋子
'he'xie'tu'po'shi 和谐突破石
'hei'an'shou'liu'dan 黑暗手榴弹
'hu'dun'meng'gong 护盾猛攻
'huan'liu 环流
'hui'fu'xing'zhan'dou'dao'ju 恢复型战斗道具
'hui'fu'yao 恢复药
'hui'guang'fan'zhao 回光返照
'hui'mie'zhe 毁灭者
'huo'li'qiang'hua 火力强化
'ji'ben'duan'zao 基本锻造
'ji'ben'xiu'bu 基本修补
'ji'yi 极意
'ji'yi'ti'shu 极意体术
'jian'ci'zhong'chui 尖刺重锤
'jian'ren'yi'zhi 坚韧意志
'jie'zhi 节制
'jin'ji'jiu'yuan 紧急救援
'jin'ji'mi'shu 禁忌秘术
'jin'jun'qi'zhi 进军旗帜
'jing'li'chong'pei 精力充沛
'jing'lian'cai'liao 精炼材料
'jing'lian'e'wai'cai'liao 精炼额外材料
'jing'mai'da'tong 经脉打通
'jing'mi'duan'dao 精密短刀
'ju'bu'feng'sheng 举步风生
'jue'dou'da'shi 决斗大师
'jue'xing'yao'shui 觉醒药水
'ka'pai'da'shi 卡牌大师
'kang'xing'hu'dun 抗性护盾
'kuang'luan'meng'yan 狂乱梦魇
'kuang'zhan'shi 狂战士
'kuang'zhan'shi'mi'ji 狂战士秘技
'lei'dian'zhi'nu 雷电之怒
'lei'ting'yao'shui 雷霆药水
'lie'mo'ren 猎魔人
'lu'te'lan'de'hao'jiao 卢特兰的号角
'luo'heng'dai'er 洛恒戴尔
'miao'shou'hui'chun 妙手回春
'mie'mo'jue'yi 灭魔诀意
'ming'yun'yu'zhao 命运预兆
'mo'ling 墨灵
'ni'tian'zhi'ti 逆天之体
'nian'tu'shou'liu'dan 黏土手榴弹
'ning'huo 凝火
'ning'meng'pao'fu 柠檬泡芙
'ning'shi'yao'shui 凝时药水
'nv'shen'bi'hu 女神庇护
'pao'ji'qiang'hua 炮击强化
'po'fu'chen'zhou 破釜沉舟
'po'huai'shi'jie'jing 破坏石结晶
'po'huai'shi'sui'pian 破坏石碎片
'po'huai'zha'dan 破坏炸弹
'po'qie'jiu'shu 迫切救赎
'qi'gong'shi 气功师
'qi'xi'da'shi 奇袭大师
'qiang'hua'wu'qi 强化武器
'qiang'li'ce'ji 强力侧击
'qiang'pao'da'shi 枪炮大师
'qiang'shu'shi 枪术士
'qing'shan'cang'long 青闪苍龙
'rong'yu'sui'pian 荣誉碎片
'rong'yu'sui'pian'dai'zi 荣誉碎片袋子
'rui'li'yan'shen 锐利眼神
'ruo'rou'qiang'shi 弱肉强食
'shan'guang'shou'liu'dan 闪光手榴弹
'shen'pi'zhong'jia 身披重甲
'shen'shang'xian'su 肾上腺素
'shen'sheng'ling'fu 神圣灵符
'shen'sheng'zha'dan 神圣炸弹
'shou'hu'shi'jie'jing 守护石结晶
'shou'hu'shi'sui'pian 守护石碎片
'shou'qiang'shou 手枪手
'shui'mian'zha'dan 睡眠炸弹
'shuo'liang 烁亮
'shuo'liang'fu'shi'zha'dan 烁亮腐蚀炸弹
'sui'dun'zhong'chui 碎盾重锤
'tai'yang'zhi'bi'you 太阳之庇佑
'tai'yang'zhi'en'dian 太阳之恩典
'tai'yang'zhi'zhu'fu 太阳之祝福
'tao'tuo'da'shi 逃脱大师
'ti'shu 体术
'tian'lai'qi'yuan 天籁祈愿
'wan'neng'yao'shui 万能药水
'wang'hou'en'ci 王后恩赐
'wei'da'rong'yu'tu'po'shi 伟大荣誉突破石
'wei'xiu'chu'chuan'song'men'juan'zhou 维修处传送门卷轴
'wei'zhuang'chang'pao 伪装长袍
'xian'fa'zhi'ren 先发制人
'xian'ling'hui'fu'yao 仙灵恢复药
'xian'zhe'fen'mo 贤者粉墨
'xin'hao'dan 信号弹
'xin'xi'su'zha'dan 信息素炸弹
'xin'you'ling'xi 心有灵犀
'xing'chen'zhi'xi 星辰之息
'xiu'sha'er 休沙尔
'xu'li'qiang'hua 蓄力强化
'xuan'feng'shou'liu'dan 旋风手榴弹
'xuan'ling'zhen'wu 玄灵镇武
'xuan'yong 玄雍
'xun'jie'chang'pao 迅捷长袍
'xun'jie'li'ren 迅捷利刃
'xun'meng'tu'xi 迅猛突袭
'ya'zhi 压制
'ye'jin'shu 冶金术
'yi'tai'chong'neng 以太充能
'yi'tai'sheng'cheng 以太生成
'yin'shen'chang'pao 隐身长袍
'yin'you'shi'ren 吟游诗人
'ying'yan 鹰眼
'yong'qi'ji'fa 勇气激发
'you'yin'shi'ren 游吟诗人
'yuan'hen'kang'xing'hu'dun 怨恨抗性护盾
'yuan'su'wu'shi 元素巫师
'zeng'yi'xing'zhan'dou'dao'ju 增益型战斗道具
'zhan'dou'tai'shi 战斗态势
'zhi'zhen'xin 至真心
'zhong'jie'xi'ji 终结袭击
'zhong'li'xiu'lian 重力修炼
'zhong'nian 重碾
'zhou'shu'ren'ou 咒术人偶
'zhu'ling'huan'que 朱翎幻雀
