'a'bu'si 阿不思
'a'la'ge'ke 阿拉戈克
'a'la'huo'dong'kai 阿拉霍洞开
'a'la'si'tuo 阿拉斯托
'a'ni'ma'ge'si 阿尼马格斯
'a'si'tuo'li'ya'ge'lin'ge'la'si 阿斯托利亚格林格拉斯
'a'wa'da'suo'ming 阿瓦达索命
'a'zi'ka'ban 阿兹卡班
'ai'bo 艾博
'ai'er'lan'xiao'ai'yao 爱尔兰小矮妖
'ai'li'ya 艾丽娅
'an'ji'li'na 安吉利娜
'ao'li'fan'de 奥利凡德
'ao'li'fu 奥利弗
'ao'luo 傲罗
'ao'luo'zhi'hui'bu 傲罗指挥部
'ba'di'ke'lao'qi 巴蒂克劳奇
'ba'fei'xing'nao'ji 巴费醒脑剂
'ba'ge'man 巴格曼
'ba'ke'bi'ke 巴克比克
'bai'xian'xiang'jing 白鲜香精
'ban'ban 斑斑
'bao'hu'shen'qi'sheng'wu'xue 保护神奇生物学
'bei'er 贝尔
'bei'la'te'li'ke'si'lai'si'te'lan'qi 贝拉特里克斯莱斯特兰奇
'bi'bi'duo'wei'dou 比比多味豆
'bi'de 彼得
'bi'er 比尔
'bi'er'sai'ting 闭耳塞听
'bi'ti'chong 鼻涕虫
'bian'xing'shu 变形术
'biao'ji'xian'xian 标记显现
'bin'si'jiao'shou 宾斯教授
'bing'gao'qiu 冰糕球
'bo'ge'te 博格特
'bo'pi 波皮
'bo'sha 伯莎
'bo'si'de 伯斯德
'bo'te 波特
'bu'ke'biao'hui 不可标绘
'bu'ke'rao'shu'zhou 不可饶恕咒
'bu'lai'ke 布莱克
'bu'lang 布朗
'bu'si'ba'dun'mo'fa'xue'xiao 布斯巴顿魔法学校
'bu'xue'yao 补血药
'cao'yao'xue 草药学
'cha'dian'mei'tou'de'ni'ke 差点没头的尼克
'cha'li 查理
'chang'sheng'bu'lao'yao 长生不老药
'chao'ji'chui'bao'pao'pao'tang 超级吹宝泡泡糖
'chi'dan'zhong'xin'zhou 赤胆忠心咒
'chong'wei'ba 虫尾巴
'chu'ni'wu'qi 除你武器
'da'jiao'ban 大脚板
'da'nao'feng'bi'shu 大脑封闭术
'da'ren'liu 打人柳
'dai'wei'si 戴维斯
'dan'nai'jiu 蛋奶酒
'dan'ni'si 丹尼斯
'dao'gua'jin'zhong 倒挂金钟
'de'la'ke 德拉科
'de'la'ku'er 德拉库尔
'de'mu'si'te'lang'mo'fa'xue'xiao 德姆斯特朗魔法学校
'deng'bu'li'duo 邓布利多
'di'an'tuo'ma'si 迪安托马斯
'di'ge'li 迪戈里
'di'jing 地精
'ding'xiang'zhou 定向咒
'dui'jiao'xiang 对角巷
'duo'bi 多比
'duo'hun'zhou 夺魂咒
'duo'luo'lei'si 多洛雷斯
'e'ni 厄尼
'fan'dao'xiang 翻倒巷
'fei'er'qi 费尔奇
'fei'lai 飞来
'fei'lun'ze 费伦泽
'fei'niao'qun'qun 飞鸟群群
'fei'sha'zou'shi 飞沙走石
'fei'xing'xue 飞行学
'fen'lie'li 芬列里
'fen'shen'sui'gu 粉身碎骨
'fen'sui'zhou 粉碎咒
'feng'mi'gong'jue'tang'guo'dian 蜂蜜公爵糖果店
'feng'yan'han 疯眼汉
'fu'di'mo 伏地魔
'fu'fang'tang'ji 复方汤剂
'fu'ji 福吉
'fu'lei'de 弗雷德
'fu'li'wei 弗立维
'fu'ling'ji 福灵剂
'fu'luo'bo'mao'chong 弗洛伯毛虫
'fu'rong'de'la'ku'er 芙蓉德拉库尔
'fu'zhi'cheng'shuang 复制成双
'gan'cao'mo'zhang 甘草魔杖
'gan'guo'dan'gao 坩埚蛋糕
'gao'bu'shi'you'xi 高布石游戏
'ge'de'li'ke 戈德里克
'ge'de'li'ke'shan'gu 戈德里克山谷
'ge'la'pu'lan'jiao'shou 格拉普兰教授
'ge'lan'fen'duo 格兰芬多
'ge'lan'jie 格兰杰
'ge'lei'fu'ren 格雷夫人
'ge'li'mo'guang'chang'hao 格里莫广场号
'gei'wo'zhi'lu 给我指路
'gong'gong'xiu'xi'shi 公共休息室
'gu'dai'mo'wen'yan'jiu 古代魔文研究
'gui'fei'qiu 鬼飞球
