'bai'she'san 白蛇伞
'bai'ze'bi 白泽笔
'chang'ming'suo 长命锁
'chi'long'fu 赤龙服
'ding'pan'zhu 定盘珠
'du'yu'fo 独玉佛
'gu'jing 古镜
'he'shi'bi 和氏璧
'heng'wu'xiang 蘅芜香
'hu'gu'xie 虎骨韘
'hu'mian'zheng 虎面铮
'huang'jin'jin 黄金巾
'huang'jin'mian 黄金面
'huang'liang'zhen 黄梁枕
'huang'liang'zhen 黄粱枕
'jiu'long'bei 九龙杯
'kun'wu'dao 锟铻刀
'liu'bo'qi 六博棋
'liu'fu'qi 六傅棋
'liu'qing'shu 留青梳
'long'wen'duo 龙纹铎
'mian'si'pai 免死牌
'nie'luo'pan 涅罗盘
'pu'ti'zi 菩提子
'qing'zhen'gui 青镇圭
'qu'lu'mao 屈卢矛
'ren'yu'zhu 人鱼烛
'shan'hai'jing 山海经
'shuang'tiao'tuo 双跳脱
'shui'cang'yu 水苍玉
'si'ji'tu 四季图
'si'nan'biao 司南杓
'tao'hua'yuan 桃花源
'ti'hua'luo 提花罗
'tian'guang'xu 天光墟
'tian'ru'yi 天如意
'tian'yue'fu 天钺斧
'ting'gui'mo 廷圭墨
'tong'quan'heng 铜权衡
'wang'ling'shu 亡灵书
'wu'bei'qian 无背钱
'wu'gu'ou 巫蛊偶
'wu'jin'ding 乌金鼎
'wu'ming'shan 五明扇
'wu'zi'bei 无字碑
'xi'jiao'yin 犀角印
'xiang'fei'lian 香妃链
'xiang'ya'tou 象牙骰
'xie'zhi'guan 獬豸冠
'ying'fan'ta 影繁塔
'ying'qing'yong 影青俑
'yu'dai'gou 玉带钩
'yu'jin'bu 玉禁步
'yu'mei'ren 虞美人
'yu'suan'zhou 羽算轴
'yu'wen'jing 鱼纹镜
'yu'weng'zhong 玉翁仲
'yu'xuan'ji 玉璇玑
'yue'wang'jian 越王剑
'zhen'yang'yu 震仰盂
'zhi'cheng'qun 织成裙
'zhu'long'mu 烛龙目
'zou'ma'deng 走马灯
