'bei'cheng'bang'zha'zhan 北城浜闸站
'bei'jia'cun'zha'zhan 北家村闸站
'bei'jia'gang'bei'beng'zhan 北家港北泵站
'bei'jia'gang'bei'dan'zha 北家港北单闸
'bei'mu'cheng'zha'zhan 北墓城闸站
'ce'dao'lun 侧导轮
'chang'bang'kou'zha'zhan 长浜口闸站
'chang'hong'pai'lao'zhan 长虹排涝站
'chang'hong'tao'zha 长虹套闸
'da'you'qiao'zha'zhan 大有桥闸站
'dong'jiang'he'zha'zhan 东蒋河闸站
'dong'qian'gang'zha'zhan 东潜港闸站
'gang'si'sheng 钢丝绳
'gao'si'yang'zha 高泗漾闸
'gong'jia'wan'zha'zhan 龚家湾闸站
'gu'tang'jing'zha'zhan 古塘泾闸站
'guan'yin'qiao'zha'zhan 观音桥闸站
'hei'ya'gang'zha'zhan 黑鸭港闸站
'hong'yang'gang'zha'zhan 虹阳港闸站
'hou'fu'zhuang'zha'zhan 后富庄闸站
'jian'dun'jiao'pai'lao'zhan 尖墩角排涝站
'jie'zi'gang'zha'zhan 芥字港闸站
'juan'yang'ji 卷扬机
'lang'jia'qiao'zha'zhan 郎家桥闸站
'lian'si'dang'zha 莲泗荡闸
'lian'zhou'qi 联轴器
'ling'jia'bang'zha'zhan 凌家浜闸站
'liu'wang'miao'dan'zha 刘王庙单闸
'lu'jia'bang'pai'lao'zhan 陆家浜排涝站
'lu'jia'dang'zha 陆家荡闸
'mao'yang'dang'zha'zhan 毛漾荡闸站
'men'cao 门槽
'mo'jia'cun'zha'zhan 莫家村闸站
'nan'qiu'xu'zha'zhan 南秋圩闸站
'nan'shui'zha'zha'zhan 南水闸闸站
'nan'xing'gang'zha'zhan 南星港闸站
'qi'bi'ji 启闭机
'qi'jia'gang'dan'zha 戚家港单闸
'qian'fu'zhuang'zha'zhan 前富庄闸站
'qian'jia'di'dan'zha 钱家地单闸
'ran'dian'bang'beng'zhan 染店浜泵站
'ran'dian'bang'dan'zha 染店浜单闸
'shang'he'lu'xi'zha'zhan 上合路西闸站
'shen'jia'dou'dan'zha 沈家斗单闸
'shi'jia'lu'dong'dan'zha 史家路东单闸
'shi'jia'lu'xi'zha'zhan 史家路西闸站
'shi'jing'gang'xi'zha'zhan 市泾港西闸站
'shu'tou'gang'zha'zhan 竖头港闸站
'shui'beng'dian'ji 水泵电机
'si'dong'dai'zha'zhan 寺东埭闸站
'sun'jia'bang'dan'zha 孙家浜单闸
'ta'jia'dang'zha 塔家荡闸
'tang'jia'lu'zha'zhan 唐家路闸站
'tu'di'miao'beng'zhan 土地庙泵站
'tu'di'miao'zha'zhan 土地庙闸站
'wai'xi'gang'dan'zha 外西港单闸
'wang'jia'bang'dan'zha 王家浜单闸
'wu'jia'qiao'dan'zha 吴家桥单闸
'xi'jiao'xu'pai'lao'zhan 西角圩排涝站
'xi'qian'gang'tao'zha 西潜港套闸
'xiao'qiao'gang'zha'zhan 小桥港闸站
'xie'lu'gang'zha 斜路港闸
'xin'bang'zha'zhan 新浜闸站
'xin'zhen'zha'zhan 新镇闸站
'xu'chang'wan'zha'zhan 徐长湾闸站
'yang'su'lu'xi'beng'zhan 杨苏路西泵站
'yang'su'lu'xi'dan'zha 杨苏路西单闸
'yao'mei'gang'zha 窑梅港闸
'you'dian'bang'zha'zhan 邮电浜闸站
'zha'men 闸门
'zhang'jia'ba'zha'zhan 张家坝闸站
'zhen'bei'zha'zhan 镇北闸站
'zhen'dong'zha'zhan 镇东闸站
'zhi'shui'tiao 止水条
'zhong'cheng'bang'zha'zhan 中城浜闸站
'zhong'jia'ba'zha'zhan 仲家坝闸站
'zhu'jia'lu'xi'dan'zha 朱家路西单闸
'zhu'zhou 主轴
