'an'pai 安排
'an'quan 安全
'ban'qian 搬迁
'ban'tu 版图
'bao'pi 报批
'bao'zhang 保障
'ben'di 本底
'bi'jiao'you'shi 比较优势
'bi'lei 壁垒
'bi'li 比例
'bi'li'chi 比例尺
'bi'nan'chang'suo 避难场所
'bian'jie 边界
'bian'jie'wen'he 边界吻合
'bian'yuan'cheng'shi 边缘城市
'bian'zhi 编制
'bian'zhi'gui'hua'fang'an 编制规划方案
'biao'gao 标高
'bin'shui 滨水
'bin'shui'kong'jian 滨水空间
'bin'zang 殡葬
'bin'zang'yong'di 殡葬用地
'bu'ju 布局
'bu'men 部门
'bu'men'xie'tong 部门协同
'bu'shu 部署
'bu'zhang 部长
'cang'chu'yong'di 仓储用地
'cang'liang'yu'di 藏粮于地
'cang'liang'yu'ji 藏粮于技
'cao'tu'da'shi 草图大师
'ce'hui 测绘
'chan'cheng'rong'he 产城融合
'chan'ye 产业
'chan'ye'bu'ju 产业布局
'chan'ye'bu'ju'gui'hua 产业布局规划
'chan'ye'fa'zhan 产业发展
'chan'ye'fa'zhan'zhan'lue 产业发展战略
'chan'ye'fa'zhan'zhuan'xing 产业发展转型
'chan'ye'ji'ju'qu 产业集聚区
'chan'ye'ji'qun 产业集群
'chan'ye'jie'gou 产业结构
'chan'ye'kong'jian 产业空间
'chan'ye'lian 产业链
'chan'ye'she'qu 产业社区
'chan'ye'yuan 产业园
'chan'ye'yuan'qu 产业园区
'chan'ye'zhuan'xing 产业转型
'chan'ye'zhuan'yi 产业转移
'chang'qi'wen'ding'geng'di 长期稳定耕地
'chang'san'jiao 长三角
'chang'shui'wei 常水位
'chang'tai'hua'ji'zhi 常态化机制
'chang'zhu'ren'kou 常住人口
'chang'zhu'ren'kou'cheng'zhen'hua'lv 常住人口城镇化率
'chang'zhu'ren'kou'gui'mo 常住人口规模
'chao'xi'jiao'tong 潮汐交通
'che'xian'she'qu 撤县设区
'che'xian'she'shi 撤县设市
'cheng'guo 成果
'cheng'ji'tie'lu 城际铁路
'cheng'jiao'rong'he'xing 城郊融合型
'cheng'pian'kai'fa 成片开发
'cheng'qu 城区
'cheng'qu'fan'wei 城区范围
'cheng'qu'fan'wei'que'ding 城区范围确定
'cheng'shi 城市
'cheng'shi'bing 城市病
'cheng'shi'dao'lu 城市道路
'cheng'shi'di'li'xue 城市地理学
'cheng'shi'fa'zhan'gui'lv 城市发展规律
'cheng'shi'fa'zhan'mu'biao 城市发展目标
'cheng'shi'fa'zhan'zhan'lue 城市发展战略
'cheng'shi'fang'hong'gui'hua 城市防洪规划
'cheng'shi'feng'lang 城市风廊
'cheng'shi'feng'mao 城市风貌
'cheng'shi'fu'xing 城市复兴
'cheng'shi'geng'xin 城市更新
'cheng'shi'gui'dao 城市轨道
'cheng'shi'gui'mo 城市规模
'cheng'shi'huan'jing'rong'liang 城市环境容量
'cheng'shi'huan'jing'zhi'liang 城市环境质量
'cheng'shi'ji'chu'she'shi 城市基础设施
'cheng'shi'ji'li 城市肌理
'cheng'shi'jian'cheng'qu 城市建成区
'cheng'shi'jiao'tong'jie'gou 城市交通结构
'cheng'shi'jie'mian 城市界面
'cheng'shi'jing'shen 城市精神
'cheng'shi'kong'jian 城市空间
'cheng'shi'kong'jian'tuo'zhan 城市空间拓展
'cheng'shi'lv'di'lv 城市绿地率
'cheng'shi'nei'lao 城市内涝
'cheng'shi'neng'yuan'jie'gou 城市能源结构
'cheng'shi'qun 城市群
'cheng'shi'ren'kou'jie'gou 城市人口结构
'cheng'shi'she'ji 城市设计
'cheng'shi'shi'ji'fu'wu'guan'li'ren'kou 城市实际服务管理人口
'cheng'shi'shui'xi 城市水系
'cheng'shi'ti'jian 城市体检
'cheng'shi'tian'ji'xian 城市天际线
'cheng'shi'xiang'xi'gui'hua 城市详细规划
'cheng'shi'xin'qu 城市新区
'cheng'shi'xing'zhi 城市性质
'cheng'shi'yi'xiang 城市意象
'cheng'shi'ying'xiao 城市营销
'cheng'shi'zhi'li 城市治理
'cheng'shi'zhi'neng 城市职能
'cheng'shi'zhong'xin'du 城市中心度
'cheng'shi'zhou'xian 城市轴线
'cheng'shi'zong'he'cheng'zai'li 城市综合承载力
'cheng'shi'zong'he'ti 城市综合体
'cheng'shi'zong'ti'bu'ju 城市总体布局
'cheng'shi'zong'ti'gui'hua 城市总体规划
'cheng'shui'xiang'yi 城水相依
'cheng'xiang 城乡
'cheng'xiang'gui'hua 城乡规划
'cheng'xiang'jian'she 城乡建设
'cheng'xiang'jian'she'yong'di 城乡建设用地
'cheng'xiang'jian'she'yong'di'mian'ji 城乡建设用地面积
'cheng'xiang'kong'jian'jie'gou 城乡空间结构
'cheng'xiang'sheng'huo'quan 城乡生活圈
'cheng'xiang'tong'chou 城乡统筹
'cheng'xiang'tong'chou'fa'zhan 城乡统筹发展
'cheng'xiang'yi'ti'hua'xian'xing'qu 城乡一体化先行区
'cheng'xiang'yong'di'hui'zong'biao 城乡用地汇总表
'cheng'zhen'fa'zhan'qu 城镇发展区
'cheng'zhen'hua 城镇化
'cheng'zhen'hua'zhan'lue 城镇化战略
'cheng'zhen'jian'she'yong'di 城镇建设用地
'cheng'zhen'kai'fa'bian'jie 城镇开发边界
'cheng'zhen'quan 城镇圈
'cheng'zhen'ti'xi 城镇体系
'cheng'zhen'wang'luo 城镇网络
'chi'du'yi'ren 尺度宜人
'chu'ji'gui'hua'shi 初级规划师
'chu'rang'jin 出让金
'chu'xing'pin'zhi 出行品质
'chu'zhang 处长
'chuan'dao 传导
'chuan'tong'chan'ye 传统产业
'chuan'tong'cun'luo 传统村落
'chuang'wei'shu 床位数
'chuang'xin 创新
'chuang'xin'qu'dong 创新驱动
'ci'gan'lu 次干路
'cun'dao'yong'di 村道用地
'cun'liang 存量
'cun'liang'tu'di'gong'ying'bi'li 存量土地供应比例
'cun'liang'yong'di 存量用地
'cun'liang'zi'yuan'pei'zhi 存量资源配置
'cun'zhuang'gui'hua 村庄规划
'cun'zhuang'jian'she'qu 村庄建设区
'cun'zhuang'nei'bu'dao'lu'yong'di 村庄内部道路用地
'cuo'shi 措施
'da'cheng'shi'bing 大城市病
'dan'yuan'gui'hua 单元规划
'dao'lu 道路
'dao'lu'hong'xian 道路红线
'dao'lu'wang'mi'du 道路网密度
'dao'xiang 导向
'deng'ji'gui'mo'jie'gou 等级规模结构
'di'kuai'cheng'shi'she'ji 地块城市设计
'di'li'ge'ju 地理格局
'di'li'xin'xi'xi'tong 地理信息系统
'di'san'fang'ti'jian'ping'gu 第三方体检评估
'di'shu 底数
'di'tan'cheng'shi 低碳城市
'di'tan'jing'ji 低碳经济
'di'tu'di'shu 底图底数
'di'wu 地物
'di'xing'cha'yi 地形差异
'di'xing'di'mao 地形地貌
'di'xing'tu 地形图
'di'yuan 地缘
'di'zhi'zai'hai 地质灾害
'dian'li'gong'cheng 电力工程
'dian'wei 点位
'diao'chu 调出
'diao'ru 调入
'du'li'gong'kuang'qu 独立工矿区
'du'shi 都市
'du'shi'qu 都市区
'du'shi'quan 都市圈
'duan'lie'dian 断裂点
'dui'ce 对策
'e'zhi 遏制
'fa'ding'wen'jian 法定文件
'fa'zhan'ce'lue'yan'jiu 发展策略研究
'fa'zhan'gui'hua 发展规划
'fa'zhan'kun'ju 发展困局
'fa'zhan'yuan'jing 发展远景
'fan'hong'qu 泛洪区
'fang'an 方案
'fang'feng'gu'sha 防风固沙
'fang'hong'di 防洪堤
'fang'hong'pai'lao 防洪排涝
'fang'hu'ge'li 防护隔离
'fang'kong 防控
'fang'shi 方式
'fang'zai'jian'zai 防灾减灾
'fei'ji'ben'zhi'neng 非基本职能
'fei'she'mi'nei'rong 非涉密内容
'fen'ju 分局
'fen'qu'gui'hua 分区规划
'fen'san'shi'bu'ju 分散式布局
'fen'xi 分析
'feng'mao'yin'dao 风貌引导
'feng'mei'gui 风玫瑰
'feng'su 风速
'feng'xian 风险
'feng'xiang 风向
'fu'gai'lv 覆盖率
'fu'he'xing'jie'gou 复合型结构
'fu'suo'zhang 副所长
'fu'wu'ban'jing 服务半径
'fu'yuan'zhang 副院长
'fu'zhong'xin'cheng'shi 副中心城市
'gai'nian'gui'hua 概念规划
'gai'zao 改造
'gan'xian'tie'lu 干线铁路
'gan'xian'wang 干线网
'gang'xing'yue'shu 刚性约束
'gao'biao'zhun'nong'tian 高标准农田
'gao'deng'jiao'yu'yong'di 高等教育用地
'gao'du 高度
'gao'ji'gong'cheng'shi 高级工程师
'gao'ji'gui'hua'shi 高级规划师
'gao'su 高速
'gao'su'gong'lu 高速公路
'gao'zhi'liang'fa'zhan 高质量发展
'ge'ju 格局
'geng'di 耕地
'geng'di'bao'you'liang 耕地保有量
'geng'di'zhan'bu'ping'heng 耕地占补平衡
'geng'di'zhi'liang'ping'jia 耕地质量评价
'gong'cheng 工程
'gong'cheng'hui'fu 工程恢复
'gong'cheng'shi 工程师
'gong'dian 供电
'gong'er'wei'yong 供而未用
'gong'gong'an'quan'she'shi 公共安全设施
'gong'gong'fu'wu 公共服务
'gong'gong'fu'wu'she'shi 公共服务设施
'gong'gong'guan'li'yu'gong'gong'fu'wu'she'shi'yong'di 公共管理与公共服务设施用地
'gong'gong'guan'li'yu'gong'gong'fu'wu'yong'di 公共管理与公共服务用地
'gong'gong'lv'di 公共绿地
'gong'gong'wei'sheng'yong'di 公共卫生用地
'gong'gong'zheng'ce 公共政策
'gong'ji'ce'jie'gou'xing'gai'ge 供给侧结构性改革
'gong'jian 共建
'gong'kuang'yong'di 工矿用地
'gong'lu 公路
'gong'mou 共谋
'gong'neng 功能
'gong'neng'ding'wei 功能定位
'gong'neng'shu'jie 功能疏解
'gong'neng'wan'shan 功能完善
'gong'qi 供气
'gong'shui 供水
'gong'xiang 共享
'gong'xu'ping'heng 供需平衡
'gong'ye'fa'zhan'qu 工业发展区
'gong'ye'yong'di'bao'zhang'xian 工业用地保障线
'gong'ye'yong'shui 工业用水
'gong'ye'yuan 工业园
'gong'yong'she'shi'yong'di 公用设施用地
'gong'yuan 公园
'gong'yuan'lv'di 公园绿地
'gong'zhi 共治
'gong'zhong'ban 公众版
'gong'zhong'can'yu 公众参与
'gong'zuo 工作
'gong'zuo'di'tu 工作底图
'gou'jian 构建
'gu'gan'he'hu'shui'xi 骨干河湖水系
'gu'zhang 股长
'guan'dao 管道
'guan'kong 管控
'guan'kong'xing'cheng'shi'she'ji 管控型城市设计
'guan'li 管理
'guang'chang 广场
'guang'chang'lv'di 广场绿地
'guang're'tiao'jian 光热条件
'gui'hua'cheng'guo'bao'pi 规划成果报批
'gui'hua'cheng'guo'gong'bu 规划成果公布
'gui'hua'cheng'guo'gong'shi 规划成果公示
'gui'hua'fen'qu 规划分区
'gui'hua'he'zi'ran'zi'yuan'ju 规划和自然资源局
'gui'hua'jian'she 规划建设
'gui'hua'ju 规划局
'gui'hua'ping'shen'lun'zheng 规划评审论证
'gui'hua'she'ji 规划设计
'gui'hua'shi 规划师
'gui'hua'shi'shi'ping'gu 规划实施评估
'gui'hua'wei'yuan'hui 规划委员会
'gui'hua'xiu'gai 规划修改
'gui'hua'yuan 规划院
'gui'mo 规模
'gui'mo'jing'ji 规模经济
'gui'mo'shi'du 规模适度
'gui'wei'hui 规委会
'guo'jia'gong'yuan 国家公园
'guo'jia'ji'hua'zhi'biao 国家计划指标
'guo'jia'ji'jing'ji'ji'shu'kai'fa'qu 国家级经济技术开发区
'guo'jia'lin'cao'ju 国家林草局
'guo'jia'lin'ye'he'cao'yuan'ju 国家林业和草原局
'guo'jia'sen'lin'cheng'shi 国家森林城市
'guo'jia'zhong'da'zhan'lue 国家重大战略
'guo'min'jing'ji'he'she'hui'fa'zhan 国民经济和社会发展
'guo'sheng'gan'xian 国省干线
'guo'tu 国土
'guo'tu'kong'jian 国土空间
'guo'tu'kong'jian'gui'hua 国土空间规划
'guo'tu'kong'jian'gui'hua'cheng'shi'ti'jian'ping'gu 国土空间规划城市体检评估
'guo'tu'kong'jian'gui'hua'tu 国土空间规划图
