'a'bu'shi 阿布石
'a'ding'si'ke'jie 阿丁斯克阶
'a'er'bei'si'shi'gan'lan'yan 阿尔卑斯式橄榄岩
'a'er'bei'si'xing'gou'zao 阿尔卑斯型构造
'a'er'bei'si'xing'kuang'mai 阿尔卑斯型矿脉
'a'er'bei'si'xing'zao'shan'zhuo 阿尔卑斯型造山酌
'a'er'bei'si'zao'shan'dai 阿尔卑斯造山带
'a'er'bei'si'zao'shan'yun'dong 阿尔卑斯造山运动
'a'er'bu'jie 阿尔布阶
'a'er'gang'ji 阿尔冈纪
'a'er'gang'xi 阿尔冈系
'a'ka'de'jie 阿卡德阶
'a'lin'jie 阿林阶
'a'pu'di'jie 阿普第阶
'a'qi'er'shi'dai 阿齐尔时代
'a'qi'tan'jie 阿启坦阶
'a'shi'ji'jie 阿石极阶
'a'shi'peng'mei'shi 阿氏硼镁石
'a'si'di'jie 阿斯蒂阶
'a'xi'yuan'su 锕系元素
'a'you 锕铀
'ai'de 嗳的
'ai'fei'er'jie 艾斐尔阶
'ai'man 爱曼
'ai'mu'shen'er'jie 埃穆什尔阶
'ai'shi'luo'xuan 艾氏螺旋
'ai'shi'xiang 艾氏相
'an'cu'yan 安粗岩
'an'fen'yan 暗玢岩
'an'guang 暗光
'an'ji'ben'suan 氨基苯酸
'an'ji'suan'dai'xie 氨基酸代谢
'an'jia'la'gu'lu 安加拉古陆
'an'jia'la'zhi'wu'qun 安加拉植物群
'an'jiao 暗礁
'an'jue'po 暗掘坡
'an'li'qing 暗沥青
'an'lv'shi 暗绿石
'an'lv'yu 暗绿玉
'an'lv'yun'mu 暗绿云母
'an'mei 暗煤
'an'ni'mi'ji'xi 安尼迷基系
'an'ni'wu 安尼巫
'an'quan'di'dai 安全地带
'an'quan'fa 安全阀
'an'quan'jie'tou 安全接头
'an'quan'xi'shu 安全系数
'an'se'bai'xuan'yan 暗色白玄岩
'an'se'bao'ti 暗色包体
'an'se'yan 暗色岩
'an'shan'bo'li 安山玻璃
'an'shan'hui'chang'yan 暗闪辉长岩
'an'shan'yan 安山岩
'an'shan'yan'xian 安山岩线
'an'shi 暗室
'an'xia'zheng'chang'yan 暗霞正长岩
'an'yun'zheng'chang'yan 暗云正长岩
'an'zhen'ye'lin 暗针叶林
