'bao'jian'ba 宝剑八
'bao'jian'er 宝剑二
'bao'jian'guo'wang 宝剑国王
'bao'jian'huang'hou 宝剑皇后
'bao'jian'jiu 宝剑九
'bao'jian'liu 宝剑六
'bao'jian'qi 宝剑七
'bao'jian'qi'shi 宝剑骑士
'bao'jian'san 宝剑三
'bao'jian'shi 宝剑十
'bao'jian'shi'cong 宝剑侍从
'bao'jian'si 宝剑四
'bao'jian'wu 宝剑五
'bao'jian'yi 宝剑一
'dao'diao'zhe 倒吊者
'e'mo 恶魔
'gao'ta 高塔
'huang'di 皇帝
'huang'hou 皇后
'jiao'huang 教皇
'jie'zhi 节制
'li'liang 力量
'lian'ren 恋人
'ming'yun'zhi'lun 命运之轮
'mo'shu'shi 魔术师
'ni'wei'bao'jian'ba 逆位宝剑八
'ni'wei'bao'jian'er 逆位宝剑二
'ni'wei'bao'jian'guo'wang 逆位宝剑国王
'ni'wei'bao'jian'huang'hou 逆位宝剑皇后
'ni'wei'bao'jian'jiu 逆位宝剑九
'ni'wei'bao'jian'liu 逆位宝剑六
'ni'wei'bao'jian'qi 逆位宝剑七
'ni'wei'bao'jian'qi'shi 逆位宝剑骑士
'ni'wei'bao'jian'san 逆位宝剑三
'ni'wei'bao'jian'shi 逆位宝剑十
'ni'wei'bao'jian'shi'cong 逆位宝剑侍从
'ni'wei'bao'jian'si 逆位宝剑四
'ni'wei'bao'jian'wu 逆位宝剑五
'ni'wei'bao'jian'yi 逆位宝剑一
'ni'wei'dao'diao'zhe 逆位倒吊者
'ni'wei'e'mo 逆位恶魔
'ni'wei'gao'ta 逆位高塔
'ni'wei'huang'di 逆位皇帝
'ni'wei'huang'hou 逆位皇后
'ni'wei'jiao'huang 逆位教皇
'ni'wei'jie'zhi 逆位节制
'ni'wei'li'liang 逆位力量
'ni'wei'lian'ren 逆位恋人
'ni'wei'ming'yun'zhi'lun 逆位命运之轮
'ni'wei'mo'shu'shi 逆位魔术师
'ni'wei'nv'ji'si 逆位女祭司
'ni'wei'quan'zhang'ba 逆位权杖八
'ni'wei'quan'zhang'er 逆位权杖二
'ni'wei'quan'zhang'guo'wang 逆位权杖国王
'ni'wei'quan'zhang'huang'hou 逆位权杖皇后
