'a'qi'na 阿奇那
'an'lu'shan 安禄山
'an'qing'xu 安庆绪
'bai'jin'cheng 白锦程
'bai'shao 白芍
'ban'cheng'chi'de'wu'yan 半城池的无言
'ban'cheng'chi'de'yu'lian 半城池的雨帘
'ban'cheng'lian 半城恋
'ban'cheng'shang 半城伤
'ban'cheng'xue 半城雪
'ban'cheng'yan 半城烟
'bao'mu'zhong'yang 宝木中阳
'bao'xiao'ping 包小平
'bi'han'wen 毕瀚文
'bi'shang'yan 闭上眼
'bu'qiao'wo'men'dou'lun'xian 不巧我们都沦陷
'bu'shi'yun'dian 不是云巅
'bu'xiang'cuo'guo'ni'suo'you'shi'jian 不想错过你所有时间
'cao'xi'ge 曹曦戈
'ceng'shi'chang'feng'wan'li'de'xiang'song 曾是长风万里的相送
'cha'zi'yan'hong'dou'bu'jue'tian 姹紫嫣红都不觉甜
'chan'rao'duo'shao'bian 缠绕多少遍
'chang'cheng 常铖
'chang'xi 常喜
'chao'xi'yue'you'ying 潮汐月有盈
'chen'guan'ning 陈冠宁
'chen'hong'jin 陈鸿锦
'chen'xi 陈曦
'chen'xi'lie 陈希烈
'chen'xuan'li 陈玄礼
'chen'yuan 陈援
'chen'zhe'lun 陈喆伦
'chen'zhi'hui 陈之辉
'chen'zhou 陈周
'cheng'yuan'zhen 程元振
'chi'cheng'hao'qing'de'tian'xia 驰骋豪情的天下
'chun'guang'liu'xie 春光流泻
'chun'guang'ru'lian 春光如练
'ci'qing'dong'wo'you'you 此情动我幽幽
'cong'tian'bian'dao'yan'qian 从天边到眼前
'cui'cai'ping 崔彩屏
'da'meng'xing 大梦醒
'da'yi'di'jian 大移地建
'dai'li'bie 待离别
'de'ci'yi'sheng 得此一生
'de'you'reng 得又扔
'deng'zhe'xi'yu'ting'xie 等着细雨停歇
'dong'dong'dong 董冬冬
'dong'ze'bu 东则布
'dou'fu'zhu'yu'kuang'lan 都付诸于狂澜
'dou'shi'wei'le'jiang'shan 都是为了江山
'du'gu'gui'fei 独孤贵妃
'du'gu'jing'yao 独孤靖瑶
'du'yuan 杜源
'duan'si'si 段思思
'duo'se'xuan'li'de'ban'lan 多色绚丽的斑斓
'duo'shao'en 多少恩
'duo'shao'yuan 多少怨
'en'zhong'qing'nong 恩重情浓
'fan'meng 范梦
'fang'xiao'li 方晓莉
'fei'dao'ba'jian'li'wan 飞刀拔剑力挽
'fei'hua'luo'hong 飞花落红
'fei'yang'piao'ling'de'huang'sha 飞扬飘零的黄沙
'feng'gan'yi'xiu'hong'de'shi'qian 风干已锈红的誓签
'feng'li 冯粒
'feng'sheng 冯盛
'feng'sheng'yi 风生衣
'feng'xiao'chang'kong 风啸长空
'feng'yu'zhong 风雨中
'fu'sheng'qian 浮生浅
'gan'qing'xian 感情线
'gan'shi'jia 甘世佳
'gao'li'shi 高力士
'geng'li'ming 耿黎明
'gu'de'chao 辜德超
'guang'ping'wang 广平王
'gui'qu'zai 归去在
'guo'rui'xi 郭芮溪
'guo'zhe'yun'yan 裹着云烟
'guo'zheng'jian 郭政建
'guo'zi'yi 郭子仪
'ha'si'li 哈丝丽
'han'guo'fu'ren 韩国夫人
'han'hao'lin 韩昊霖
'han'shou'shi'wen'du 寒手失温度
'han'zhi'jie 韩志杰
'hao'you'yue 郝幽玥
'he'ling'yi 何灵依
'he'qiang 贺强
'hong'rui 红蕊
'huang'tian'qi 黄天崎
'hui'dang'zai'xin'jian 回荡在心间
'hui'he'ke'han 回纥可汗
'hui'shou'shi 挥手时
'hui'yi'xun'zang'lan'shan'chu 回忆殉葬阑珊处
'hui'zhi'lan'xin 蕙质兰心
'huo'ran'jian 豁然间
'huo'zun 霍尊
'jian'ning'wang 建宁王
'jian'ning'wang'fei 建宁王妃
'jiang'shi 姜氏
'jin'rui 金芮
'jin'xiu'chang'an'ye 锦绣长安夜
'jin'xiu'ling'long 锦绣玲珑
'jin'zun'yu'zhan'bu'huan 金樽玉盏不换
'jing'mi'qian'nian'de'si'nian 静谧千年的思念
'jing'tian 景甜
'jiu'meng'shen'mai'cheng'qian'gu 旧梦深埋成千古
'ke'yi'lu 可一路
'keng'qiang'de'wen'rou 铿锵的温柔
'li'bai 李白
'li'cheng'cai 李承寀
'li'chu 李俶
'li'chun'liang 李春良
'li'chuo 李婼
'li'fu'guo 李辅国
'li'guang'bi 李光弼
'li'heng 李亨
'li'li 李力
'li'mi 李泌
'li'shi'meng 李诗萌
'li'si'qi 李思琪
'li'tan 李倓
'li'tian'zhu 李天柱
'li'xi 李系
'li'xue'man 李雪漫
'li'yang 丽阳
'li'zhu'er 李猪儿
'lian'suo'zai'na'qi'mei'zhong'yao'ye 链锁在那凄美中摇曳
'liang'jing'xian 梁婧娴
'lin'qiang 林强
'lin'xue 林雪
'ling'er 灵儿
'liu'chen'xia 刘晨霞
'liu'cong 刘琮
'liu'fang 刘芳
'liu'gei'shi'jian'lai'liao'duan 留给时间来了断
'liu'guo'nan 刘国楠
'liu'lu 刘露
'liu'qian'han 刘芊含
'liu'run 刘润
'liu'wei'wei 刘威葳
'liu'xiao'yu 刘校妤
'liu'yan 刘妍
'lu'xing'yu 卢星宇
'lu'ying 卢莹
'luan'jie 栾杰
'luo'hua'shi'jie 落花时节
'luo'mi 罗米
'lv'peng 吕鹏
'ma'cheng'cheng 马程程
'ma'lin 马林
'ma'wen'yuan 马闻远
'ma'xiao'feng 马晓峰
'man'chang'de'su'nian 漫长的夙念
'man'chang'deng'dai'qian'gua'de'rong'yan 漫长等待牵挂的容颜
'mao'zi'jun 茅子俊
'meng'hui'jian 梦回间
'meng'yi'sheng 梦一生
'mi'mi 米咪
'mie'you'sheng 灭又生
'ming'yun'cong'ci'zhuan'yi'quan 命运从此转一圈
'mo'nong'ying'hua'mei 墨浓映画眉
'mo'yan'chuo 默延啜
'mu'rong'lin'zhi 慕容林致
'ni'bi'bei 尼比辈
'ni'de'chu'xian 你的出现
'ni'hui'cheng'shan'shui'jian'na'yi'dian 你会成山水间那一点
'ni'shi'chun'de'shi'jie 你是春的使节
'ni'su'yan 你素颜
'ni'wo'de'xin 你我的心
'ni'wo'yuan'jin'dao'fen'biao'yang 你我缘尽道分镳扬
'nian'yi'sheng 念一生
'nuan'xin'bu'fu'zhui 暖心不复追
'pei'liang'di 裴良娣
'pian'pian'tian'bu'sui'ren'yuan 偏偏天不随人愿
'pu'shuo 朴铄
'qian'chen'shi'dou'ru'tu 前尘事都入土
'qiao'shi'yu 乔诗语
'qin'han 秦汉
'qin'jun'jie 秦俊杰
'qing'kong'mian'mian 青空绵绵
'qiu'qiu 邱秋
'que'nan'xiang'lian 却难相连
'que'zong'you'yi'han'chen'dian 却总有遗憾沉淀
