'a'la'bo'yu'yu'yan'wen'xue 阿拉伯语语言文学
'an'quan'ji'shu'ji'gong'cheng 安全技术及工程
'ban'bo'shi'yan 半波实验
'ban'dao'ti'bian'liu'ji'shu 半导体变流技术
'ban'dao'ti'cai'liao 半导体材料
'ban'dao'ti'ce'liang 半导体测量
'ban'dao'ti'ci'min'yuan'jian 半导体瓷敏元件
'ban'dao'ti'guang'dian'zi'xue 半导体光电子学
'ban'dao'ti'hua'xue 半导体化学
'ban'dao'ti'ji'cheng'dian'lu 半导体集成电路
'ban'dao'ti'ji'guang'qi 半导体激光器
'ban'dao'ti'li'lun 半导体理论
'ban'dao'ti'qi'jian 半导体器件
'ban'dao'ti'qi'jian'gong'yi'yuan'li 半导体器件工艺原理
'ban'dao'ti'qi'jian'ke'cheng'she'ji 半导体器件课程设计
'ban'dao'ti'wu'li 半导体物理
'ban'dao'ti'zhuan'ye 半导体专业
'ban'dao'ti'zhuan'ye'shi'yan 半导体专业实验
'ban'gong'zi'dong'hua 办公自动化
'ban'gong'zi'dong'hua'xi'tong'bi'ye'she'ji 办公自动化系统毕业设计
'ban'gong'zi'dong'hua'xi'tong'she'ji 办公自动化系统设计
'ban'ke'li'lun 板壳理论
'ban'ke'li'xue 板壳力学
'bao'gao'wen'xue'zhuan'ti 报告文学专题
'bao'kan'bian'ji'xue 报刊编辑学
'bao'kan'xuan'du 报刊选读
'bao'mo'guang'xue 薄膜光学
'bao'zhi'bian'ji'xue 报纸编辑学
'beng'yu'feng'ji 泵与风机
'beng'yu'shui'ji 泵与水机
'bi'jiao'jiao'yu'xue 比较教育学
'bi'jiao'wen'xue'yu'shi'jie'wen'xue 比较文学与世界文学
'bi'ye'lun'wen 毕业论文
'bi'ye'she'ji 毕业设计
'bi'ye'shi'xi 毕业实习
'bian'dian'zhan'de'wei'ji'jian'ce 变电站的微机检测
'bian'dian'zhan'de'wei'ji'jian'ce'yu'kong'zhi 变电站的微机检测与控制
'bian'fen'fa'yu'zhang'liang 变分法与张量
'bian'fen'xue 变分学
'bian'liu'ji'shu 变流技术
'bian'yi'fang'fa 编译方法
'bian'yi'ji'shu 编译技术
'bian'yi'yuan'li 编译原理
'bian'yi'yuan'li'ke'cheng'she'ji 编译原理课程设计
'bian'zhi'liang'xi'tong're'li'xue'yu'xin'xing'hui'zhuan'ya 变质量系统热力学与新型回转压
'biao'mian'huo'xing'wu'zhi 表面活性物质
'bing'li'xue'yu'bing'li'sheng'li'xue 病理学与病理生理学
'bing'qi'fa'she'li'lun'yu'ji'shu 兵器发射理论与技术
'bing'qi'ke'xue'yu'ji'shu 兵器科学与技术
'bing'xing'chu'li 并行处理
'bing'xing'suan'fa 并行算法
'bing'yuan'sheng'wu'xue 病原生物学
'bing'zhong'zhan'shu'xue 兵种战术学
'bo'pu'xue 波谱学
'bu'lao'xue 捕捞学
'cai'kuang'gong'cheng 采矿工程
'cai'liao'de'li'xue'xing'neng'ce'shi 材料的力学性能测试
'cai'liao'jia'gong'gong'cheng 材料加工工程
'cai'liao'ke'xue'yu'gong'cheng 材料科学与工程
'cai'liao'li'xue 材料力学
'cai'liao'wu'li'yu'hua'xue 材料物理与化学
'cai'liao'xue 材料学
'cai'wu'cheng'ben'guan'li 财务成本管理
'cai'wu'guan'li 财务管理
'cai'wu'kuai'ji 财务会计
'cai'zheng'xue 财政学
'cai'zheng'xue'han'shui'shou'xue 财政学含税收学
'cai'zheng'yu'jin'rong 财政与金融
'cai'zheng'yu'shui'shou 财政与税收
'cai'zheng'yu'xin'dai 财政与信贷
'cao'ye'ke'xue 草业科学
'cao'zuo'xi'tong 操作系统
'cao'zuo'xi'tong'ke'cheng'she'ji 操作系统课程设计
'cao'zuo'xi'tong'yu'bian'yi'yuan'li 操作系统与编译原理
'cao'zuo'xi'tong'yuan'li 操作系统原理
'ce'bo'ce'liang'ji'shu 策波测量技术
'ce'hui'ke'xue'yu'ji'shu 测绘科学与技术
'ce'liang'ji'shu'ji'chu 测量技术基础
'ce'liang'yuan'li'yu'yi'qi'she'ji 测量原理与仪器设计
'ce'shi'ji'liang'ji'shu'ji'yi'qi 测试计量技术及仪器
'ce'shi'ji'shu 测试技术
'ce'shi'yu'xin'hao'bian'huan'chu'li 测试与信号变换处理
'cha'xue 茶学
'chan'pin'xue 产品学
