'bei'tai 北抬
'bei'yi 北移
'ceng'jie 层结
'ci'wang'ge 次网格
'da'wo'mo'shi 大涡模式
'di'xing'zhong'li'bo'tuo'ye 地形重力波拖曳
'di'yun 低云
'di'yun'liang 低云量
'dong'che 东撤
'dui'liu'you'xiao'wei'neng 对流有效位能
'fan'qi'xuan'shi 反气旋式
'fan'qi'xuan'shi'huan'liu 反气旋式环流
'fei'jing'li 非静力
'ge'dian'chi'du 格点尺度
'hai'qi'ou'he 海气耦合
'ji'jie'nei'zhen'dang 季节内振荡
'ji'xian 脊线
'jiang'shui'lv 降水率
'jiang'shui'ri'xun'huan 降水日循环
'jing'li 静力
'kong'zhi'bian'liang 控制变量
'lu'biao'fei'jun'yun'xing 陆表非均匀性
'lu'qi 陆气
'lu'qi'ou'he 陆气耦合
'lu'qi'xiang'hu'zuo'yong 陆气相互作用
'nan'che 南撤
'nan'luo 南落
'neng'liang'shou'heng 能量守恒
'pin'san 频散
'pin'san'guan'xi 频散关系
'qi'hou'tai 气候态
'qi'xuan'shi 气旋式
'qi'xuan'shi'huan'liu 气旋式环流
'que'ce'zhi 缺测值
're'dai'bo'dong 热带波动
're'dai'ji'jie'nei'zhen'dang 热带季节内振荡
'shi'jian'bu'chang 时间步长
'wang'ge'jian'ju 网格间距
'wei'neng 位能
'wei'shi 位势
'wei'shi'gao'du 位势高度
'wei'wen 位温
'xi'shen 西伸
'xi'tai'fu'gao 西太副高
'you'xian'cha'fen 有限差分
'yun'di 云底
'yun'di'gao'du 云底高度
'yun'di'shu'nong'du 云滴数浓度
'yun'ding 云顶
'yun'ding'gao'du 云顶高度
'zhi'tan'xing 滞弹性
'zhong'li'bo'tuo'ye 重力波拖曳
'zhou'qi'bian'jie'tiao'jian 周期边界条件
