'a'bei'er'de'bao'fu 阿贝尔的报复
'a'bei'lan'min'zu'de'xiong'shi 阿贝兰民族的胸饰
'a'bi'rang 阿比让
'a'bo'luo'juan'die'de'xiong'zhen 阿波罗绢蝶的胸针
'a'bo'luo'shen'dian 阿波罗神殿
'a'bo'mei'gong'dian 阿波美宫殿
'a'bu'ke'de'yu'mao'shi'pin 阿布克的羽毛饰品
'a'bu'li'sha 阿布里沙
'a'bu'xin'bai'le'shen'dian 阿布辛拜勒神殿
'a'bu'xin'bai'le'shen'miao 阿布辛拜勒神庙
'a'er'diao'cha 阿尔调查
'a'er'ji'er 阿尔及尔
'a'er'ji'li'ya'niao 阿尔及利亚鸟
'a'er'jin 阿尔金
'a'er'ta'yan'shi'hua'xiang 阿尔塔岩石画像
'a'er'wei'sai 阿尔韦赛
'a'fo'luo'di'tei'zhi'shi 阿佛洛狄忒之使
'a'ge'li'pin'na'de'tou'shi 阿格丽品娜的头饰
'a'gen'ting'hai'pen 阿根廷海盆
'a'ji'la'er'de'sheng'jing 阿基拉尔的圣经
'a'jia'men'nong'huang'jin'mian'ju 阿枷门农黄金面具
'a'ke'su'mu'shi'zhu 阿克苏姆石柱
'a'ke'su'mu'shi'zhu'qun 阿克苏姆石柱群
'a'la'bo'da'ling'yang 阿拉伯大羚羊
'a'la'bo'du'pi'wu'qun 阿拉伯肚皮舞裙
'a'la'bo'hai'dao'shan 阿拉伯海盗衫
'a'la'bo'hai'dong'bei'an 阿拉伯海东北岸
'a'la'bo'hai'xi'bei'an 阿拉伯海西北岸
'a'la'bo'ma'jia'tao'zhuang 阿拉伯马甲套装
'a'la'bo'min'zu'tao'zhuang 阿拉伯民族套装
'a'la'bo'xie'zi 阿拉伯鞋子
'a'la'bo'yu 阿拉伯语
'a'la'bo'zhan'shi'nan'zhuang 阿拉伯战士男装
'a'la'bo'zhan'shi'nv'zhuang 阿拉伯战士女装
'a'mi'wang'zhe'la'dong 阿米王者拉洞
'a'mu'si'te'dan 阿姆斯特丹
'a'ni'tuo'shi'ku 阿旎陀石窟
'a'nu'bi'si 阿奴比斯
'a'nu'bi'si'zhi'mi 阿努比斯之谜
'a'sen'song'dao 阿森松岛
'a'si'ke'lei'deng'de'yao'tang 阿斯克雷等的药汤
'a'si'mo'dai'de'bao'yu 阿斯摩代的宝玉
'a'ti'mi'si'shen'dian 阿提密丝神殿
'a'wa'lei'de 阿瓦雷德
'a'wa'long 阿瓦隆
'a'wa'you'bu 阿瓦优布
'a'wei'si'ta 阿维斯塔
