'a'bi'rang 阿比让
'a'er'jin 阿尔金
'a'er'ke'ma'er 阿尔克马尔
'a'mu'si'te'dan 阿姆斯特丹
'an'te'wei'pu 安特卫普
'ao'si'lu 奥斯陆
'ba'le'mo 巴勒莫
'ba'sai'luo'na 巴塞罗那
'ba'si'di'ya 巴斯蒂亚
'ban'jia'xi 班加西
'bei'er'gen 卑尔根
'bi'sa 比萨
'bo'duo'li'ge 波多黎各
'bu'lai'mei 不莱梅
'da'jia'na'li 大加那利
'de'li'bo'li 的黎波里
'duo'fo 多佛
'fa'lu 法鲁
'ge'ben'ha'gen 哥本哈根
'ge'luo'ning'gen 格罗宁根
'ha'wa'na 哈瓦那
'han'bao 汉堡
'jia'lai 加来
'ka'li'ya'li 卡利亚里
'lun'dun 伦敦
'lv'bei'ke 吕贝克
'lv'jiao 绿角
'ma'de'la 马德拉
'ma'la'jia 马拉加
'ma'luo'ka 马洛卡
'ma'sai 马赛
'na'bu'le'si 那不勒斯
'nan'an'pu'dun 南安普顿
'ni'si 尼斯
're'na'ya 热那亚
