'an'le'wang 安乐王
'bai'hua'zhen'xian 白话真仙
'bai'jin 白锦
'bai'wu'xiang 白无相
'ban'yue 半月
'cuo'cuo 错错
'e'ming 厄命
'fang'xin'jian 芳心剑
'feng'shen'gong 风神弓
'feng'shi'shan 风师扇
'feng'xin 风信
'fu'yao 扶摇
'gu'long 骨龙
'gu'zi 谷子
'guang'rong 广容
'he'xuan 贺玄
'hong'jing 红镜
'hua'cheng 花城
'jian'lan 剑兰
'jing'wen'zhen'jun 敬文真君
'jun'wu 君吾
'ke'mo 刻磨
'lang'qian'qiu 郎千秋
'lang'ying 郎英
'lang'ying 郎莹
'ling'wen 灵文
'mei'nian'qing 梅念卿
'ming'guang'jian 明光剑
'ming'yi 明仪
'mu'qing 慕情
'nan'feng 南风
'pei'ming 裴茗
'pei'su 裴宿
'qi'rong 戚容
'quan'yi'zhen 权一真
'ruo'xie 若邪
'shi'qing'xuan 师青玄
'shi'wu'du 师无渡
'shui'shi'shan 水师扇
'si'ling'die 死灵蝶
'wu'yong'tai'zi 乌庸太子
'xiao'ying 小莹
'xie'lian 谢怜
'xie'lian'de'dou'li 谢怜的斗笠
'xie'lian'fu'qin 谢怜父亲
'xie'lian'mu'qin 谢怜母亲
'xie'wei'she 蝎尾蛇
'xuan'ji 宣姬
'yan'zhen 艳贞
'yin'yu 引玉
'yu'shi 雨师
'yu'shi'jian 雨师剑
'yu'shi'li 雨师笠
'yue'ya'chan 月牙铲
'zhan'ma'dao 斩马刀
