'bai'bing 白冰
'bao'jie'yi 宝婕仪
'bei'chao 北朝
'bei'chao'li'guo'gong'zhu 北朝离国公主
'bing'lan'sha 冰蓝纱
'cai'yin 采茵
'chang'heng 常亨
'chen'zhong'fu 陈众孚
'cheng'cheng 成城
'cheng'en 承恩
'chun'xiang 春香
'de'shun 德顺
'ding'kai 丁凯
'ding'ke'yong 丁克勇
'ding'yi 丁一
'ding'zi'jun 丁子峻
'dong'er 冬儿
'du'ruo 杜若
'du'zhi'chu 杜之初
'feng'huang'wu'shuang 凤凰无双
'feng'huang'xing 凤凰星
'feng'huang'xing'sheng'nv 凤凰星圣女
'gao'dong'yu 高冬雨
'gao'yan 高嫣
'gao'yang 高洋
'gu'qing'hong 顾清鸿
'guan'xuan 管轩
'gui'jiao 鬼娇
'guo'jun 国君
'guo'yi'ran 郭怡然
'hai'bo 海波
'han'yu'nuo 韩与诺
'he'jian'ze 何建泽
'he'yan'ni 何彦霓
'hu'yang 胡洋
'huang'tian'qi 黄天崎
'ji'ling'xi 纪泠希
'ji'ning 纪宁
'ji'rou'sang 季柔桑
'ji'zheng 季峥
'jiang'hong'bo 姜宏波
'jiao'tong 娇童
'jin'meng'nan 靳孟楠
'lan'guo 兰国
'lan'guo'huang'hou 兰国皇后
'lan'guo'tai'hou 兰国太后
'lang'yue'ting 郎月婷
'li'gong'gong 李公公
'li'guo 李果
'li'guo 离国
'li'guo'guo'jun 离国国君
'li'jun'hao 李俊豪
'li'zheng'yang 李政阳
'liang'wang 梁王
'lin'gong'gong 林公公
'lin'jing'zhe 林靖喆
'ling'mo'mo 凌嬷嬷
'liu'jia 刘佳
'liu'mei'han 刘美含
'liu'ya'di 刘亚迪
'liu'yin 刘音
'lv'xing'chen 吕星辰
'ma'chun'rui 马春瑞
'ma'jin 马进
'miu'fu'ren 缪夫人
'miu'ming'hu 缪明鹄
'miu'qian'qian 缪芊芊
'miu'wei'cheng 缪卫城
'mu'qi'mi'ya 母其弥雅
'nan'chao'lan'guo'huang'di 南朝兰国皇帝
'nan'sheng 南笙
'neng'liang'shi 能量石
'nie'wu'shuang 聂无双
'ping'xing 平行
'qian'mei'ren 倩美人
'qing'yuan 清远
'qiu'zi 秋子
'ren'wan'jing 任婉婧
'rong'zi'shan 荣梓杉
'rou'fang 柔芳
'san'huang'zi 三皇子
'shao'xiao'jiang 邵晓江
'shi'min 石敏
'shi'yang'zi 石洋子
'shu'fei 淑妃
'shu'xian'sheng 树先生
'su'juan 素绢
'su'ke'wu 苏克武
'su'mao 苏茂
'sun'gong'gong 孙公公
'tang'wen'qi 唐文琦
'tian'lei 天泪
'wan'mei'ren 宛美人
'wang'chun 王春
'wang'li'kun 王丽坤
'wang'quan'you 王全有
'wang'seng'bian 王僧辩
'wang'shi'jie 王世杰
'wang'tai'hou 王太后
'wang'tian'ye 王田野
'wang'ting'wen 王亭文
'wang'xiao'jie 王晓杰
'wang'xin'min 王新民
'wu'de'xin 吴德鑫
'wu'jin'yan 吴谨言
'xia'lan 夏兰
'xia'ming'hao 夏铭浩
'xiao'feng'ming 小凤溟
'xiao'feng'ming 萧凤溟
'xiao'feng'qing 萧凤青
'xiao'gao'yan 小高嫣
'xiao'huang'qing 小凰青
'xiao'hui 肖辉
'xiao'jin'zi 小金子
'xiao'qian'qian 小芊芊
'xiao'yu 萧昱
'xiong'nai'jin 熊乃瑾
'xu'huan'shan 许还山
'xu'huang'hou 许皇后
'xu'yi'wen 徐薏雯
'xue'bi 薛壁
'xue'hui 薛辉
'xue'ke 雪珂
'xue'ming'yi 薛明义
'ya'mei'ren 雅美人
'yang'li'da 杨立达
'yang'su 杨苏
'yang'tong 杨彤
'yang'zhi 杨直
'ye'ting 叶庭
'yong'bao'yue'de'tai'yang 拥抱月的太阳
'yu'pin 玉嫔
'yu'xiao 玉霄
'yuan'yuan 袁媛
'yue'ying 月影
'yun'fei 云妃
'yun'le 云乐
'zhang'min'min 张敏敏
'zhang'xiao'long 张晓龙
'zhao'heng 赵恒
'zhao'ke 赵科
'zheng'yuan'chang 郑元畅
'zhou'bin 周斌
'zhou'ning 周宁
'zhou'zhong'he 周中和
'zhu'yong'teng 朱泳腾
'zhuang'chun'yan 庄纯雁
'zi'juan 紫鹃
'zi'yan 子琰
