'dao'men'yuan'huang'qi'jiao 道门元皇启教
'dou'fu'qing'xuan'zuo'ying'ling'xu'hu'jun'di'qiu'zhen'ren 斗府青玄佐应灵虚胡君涤求真人
'hu'jun'dao'qing'zhen'ren 胡君道清真人
'hu'jun'qing'yuan'zhen'ren 胡君庆源真人
'jiu'huang'gao'shang'di'jin'que'yu'huang'she'zui'da'tian'zun 九皇高上帝金阙玉皇赦罪大天尊
'ling'hui'wei'zheng'bo'ji'zhen'jun 灵惠威正博济真君
'liu'jun'zi'tang'zhen'ren 刘君紫堂真人
'qing'yuan'miao'dao'zhen'jun 清源妙道真君
'san'qing'lao'jun 三清老君
'shang'di'chi'feng'xiao'zai'jiu'jie'pu'hua'di'jun 上帝敕封消灾救劫普化帝君
'tai'shang'bei'ji'ying'hua'tai'yi'yuan'huang'da'dao'jun 太上北极应化太乙元皇大道君
'tai'shang'kai'tian'xuan'luo'miao'you'ying'huang'wan'tian'shang'di 太上开天玄罗妙有应皇万天上帝
'tai'shang'yuan'huang'huai'nan'yuan 太上元皇淮南院
'tai'yi'yuan'huang'da'dao'jun 太乙元皇大道君
'xuan'huang 玄皇
'xuan'huang'qi'jiao 玄皇启教
'xuan'yuan'xu'huang'wan'dao'zhi'zong'tai'shang'lao'jun 玄元虚皇万道之宗太上老君
'yu'tian'ling'yin'yao'zan'de'zhang'zheng'hang'zhen'ren 御天灵隐遥赞德彰正行真人
'yuan'huang 元皇
'yuan'huang'du'hui'da'ling'guan 元皇都会大灵官
'yuan'huang'du'tian'da'ling'guan 元皇都天大灵官
'yuan'huang'qi'jiao 元皇启教
'yuan'huang'wu'lei'meng'wei'tan 元皇五雷盟威坛
'yuan'huang'wu'lei'qu'xie'tan 元皇五雷驱邪坛
'yuan'huang'zhang'zhao'er'wei'zu'shi 元皇张赵二位祖师
'zhong'tian'xing'zhu'bei'ji'zi'wei'da'di 中天星主北极紫微大帝
'zi'qi'shen'kang'xu'yuan'guo'mo'sha'fa'zhen'ren 紫炁神康戌元馘魔杀伐真人
