'ban'yun'gong 搬运工
'bao'an 保安
'bao'po'gui'cai 爆破鬼才
'bao'zang'lie'ren 宝藏猎人
'bian'se'long 变色龙
'cai'quan'wang 猜拳王
'chen'mo 沉默
'chuan'yuan 船员
'cui'mian'zhe 催眠者
'da'wei'wang 大胃王
'dao'dan'gui 捣蛋鬼
'dao'qu'zhe 盗取者
'diao'cha'yuan 调查员
'e'mo 恶魔
'fei'dao'bing 飞叨兵
'gai'zao'zhe 改造者
'gan'ran'zhe 感染者
'gao'ji'te'gong 高级特工
'gong'cheng'shi 工程师
'guan'dao'shou'hu'zhe 管道守护者
'hao'mi'ni'chuan'yuan 好迷你船员
'hei'ke 黑客
'hua'xing'zhe 化形者
'huai'mi'ni'chuan'yuan 坏迷你船员
'huan'piao'shi 换票师
'huan'ying 幻影
'hui'xuan'biao'lie'shou 回旋镖猎手
'hun'ling'shi 魂灵师
'ji'guang'yan 激光眼
'jian'die 间谍
'jiao'huan'shi 交换师
'jing'zhang 警长
'ju'ji'shou 狙击手
'kuai'qiang'shou 快枪手
'kuang'gong 矿工
'lao'bing 老兵
'lie'ren 猎人
'ling'hun'lue'duo'zhe 灵魂掠夺者
'ling'hun'shou'hu'zhe 灵魂守护者
'ling'hun'zhao'huan'zhe 灵魂召唤者
'ling'mei 灵媒
'lv'shi 律师
'mo'chu'zhe 抹除者
'mo'shu'shi 魔术师
'nei'gui 内鬼
'nv'wu 女巫
'pan'tao'zhe 叛逃者
'qing'bao'yuan 情报员
'qing'li'zhe 清理者
'qiu'bi'te 丘比特
'shan'guang'dan 闪光弹
'shang'jin'lie'ren 赏金猎人
'shi'jian'zhi'zhu 时间之主
'shi'zhang 市长
'shou'wang'zhe 守望者
'shou'wei 守卫
'shou'ye'ren 守夜人
'si'jia'zhen'tan 私家侦探
'tian'shi 天使
'xi'xue'gui 吸血鬼
'xiao'chou 小丑
'xie'e'du'guai 邪恶赌怪
'xing'cun'zhe 幸存者
'xing'tan 星探
'yi'sheng 医生
'yin'bi'zhe 隐蔽者
'yin'yang'shi 阴阳师
'you'bu'zhe 诱捕者
'yu'yan'jia 预言家
'yu'zu 狱卒
'zao'shi'zhe 造尸者
'zha'dan'ren 炸弹人
'zhen'tan 侦探
'zheng'yi'du'guai 正义赌怪
'zhi'deng'ren 执灯人
'zhong'li 中立
'zong'huo'fan 纵火犯
