'bi'sheng'mi'ji 必胜秘籍
'bo'dong'qiu 波动球
'chen'de'sen 陈德森
'chi'da'yong 池大勇
'chui'zhi'kou'sha 垂直扣杀
'dan'da 单打
'guo'zi 国子
'hai'guang 海广
'huang'jin'da'dang 黄金搭档
'huang'jing 黄靖
'ling'du'xiao'qiu 零度削球
'liu'ye 六爷
'liu'zhong 六中
'lu'xia 路夏
'lu'xiang'qian 路向前
'mu'si'yang 穆司阳
'qi'ying 齐英
'she'qiu 蛇球
'shen'qian'shi 沈千石
'shen'wei'ming 申伟明
'shi'tie'nan 施铁男
'shu'ju'wang'qiu 数据网球
'shuang'da 双打
'si'ma'yi'wu 司马亦武
'tang'jia'le 唐佳乐
'wang'qiu 网球
'wang'qiu'gao'zhong'lian'sai 网球高中联赛
'wei'ke'fei 韦克飞
'xiao'shi'qiu 消失球
'xing'yao 星耀
'xing'zi 杏子
'xu'zi'ping 徐子平
'ya'jiu'xin 亚久辛
'yan'jiang 燕江
'ying'cai 英才
'yu'feng 玉峰
'yu'qing 育青
'yuan'chi 袁弛
'zhuo'yu 卓宇
'zhuo'zhi 卓治
'zi'chou'qiu 字抽球
