'an'sha'jiao'shi 暗杀教室
'bo'ying'gui 薄樱鬼
'chi'fa'bai'xue'ji 赤发白雪姬
'chu'bao'nv'wang 出包女王
'chu'yin'dao 初音岛
'dao'jian'shen'yu 刀剑神域
'dong'jing'shi'shi'gui 东京食尸鬼
'e'mo'nai'ba 恶魔奶爸
'fei'dan'de'ya'li'ya 绯弹的亚里亚
'gan'wu'mei'xiao'mai 干物妹小埋
'gang'zhi'lian'jin'shu'shi 钢之炼金术师
'guan'lan'gao'shou 灌篮高手
'hai'zei'wang 海贼王
'hei'ta'li'ya 黑塔利亚
'hei'zhi'qi'yue'zhe 黑之契约者
'hei'zhi'shi 黑执事
'hei'zi'de'lan'qiu 黑子的篮球
'hong'zhu 红猪
'hui'se'de'guo'shi 灰色的果实
'hui'se'de'le'yuan 灰色的乐园
'hui'zhang'shi'nv'pu 会长是女仆
'huo'ying'ren'zhe 火影忍者
'ji'sheng'shou 寄生兽
'jia'chong'wang'zhe 甲虫王者
'jia'ting'jiao'shi 家庭教师
'jin'ji'de'ju'ren 进击的巨人
'jin'se'qin'xian 金色琴弦
'ming'zhen'tan'ke'nan 名侦探柯南
'mo'gui'lian'ren 魔鬼恋人
'mo'ka'shao'nv'ying 魔卡少女樱
'pan'ni'de'lu'lu'xiu 叛逆的鲁鲁修
'qi'zong'zui 七宗罪
'qian'yu'qian'xun 千与千寻
'qiang'wei'shao'nv 蔷薇少女
'qing'yin'shao'nv 轻音少女
'quan'ye'cha 犬夜叉
'sheng'dou'shi'xing'shi 圣斗士星矢
'shui'guo'lan'zi 水果篮子
'si'shen 死神
'si'wang'bi'ji 死亡笔记
'tian'kong'zhi'cheng 天空之城
'wu'tou'qi'shi'yi'wen'lu 无头骑士异闻录
'xi'xue'gui'qi'shi 吸血鬼骑士
'xi'yang'ran'hong'de'jie'dao 夕阳染红的街道
'xia'mu'you'ren'zhang 夏目友人帐
'yao'jing'de'wei'ba 妖精的尾巴
'yin'hun 银魂
'you'jiu'zhi'yi 悠久之翼
'yuan'zhi'kong 缘之空
'zhong'jie'de'chi'tian'shi 终结的炽天使
'zhuo'yan'de'xia'na 灼眼的夏娜
