'a'bao 阿宝
'a'ruo 阿箬
'a'xing 阿星
'ai'er 艾尔
'ai'xin'jue'luo 爱新觉罗
'ai'xin'jue'luo'jing'wan 爱新觉罗璟妧
'ai'xin'jue'luo'yong'zhang 爱新觉罗永璋
'an'duo 安多
'an'ji'bo'sang 安吉波桑
'an'jie 安杰
'ba'lin 巴林
'bai'chang'zai 白常在
'bai'er'guo'si'shi 拜尔果斯氏
'bai'lan 白澜
'bai'rui'ji 白蕊姬
'bao'tai'yi 包太医
'bao'yi'zuo'ling 包衣佐领
'bian'cheng 边程
'bo'er'ji'ji'te 博尔济吉特
'cao'xi'wen 曹曦文
'chen'chong 陈冲
'chen'er'jia 陈二佳
'chen'hao'yu 陈昊宇
'chen'meng'xi 陈梦希
'chen'mu'yi 陈木易
'chen'wan'yin 陈婉茵
'chen'wan'yin'shi'nv 陈婉茵侍女
'chen'xiao'yun 陈小纭
'chen'xue'tao 陈雪涛
'chen'yuan'er 晨媛儿
'chen'zhuo 陈卓
'cheng'han 成翰
'cheng'xing'yuan 程星源
'chi'xu'xuan'zhe 池徐轩哲
'chong'qing'tai'hou 崇庆太后
'chun'chan 春婵
'chun'hui'huang'gui'fei 纯惠皇贵妃
'cui'mo'mo 崔嬷嬷
'ding'liu'yan 丁柳雁
'ding'qiao 丁桥
'dong'jie 董洁
'dong'li'wu'you 董李无忧
'duan'shu'zhang'gong'zhu 端淑长公主
'duo'yan 朵颜
'duo'yun 朵云
'e'yin'zhu 厄音珠
'er'tao 二套
'fang'xiao'li 方晓莉
'fang'yu'chen 方宇晨
'feng'pu 冯瀑
'fu'cha 富察
'fu'cha'fu'heng 富察傅恒
'fu'jia 福珈
'gao'bin 高斌
'gao'dong'yu 高冬雨
'gao'lan'cun 高兰村
'gao'wei'bo 高伟博
'gao'xi'yue 高晞月
'gong'chang'zai 恭常在
'gong'ting'hua'shi 宫廷画师
'gong'xiao'xuan 宫晓瑄
'gu'lun'he'jing'gong'zhu 固伦和敬公主
'guan'xue'ying 关雪盈
'guo'hong 郭虹
'guo'yuan'yuan 郭媛媛
'ha'li 哈丽
'hai'lan 海兰
'han'dan'tong 韩丹彤
'han'niang 韩娘
'han'xiang'jian 寒香见
'han'ying'qun 韩英群
'he'hong'shan 何泓姗
'he'qin'wang 和亲王
'he'shuo'he'ke 和硕和恪
'he'xi 荷惜
'he'xin'rui 何昕芮
'hong'li 弘历
'hong'shi 弘时
'hong'zhou 弘昼
'hu'ke 胡可
'hu'ming 胡明
'hu'xian'xu 胡先煦
'huan'xin 环心
'huang'lan 黄澜
'huang'lu'lu 黄露露
'huang'ming 黄明
'huang'ning'sheng 黄宁生
'huang'qi'ying 黄琦莹
'huang'wei 黄卫
'huang'wen 黄雯
'huang'yang'dian'tian 黄杨钿甜
'hui'xian'huang'gui'fei 慧贤皇贵妃
'huo'jian'hua 霍建华
'ji'tai'pin 吉太嫔
'jia'yan'long 贾延龙
'jiang'rui'jia 姜瑞佳
'jiang'xue'ming 蒋雪鸣
'jiang'yu'bin 江与彬
'jin'bao 进保
'jin'xi 金溪
'jin'yu'yan 金玉妍
'jin'zhong 进忠
'jin'zi'qi 金子琦
'jing'chao 经超
'jing'se 璟瑟
'jing'si 璟兕
'jing'yan 璟妍
'jing'yun 璟妘
'ke'li'ye'te 珂里叶特
'ke'pin 恪嫔
'ke'pin'shi'nv 恪嫔侍女
'ke'xin 可心
'kong'qian'qian 孔千千
'kui'da'ying 揆答应
'lan'cui 澜翠
'lan'yin'xu'guo 兰因絮果
'lang'hua 琅嬅
'lang'shi'ning 郎世宁
'li'bing'yi 李炳宜
'li'chun 李纯
'li'jie 李解
'li'lin'fei 厉蔺菲
'li'meng'yang 李梦洋
'li'qi 李琦
'li'qin 李沁
'li'xin 丽心
'li'yi'ru 李宜儒
'li'yu 李玉
'lian'xin 莲心
'lin'jing'yi 林瀞怡
'lin'jing'zhe 林靖喆
