'a'er'ka'na 阿尔卡娜
'a'li'ya 阿莉亚
'a'ni'si 阿妮斯
'a'ni'si'shan'yao'xia'ri 阿妮斯闪耀夏日
'ai'de 爱德
'ai'de'mi 艾德米
'ai'fei'nie'er 艾菲涅尔
'ai'ke'xi'ya 艾可希雅
'ai'li'si 爱丽丝
'ai'li'si'xian'jing'tu'nv'lang 爱丽丝仙境兔女郎
'ai'ma 艾玛
'ai'mi'li'ya 爱蜜莉雅
'ai'se'er 艾瑟儿
'ai'yin 爱因
'an'ke 安克
'an'ke'tian'zhen'de'nv'pu 安克天真的女仆
'an'ni 安妮
'an'ni'qi'ji'xian'nv 安妮奇迹仙女
'an'ying 暗影
'bai'he 百合
'bai'la'la'dui 白啦啦队
'bai'tu 白兔
'bai'xue'gong'zhu 白雪公主
'bai'xue'gong'zhu'chun'zhen'nian'dai 白雪公主纯真年代
'bao'ji'lv 暴击率
'bao'ji'shang'hai 暴击伤害
'bao'lie'ji'neng 爆裂技能
'bao'lie'jin'du'bu'chong'su'du 爆裂进度补充速度
'bao'zha'fan'wei 爆炸范围
'bei'ji'shang'hai 被击伤害
'bei'luo'ta 贝洛塔
'bei'si'di 贝斯蒂
'bei'yi 贝伊
'ben'ti 本体
'bing'gan 饼干
'bing'leng 冰冷
'bing'mei'gui 冰玫瑰
'bo'li 波莉
'bu'lan'er 布兰儿
'bu'lei'de 布蕾德
'bu'li'de 布丽德
'bu'you'shan'de'nv'pu 不友善的女仆
'cao'mei'tang 草莓糖
'chai'lang 豺狼
'chan'pin 产品
'chang'fa 长发
'chang'fa'gong'zhu 长发公主
'chang'fa'gong'zhu'chun'jie'en'dian 长发公主纯洁恩典
'chao'bi'xiao'hong'mao 超比小红帽
'chao'pi 超毗
'chao'sheng'zhe 朝圣者
'chu'yin 初音
'chuan'tou'te'hua 穿透特化
'chun'jie'en'dian 纯洁恩典
'chun'zhen'nian'dai 纯真年代
'ci'wa'yi 茨瓦伊
'dan'ren'tu'ji 单人突击
'de'er'ta 德尔塔
'de'lei'ke 德雷克
'di'sai'er 迪赛尔
'di'ya 蒂亚
'dian'ji 电击
'dong'ji'luo'ting 冬吉萝婷
'dong'mei 冬梅
'dong'ri'gou'wu'kuang 冬日购物狂
'dong'ri'mi'ka 冬日米卡
'dong'ri'nv'wang 冬日女王
'dong'ri'zhi'zhu 冬日之主
'du'she 毒蛇
'du'ya 渡鸦
'du'yan'xiang 独眼香
