'a'nu'bi'si'shen'dian 阿努比斯神殿
'ai'ji 埃及
'ai'mi'li'la'ke'wa 艾米丽拉克瓦
'an'na'xi 安纳西
'an'ying'bu 暗影步
'an'ying'shou'wang 暗影守望
'ban'zang 半藏
'bao'lei 堡垒
'bao'xue 暴雪
'bing'qiang 冰墙
'bing'shuang'chong'ji'qiang 冰霜冲击枪
'bu'shou'jia 捕兽夹
'bu'shu'pao'tai 部署炮台
'bu'yong'dan'xin'jiao'gei'wo'ba 不用担心交给我吧
'chong'zhuang'xing'ying'xiong 重装型英雄
'dao'tian'ban'zang 岛田半藏
'dao'tian'jia'zu 岛田家族
'dao'tian'yuan'shi 岛田源氏
'di'yu'huo'xian'dan'qiang 地狱火霰弹枪
'dong'zhu'bu'xi'zao 冻住不洗澡
'dong'zhu'bu'xu'zou 冻住不许走
'dong'zhu'bu'zhun'zou 冻住不准走
'dou'zhan'hao'le 都站好了
'duan'zao'chui 锻造锤
'duo'la'duo 多拉多
'fa'ji 法鸡
'fa'lao'zhi'ying 法老之鹰
'fa'rui'er'ai'ma'li 法芮尔艾玛莉
'fan'tan 反弹
'fang'yu'xing'ying'xiong 防御型英雄
'fen'lie'jian 分裂箭
'ge'de'bao 哥德堡
'gen'ji 根基
'hai'li'shi'guo'ji'an'bao'gong'si 海力士国际安保公司
'hao'gong'lu 号公路
'hei'an'shou'wang'zhe'lai'ye'si 黑暗守望者莱耶斯
'hei'bai'he 黑百合
'hei'bai'he'zhi'wen 黑百合之吻
'hei'gua'fu 黑寡妇
'hei'zhao 黑爪
'hong'wai'zhen'ce 红外侦测
'hu'jia'bao 护甲包
'hua'cun 花村
'huo'jian'dan'mu 火箭弹幕
'huo'jian'dan'mu'lai'xi 火箭弹幕来袭
'huo'jian'fa'she'qi 火箭发射器
'ji'dong 急冻
'ji'pao 疾跑
'ji'sa 吉萨
'ji'shi'xian'chu'rou'ti'ye'bu'neng'fang'qi'rong'yu 即使献出肉体也不能放弃荣誉
'jie'xi'mai'ke'lei 杰西麦克雷
'jin'tian'shi'ge'kuang'hong'lan'zha'de'hao'ri'zi 今天是个狂轰滥炸的好日子
'jiu'you'wo'lai'bao'hu'wu'gu'de'ren'min 就由我来保护无辜的人民
'ju'du'gui'lei 剧毒诡雷
'kuang'shu 狂鼠
'li'jiang'ta 漓江塔
'li'na'ao'ke'si'dun 莉娜奥克斯顿
'lie'kong 猎空
'lin'bie'li'wu 临别礼物
'liu'dan'fa'she'qi 榴弹发射器
'liu'ga'wa'ga'tei'ku'ruo'you 流噶哇嘎忒库挼忧
'liu'jin'wa'kai'ya'ku'lie 鎏金挖开雅酷烈
'long'shen'jian'can 竜神剣喰
'long'wo'di'can 竜我敌喰
'luo'xuan'fei'dan 螺旋飞弹
'mai'chong'shuang'qiang 脉冲双枪
'mai'chong'zha'dan 脉冲炸弹
'mai'die 麦爹
'mai'ke'lei 麦克雷
'mao'ding'qiang 铆钉枪
'mei'ren'ke'yi'duo'guo'wo'de'yan'jing 没人可以躲过我的眼睛
'na'hao'bie'diao'ge 拿好别掉咯
'ni'bo'er 尼泊尔
'ni'gai'xiu'xi'hui'le 你该休息会了
'nu'ba'ni 努巴尼
'nu'huo'lai'xi 怒火来袭
'nv'shi'men'xian'sheng'men'zha'dan'lun'tai'gun'qi'lai'le 女士们先生们炸弹轮胎滚起来了
'qie'huan'mo'shi 切换模式
'rang'ju'long'tun'shi'ni 让巨龙吞噬你
'ren'long'he'yi 人龙合一
'ren'zhe'dao 忍者刀
'rong'huo'he'xin 熔火核心
'rong'yu'zhi'yu'sheng'si'jiu'shu'zhi'yu'rong'yu 荣誉至于生死救赎至于荣誉
'shan'guang 闪光
'shan'guang'dan 闪光弹
'shan'hui 闪回
'shan'xian 闪现
'shao'wei'mo'shi 哨卫模式
'shen'qiang'shou 神枪手
'sheng'da'fei 圣达菲
'sheng'wu'li'chang 生物立场
'shi'bing 士兵
'shi'huang'zhe 拾荒者
'shi'huang'zhen 拾荒镇
'shou'li'jian 手里剑
'shou'wang'xian'feng 守望先锋
'si'ba'si'ba'si'ba 死吧死吧死吧
'si'shen 死神
'si'shen'lai'le 死神来了
'si'wang'zhan'fang 死亡绽放
'sui'yuan'jian 随缘箭
'sui'yuan'jian'fa 随缘箭法
'tan'ce'jian 探测箭
'tan'ke'mo'shi 坦克模式
'tian'jiang'zheng'yi 天降正义
'tu'ji'xing'ying'xiong 突击型英雄
'tui'jin'bei'bao 推进背包
'tuo'bi'ang 托比昂
'tuo'bi'ang'lin'de'huo'mu 托比昂林德霍姆
'wei'he'zhe 维和者
'wo'kan'dao'ni'men'le 我看到你们了
'wo'men'de'shi'jie'zhi'de'wo'men'fen'dou 我们的世界值得我们奋斗
'wo'si'ka'ya'gong'ye'qu 沃斯卡亚工业区
'wu'shi'dao 武士刀
'wu'shi'yi'dao 午时已到
