'ai'zhi'xie'xing'xian'zuo'cao 矮纸斜行闲作草
'an'bing'yi'chi'hou 岸冰一尺厚
'an'de'mu'fu'zi'bu'pin 安得母富子不贫
'an'de'shan'lie'yu'shan'bing 安得善猎与善兵
'an'de'zhi'fu'xin 安得织妇心
'an'ji'yi'wei'jiu 安集亦未久
'an'kuo'qiang'xi'bo'miao'mang 岸阔樯稀波渺茫
'an'neng'shi'rong'hang 安能事戎行
'an'pai'fan'wan'yu'cha'ping 安排饭碗与茶瓶
'an'pao'zhu'lei'luo'chuan'tou 暗抛珠泪落船头
'an'xue'yi'chi'shen 岸雪一尺深
'ba'jiao'fen'lv'yu'chuang'sha 芭蕉分绿与窗纱
'ba'jiu'song'chun'wu'bie'yu 把酒送春无别语
'ba'ling'er'yue'ke'tian'yi 巴陵二月客添衣
'ba'shu'lian'nian'ku 巴蜀连年哭
'ba'yue'jiang'hu'qiu'shui'gao 八月江湖秋水高
'ba'zhan'chang'hen'wu'ping'ting 把盏常恨无娉婷
'bai'bai'hong'hong'ge'zi'mei 白白红红各自媒
'bai'bang'he'ze'ru'feng'yu 白棒诃责如风雨
'bai'cao'zheng'fang'yi'xiao'xie 百草争芳已消歇
'bai'fa'kong'duo'duan'yi'shi 白发空多短衣食
'bai'fa'ti'shi'chou'song'chun 白发题诗愁送春
'bai'fa'wei'chu'hao'qi'zai 白发未除豪气在
'bai'fu'bu'qi'he'qun'nu 拜伏不起呵群奴
'bai'gu'jiu'sha'chang 白骨旧沙场
'bai'hui'xuan'bo'tong'hong'huo 白灰旋拨通红火
'bai'li'xi'feng'he'shu'xiang 百里西风禾黍香
'bai'li'yu'di'ban'ri'feng 百里榆堤半日风
'bai'mao'huang'yue'fen'hang'li 白旄黄钺分行立
'bai'nian'xing'fei'geng'kan'ai 百年兴废更堪哀
'bai'qi'he'tan'lie'sheng'qiu 百骑河滩猎盛秋
'bai'qia'juan'shui'yang'dao'gui 白袷卷水秧稻归
'bai'qing'xing'ting'qu'xu'yu 百请幸听去须臾
'bai'she'wei'xiao'cui'tian'ming 百舌未晓催天明
'bai'she'wu'sheng'yan'zi'mang 百舌无声燕子忙
'bai'shui'gao'yu'wu 白水高于屋
'bai'shui'qing'shan'sheng'wan'han 白水青山生晚寒
'bai'tan'guo'jin'shi'tu'qiong 百滩过尽失途穷
'bai'tou'diao'gu'feng'shuang'li 白头吊古风霜里
'bai'tou'lao'shou'wo'zhong'jun 白头老守卧中军
'bai'tou'weng'yu'zuo'kan'gua 白头翁妪坐看瓜
'bai'wu'ru'yu'shi'jie'zheng 百物如与时节争
'bai'yi'wei'sheng'yi 拜揖未胜衣
'bai'yu'tiao'zhu'luan'ru'chuan 白雨跳珠乱入船
'bai'zhu'li'qian'hu'hai'kuo 白竹篱前湖海阔
'ban'chang'si'zhai'ban'shu'guan 半偿私债半输官
'ban'dan'ban'nong'shan'die'zhong 半淡半浓山叠重
'ban'jie'peng'chuang'kan'da'yu 半揭篷窗看打鱼
'ban'na'zhe'bei'shi'sheng'ya 半衲遮背是生涯
'ban'shi'zou'qian'mo 半世走阡陌
'ban'ye'pi'li'kong'sha'ren 半夜霹雳空杀人
'ban'yi'jing'di'mai 搬移惊地脉
'ban'yue'tian'qing'yi'ye'yu 半月天晴一夜雨
'bang'shui'feng'lin'ying'yu'yu 傍水风林莺语语
'bao'bao'you'sheng'cheng 薄薄有声称
'bao'bian'wu'yi'ci 褒贬无一词
'bao'er'geng'song'tian'tou'fan 抱儿更送田头饭
'bao'fu'you'mu'ci 抱负有母慈
'bao'guo'qin'yu'shu 包裹琴与书
'bao'xian'lai'ju'tu'chan'qian 报县来拘土产钱
'bao'zong'hu'ji'bu'gan'bi 豹踪虎迹不敢避
'bei'chou'tian'di'bai'ri'hun 悲愁天地白日昏
'bei'chuang'yi'deng'yu'san'geng 北窗移灯欲三更
'bei'dao'ben'chi'shao'shi'fu 倍道奔驰少师府
'bei'feng'chui'qi'shu'sheng'lei 北风吹起数声雷
'bei'feng'san'ri'wu'ren'du 北风三日无人渡
'bei'jiu'an'zu'zhi'yi'zui 杯酒安足直一醉
'bei'qiong'chuan'xiang'da'han'qiong 悲蛩传响答寒蛩
'bei'qu'nan'lai'zi'zai'fei 北去南来自在飞
'bei'tian'rao'guo'bai'shui'man 陂田绕郭白水满
'bei'ting'an'xi'wu'han'ying 北庭安西无汉营
'bei'wang'yan'yun'bu'jin'tou 北望燕云不尽头
'bei'xuan'liang'chui'kai'shu'zhu 北轩凉吹开疏竹
'ben'chao'yi'wu'bu'shi'suo 本朝一物不失所
'bi'di'dong'cun'shen'ji'xu 避地东村深几许
'bi'li'qing'deng'zha'you'wu 壁里青灯乍有无
'bi'li'wei'rao'gong'li'jin 笔力未饶弓力劲
'bi'men'gu'zhen'dui'can'gang 闭门孤枕对残釭
'bi'men'mi'ju'chen'wu'ji 闭门觅句陈无己
'bi'shan'hai'bei'mu'yun'zhe 碧山还被暮云遮
'bi'shi'niu'cong'xie'lu'zhuan 避石牛从斜路转
'bi'sui'chui'yan'dang'shu'zhi 碧穗炊烟当树直
'bi'wa'lou'qian'xiu'mu'zhe 碧瓦楼前绣幙遮
'bi'yan'hu'er'san'bai'qi 碧眼胡儿三百骑
'bi'yi'you'you'ming 彼役犹有名
'bian'cun'kai'tian'qi'yao'zao 遍村开田起窑灶
'bian'feng'zhao'cheng'guo 卞峰照城郭
'bian'guo'gan'ge'man 边国干戈满
'bian'ling'jiang'han'jie 便令江汉竭
'bian'ling'zhuang'shi'wan'tian'he 便令壮士挽天河
'bian'peng'bian'jie'xi'shang'zhai 编蓬便结溪上宅
'bian'qing'ting'yi'e 边情听易讹
'bian'shi'sang'yuan'yu'cai'yuan 便是桑园与菜园
'bian'shui'ri'chi'san'bai'li 汴水日驰三百里
'bian'tou'jiang'jun'yao'wei'wu 边头将军耀威武
'bian'zuo'jian'guan'yan 变作监官眼
'bie'yuan'shen'shen'xia'xi'qing 别院深深夏席清
'bing'fu'bao'zi'su'xia'lei 病妇抱子诉下泪
'bing'fu'wei'zuo'le'qing'ming 病夫危坐了清明
