'an'hei 暗黑
'an'hun 暗魂
'an'hun'mi'fa'jie 暗魂秘法戒
'an'ling 暗灵
'an'mo 暗魔
'an'qing 暗青
'an'qing'zhi'shi 暗青之石
'an'qing'zhi'shi'ji 暗青之石级
'an'ran'gu 黯然蛊
'an'sha'wang 暗杀王
'an'sha'zhe 暗杀者
'an'sha'zhe'yin'ji 暗杀者印记
'an'xiang'po 暗香坡
'an'yang'nu 安阳弩
'an'yi 暗翼
'an'ying'fei'long 暗影飞龙
'an'ying'ren 暗影刃
'an'yu'zhang'fu 暗狱长斧
'ba'bao'pei 八宝佩
'ba'dao 霸道
'ba'gua 八卦
'ba'gua'shi 八卦石
'ba'hu 跋扈
'ba'huang 八荒
'ba'jiao'chang'chui 八角长锤
'ba'jie'wan 八戒丸
'ba'tian 霸天
'ba'tian'zhi'li 霸天之力
'ba'tian'zhi'li'hui'ji 霸天之力徽记
'ba'tian'zhi'li'zhan'chui 霸天之力战锤
'bai'bao'gui 百宝柜
'bai'bao'xia 百宝匣
'bai'bao'xiang 百宝箱
'bai'bu'chuan'yang 百步穿杨
'bai'bu'she 百步蛇
'bai'cao'lu 百草露
'bai'e'mei 白萼梅
'bai'fa'bai'zhong'san 百发百中散
'bai'fu'zhang 百夫长
'bai'gang 白刚
'bai'gang'zhi'shi 白刚之石
'bai'gu'zhui'zi 白骨坠子
'bai'hao'yin'zhen 白毫银针
'bai'hong 白虹
'bai'hu'bian 白虎变
'bai'hu'ling 白虎岭
'bai'ju 白驹
'bai'li'zhui'feng'nu 百里追风弩
'bai'lian'gang 百炼钢
'bai'lian'jian 百炼剑
'bai'lin 白霖
'bai'lin'xiang'lian 白霖项链
'bai'ling 白岭
'bai'ling'zhi 白凌雉
'bai'nian'xuan'ling'gui 百年玄灵龟
'bai'pi 百辟
'bai'pi'yao'shi 百辟腰饰
'bai'shui'jing'zhui'zi 白水晶坠子
'bai'wu 白雾
'bai'wu'chang 白无常
'bai'wu'zhi'shi 白雾之石
'bai'wu'zhi'shi'ji 白雾之石级
'bai'yan'lang 白眼狼
'bai'yan'lang'wang 白眼狼王
'bai'yin'chang'dao'dao'ge 白银长刀刀格
'bai'yin'chang'gan'jie'sun 白银长杆接榫
'bai'yin'duan'ren'bing 白银短刃柄
'bai'yin'gu'jia'he'ye 白银股甲合页
'bai'yin'gun'bang'hu'shou 白银棍棒护手
'bai'yin'hu'shen'suo 白银护身锁
'bai'yin'huai'jia'he'ye 白银踝甲合页
'bai'yin'jian'jia'he'ye 白银肩甲合页
'bai'yin'mao'bing 白银矛柄
'bai'yin'mian'zhao'he'ye 白银面罩合页
'bai'yin'xiu'jia'he'ye 白银袖甲合页
'bai'yu 白玉
'bai'yu'pei 白玉佩
'bai'yu'zhi'shi 白玉之石
'bai'yu'zhi'shi'ji 白玉之石级
'bai'zhan 百战
'bai'zhan'dao 百战刀
'bai'zhan'kui 百战盔
'bai'zhuan'dan 百转丹
'ban'lan'bao 斑斓豹
'ban'long'jiao 半龙蛟
'bang'pai 帮派
'bao'bao'tu 抱抱兔
'bao'ji'ren 暴击刃
'bao'lan'xiang'lian 宝蓝项链
'bao'lan'yao'pei 宝蓝腰佩
'bao'lang 暴狼
'bao'lie'dan 爆裂弹
'bao'lun 宝轮
'bao'nu 豹奴
'bao'shi'hua'shu 暴食花鼠
'bao'tai'yi'jin'wan 豹胎易筋丸
'bao'ya 爆牙
'bao'ya'shan'mao 爆牙山猫
'bao'yan'yuan 暴焰猿
'bao'yuan 抱元
'bao'zhu 宝珠
'bei'dong 被动
'bei'guan'ying'di 北关营地
'bei'mei'huo'de'yu'zu 被魅惑的羽族
'bei'ming 北冥
'bei'ming'shi 北冥使
'bei'ping 北屏
'bei'ping'zhen 北屏镇
'bei'qi'gu 悲泣蛊
'bei'zhe'xiong'jia 悲者胸甲
'ben'lei'ji'guan'bao 奔雷机关豹
'ben'liu'shui 奔流水
'bi'bo'dan 碧波丹
'bi'fu 碧蚨
'bi'kong 碧空
'bi'kong'chui 碧空锤
'bi'lin'gui'huo 碧磷鬼火
'bi'lin'huo 碧磷火
'bi'luo'chun 碧螺春
'bi'luo'huang'quan'zhang 碧落黄泉瘴
'bi'mu'shuang'dao 比目双刀
'bi'shi'mo 避世魔
'bi'shi'qing'xue 避世轻靴
'bi'si 碧丝
'bi'si'xiang'lian 碧丝项链
'bi'tao'jian 碧涛剑
'bi'tao'lin 碧涛林
'bi'xie'fan 辟邪幡
'bi'xie'kui 辟邪盔
'bi'yi'shuang'fei'nan'zhuang'ku'zi 比翼双飞男装裤子
'bi'yi'shuang'fei'nan'zhuang'shang'yi 比翼双飞男装上衣
'bi'yi'shuang'fei'nan'zhuang'xie 比翼双飞男装鞋
'bi'yi'shuang'fei'nv'zhuang'qun'zi 比翼双飞女装裙子
'bi'yi'shuang'fei'nv'zhuang'shang'yi 比翼双飞女装上衣
'bi'yi'shuang'fei'nv'zhuang'xie 比翼双飞女装鞋
'bi'yi'shuang'jian 比翼双剑
'bian'bai'hu 变白虎
'bian'lao'hu 变老虎
'bian'shen 变身
'bian'shen'qiang 变身强
'bian'shen'qiang'hua 变身强化
'bian'zhong'ci'qiu 变种刺球
'bing'bao 冰雹
'bing'can'guan 冰蚕冠
