'a'ba 阿爸
'a'bai'guai 阿柏怪
'a'bai'she 阿柏蛇
'a'bai'she'de'tang'guo 阿柏蛇的糖果
'a'bai'she'de'ya 阿柏蛇的牙
'a'bo'suo'lu 阿勃梭鲁
'a'bo'suo'lu'jin'hua'shi 阿勃梭鲁进化石
'a'cheng 阿诚
'a'dun 阿惇
'a'er'tuo 阿尔托
'a'er'zhou'si 阿尔宙斯
'a'er'zhou'si'de'yang'zi 阿尔宙斯的样子
'a'er'zhou'si'shou'ji'ke 阿尔宙斯手机壳
'a'feng 阿丰
'a'feng 阿枫
'a'gang 阿刚
'a'gang 阿港
'a'kai 阿凯
'a'ke'luo'ma'ji'qi 阿克罗玛机器
'a'li'duo'si 阿利多斯
'a'luo'la'chuan'shuo 阿罗拉传说
'a'luo'la'de'yang'zi 阿罗拉的样子
'a'luo'la'di'qu 阿罗拉地区
'a'luo'la'guan'jun 阿罗拉冠军
'a'luo'la'guan'jun'jiang'zhang 阿罗拉冠军奖章
'a'luo'la'mao'zi 阿罗拉帽子
'a'luo'lei 阿罗雷
'a'qing 阿庆
'a'qiu'shou'ji'ke 阿球手机壳
'a'qiu'tou'kui 阿球头盔
'a'xiang 阿翔
'a'yi 阿姨
'ai'cai 爱菜
'ai'chi'tun 爱吃豚
'ai'chi'tun'de'mao 爱吃豚的毛
'ai'gu'bao'ke'meng 爱骨宝可梦
'ai'guan'shi 爱管侍
'ai'guan'shi'de'mao 爱管侍的毛
'ai'ji 艾吉
'ai'jia 艾佳
'ai'li'na 艾莉那
'ai'lin'na 艾琳娜
'ai'lu'lei'duo 艾路雷朵
'ai'lu'lei'duo'jin'hua'shi 艾路雷朵进化石
'ai'mi 艾米
'ai'mu'li'duo 艾姆利多
'ai'mu'li'duo'zhi'chi 艾姆利多之翅
'ai'ni 艾妮
'ai'shi 爱实
'ai'xin'tang'shi 爱心糖饰
'ai'xin'yin'zhang 爱心印章
'ai'xin'yu 爱心鱼
'ai'xin'yu'de'lin'pian 爱心鱼的鳞片
'ai'ya'qiu'gu 哎呀球菇
'ai'ya'qiu'gu'de'bao'zi 哎呀球菇的孢子
'ai'yuan'bao'ke'meng 哀怨宝可梦
'ai'zeng'bao'ke'meng 爱憎宝可梦
'an'bian'hao 按编号
'an'dong'ni 安东尼
'an'fu'zhi'ling 安抚之铃
'an'hei'bao'ke'meng 暗黑宝可梦
'an'hei'bao'po 暗黑爆破
'an'hei'dong 暗黑洞
'an'hei'qi'chang 暗黑气场
'an'hei'qiu'lei'mu 暗黑酋雷姆
'an'ming'qiang'ji 暗冥强击
'an'na 安娜
'an'ni 安妮
'an'piao'chong 安瓢虫
'an'pin'yin 按拼音
'an'quan'hu'fu 安全护符
'an'xi'yao'hai 暗袭要害
'an'ying'qian'xi 暗影潜袭
'an'ying'qiu 暗影球
'an'ying'quan 暗影拳
'an'ying'tou'dao 暗影偷盗
'an'ying'zhao 暗影爪
'an'ying'zhi'gu 暗影之骨
'an'ying'zhi'guang 暗影之光
'an'zhi'shi 暗之石
'ang'yang'zhi'zheng 昂扬之证
'ao'ci'lang 奥次郎
'ao'er'di'jia 奥尔迪加
'ao'gu'yan 傲骨燕
'ao'jiao'fu 獒教父
'ao'li'niu 奥利纽
'ao'li'wa 奥利瓦
'ao'lin 奥琳
'ba'bu'tu'bo 巴布土拨
'ba'da'die 巴大蝶
'ba'dao'bao'ke'meng 拔刀宝可梦
'ba'dao'xiong'mao 霸道熊猫
'ba'ha'guan'tou 巴哈罐头
'ba'piao'chong 芭瓢虫
'ba'ran'tiao'wen 拔染条纹
'ba'shuo 八朔
'ba'tou 巴投
'ba'wang'hua 霸王花
'ba'ya 芭亚
'ba'ya'guo 芭亚果
'ba'zhua'wu'shi 八爪武师
'bai'bian'guai 百变怪
'bai'bian'guai'de'nian'hu 百变怪的黏糊
'bai'bian'guai'de'tang'guo 百变怪的糖果
'bai'hai'shi 白海狮
'bai'he'gen'wa'wa 百合根娃娃
'bai'he'gen'wa'wa'de'ye'pian 百合根娃娃的叶片
'bai'he'xiang 百合香
'bai'hua 白花
'bai'jin'bao'zhu 白金宝珠
'bai'lei'ya 白蕾雅
'bai'lian'jia'ting'can'ting 百廉家庭餐厅
'bai'lu'qiu'gu 败露球菇
'bai'mei'shu'se 白梅鼠色
'bai'niao'bao'ke'meng 白鸟宝可梦
'bai'pai'lian 摆拍脸
'bai'peng'peng 白蓬蓬
'bai'qiu'guo 白球果
'bai'se 白色
'bai'se'bo'li'shao 白色玻璃哨
'bai'se'ge'zi 白色格子
'bai'se'pan'zi 白色盘子
'bai'se'xiang'cao 白色香草
'bai'se'yan'wu 白色烟雾
'bai'se'zong'mao 白色鬃毛
'bai'tian'hui'fei'zai'gao'kong 白天会飞在高空
'bai'tian'hui'fei'zai'hai'shang 白天会飞在海上
'bai'tiao'wen'de'yang'zi 白条纹的样子
'bai'tuo 拜托
'bai'wan'dun'zhong'quan 百万吨重拳
'bai'wan'dun'zhong'ti 百万吨重踢
'bai'wu 白雾
'bai'yang'bao'ke'meng 白阳宝可梦
'bai'yin'pen'wu 白银喷雾
'bai'yin'xiang'shui 白银香水
'bai'yu'bao'zhu 白玉宝珠
'bai'yu'mao 白羽毛
'bai'zhan'yong'zhe 百战勇者
'bai'zhou'de'yang'zi 白昼的样子
'bai'zu'wu'gong 百足蜈蚣
'ban'ban'ma 斑斑马
'ban'ban'ma'de'zong'mao 斑斑马的鬃毛
'ban'cun 板寸
'ban'dian'xiong'mao'bao'ke'meng 斑点熊猫宝可梦
'ban'ji'la'si 班基拉斯
'ban'ji'la'si'jin'hua'shi 班基拉斯进化石
'ban'kuang'mo'jing 半框墨镜
'ban'kuang'yan'jing 半框眼镜
'ban'kui 半盔
'ban'meng'ban'xing 半梦半醒
'ban'meng'ban'xing'bao'ke'meng 半梦半醒宝可梦
'ban'tu'jie 班图结
'ban'yan 扮演
'ban'yan 搬岩
'ban'yun'bao'ke'meng 搬运宝可梦
'ban'yun'xiao'jiang 搬运小匠
'ban'yun'xiao'jiang'de'han 搬运小匠的汗
'ban'zha'fa 半扎发
'bang'jin 绑紧
'bang'qiu'she 棒球社
'bang'zhu 帮助
'bao'ban 宝伴
'bao'ban'guang'chang 宝伴广场
'bao'bao 包包
'bao'bao'bao'long 宝宝暴龙
'bao'bao'ding 宝宝丁
'bao'bao'ding'de'mao 宝宝丁的毛
'bao'bao'jian 宝包茧
'bao'bao'shu'shou'ji'ke 抱抱树手机壳
'bao'bei'long 宝贝龙
'bao'bei'long'de'lin'pian 宝贝龙的鳞片
'bao'bi 抱臂
'bao'bing'tan 刨冰摊
'bao'bo'guan'tou 饱伯罐头
'bao'chi'ji'lu'de 保持纪录的
'bao'chi'li'hai'ji'lu'de 保持厉害纪录的
'bao'chou 报仇
'bao'cun'she'zhi'hou'tui'chu 保存设置后退出
'bao'en 报恩
'bao'fei'long 暴飞龙
'bao'fei'long'jin'hua'shi 暴飞龙进化石
'bao'fen'he 宝芬盒
'bao'feng 暴风
'bao'feng'shi'ban 暴风石板
'bao'feng'xue 暴风雪
'bao'feng'xue'bao'ke'meng 暴风雪宝可梦
'bao'fu 报复
'bao'fu'xun'xiang 饱腹薰香
'bao'guo 包裹
'bao'hu'se 保护色
'bao'ji'wen 爆肌蚊
'bao'jun'bao'ke'meng 暴君宝可梦
'bao'ke'biao'shou'ji'ke 宝可表手机壳
'bao'ke'du'jia'di 宝可度假地
'bao'ke'fang'kuai'tao'zhuang 宝可方块套装
'bao'ke'gong'yuan 宝可公园
'bao'ke'meng 宝可梦
'bao'ke'meng'de'deng'ji 宝可梦的等级
'bao'ke'meng'de'dian 宝可梦的店
'bao'ke'meng'de'shu'liang 宝可梦的数量
'bao'ke'meng'dian'ying 宝可梦电影
'bao'ke'meng'dong'hua'pian 宝可梦动画片
'bao'ke'meng'he 宝可梦盒
'bao'ke'meng'huo'dong 宝可梦活动
'bao'ke'meng'jie'mu 宝可梦节目
'bao'ke'meng'lian'jie 宝可梦连接
'bao'ke'meng'lian'meng 宝可梦联盟
'bao'ke'meng'mu'wa'wa 宝可梦木娃娃
'bao'ke'meng'qing'dian 宝可梦庆典
'bao'ke'meng'quan'qiu'lian'jie 宝可梦全球连接
'bao'ke'meng'tu'jian 宝可梦图鉴
'bao'ke'meng'xi'zao'zao 宝可梦洗澡澡
'bao'ke'meng'xu'ni'yin'hang 宝可梦虚拟银行
'bao'ke'meng'xun'lian'jia 宝可梦训练家
'bao'ke'meng'xun'lian'jia'ju'le'bu 宝可梦训练家俱乐部
'bao'ke'meng'zhi'di 宝可梦之笛
'bao'ke'meng'zhong'xin 宝可梦中心
'bao'ke'ru'kou'zhan 宝可入口站
'bao'ke'wei'cao 宝可尾草
'bao'ke'zhui'zong 宝可追踪
'bao'le'you'e 饱了又饿
'bao'li'long 暴鲤龙
'bao'li'long'jin'hua'shi 暴鲤龙进化石
'bao'lie'quan 爆裂拳
'bao'ming 报名
'bao'ming'can'jia'lan'mei'lian'meng'ba 报名参加蓝莓联盟吧
'bao'ming'shu 报名数
'bao'mu'bao'ke'meng 保姆宝可梦
'bao'mu'chong 保姆虫
'bao'mu'man'bo 保姆曼波
'bao'mu'man'bo'de'nian'ye 保姆曼波的黏液
'bao'niu'bao'ke'meng 暴牛宝可梦
'bao'ran'bao'ke'meng 爆燃宝可梦
'bao'rong'bao'ke'meng 包容宝可梦
'bao'shi'bao'ke'meng 宝石宝可梦
'bao'shi'gui 暴噬龟
'bao'shi'hai'xing 宝石海星
'bao'shi'tang 宝食堂
'bao'tong'mao 报童帽
'bao'wu 宝物
'bao'wu'dai 宝物袋
'bao'xiang'bao'ke'meng 宝箱宝可梦
'bao'xiang'hou 爆香猴
'bao'xiang'xing'tai 宝箱形态
'bao'xiang'yuan 爆香猿
'bao'xue'wang 暴雪王
'bao'xue'wang'jin'hua'shi 暴雪王进化石
'bao'xue'zhi'zheng 暴雪之证
'bao'yan'bao'ke'meng 爆炎宝可梦
'bao'yan'gui'shou 爆焰龟兽
'bao'yin'bo 爆音波
'bao'yin'guai 爆音怪
'bao'yuan'bao'ke'meng 暴猿宝可梦
'bao'zha'gui'bao'ke'meng 爆炸龟宝可梦
'bao'zha'lie'yan 爆炸烈焰
'bao'zha'tou'shui'niu 爆炸头水牛
'bao'zha'tou'tu'ji 爆炸头突击
'bao'zhe'bao'ke'meng 宝者宝可梦
'bao'zhu 宝主
'bao'zhu'zhi'zheng 宝主之证
'bao'zi 孢子
'bei'bao'ke 背包客
'bei'cheng'zuo'tian'cai'de 被称作天才的
'bei'da 倍达
'bei'di'qu 北第区
'bei'dou 北斗
'bei'fang'bao'ke'meng 北方宝可梦
'bei'gai'hua'shi 背盖化石
'bei'gu'dao'guan 焙固道馆
'bei'gu'kong'dong 焙固空洞
'bei'gu'zhen 焙固镇
'bei'ke'hua'shi 贝壳化石
'bei'ke'jia'ji 贝壳夹击
'bei'ke'ren 贝壳刃
'bei'ke'zhi'ling 贝壳之铃
'bei'lei'mao 贝雷帽
