'a'feng 阿枫
'ai'chi'tun 爱吃豚
'ai'guan'shi 爱管侍
'ai'lu'lei'duo 艾路雷朵
'ai'xin'yu 爱心鱼
'ai'ya'qiu'gu 哎呀球菇
'an'fu'zhi'ling 安抚之铃
'ao'er'di'jia 奥尔迪加
'ao'jiao'fu 獒教父
'ao'li'niu 奥利纽
'ao'li'wa 奥利瓦
'ao'lin 奥琳
'ba'bu'tu'bo 巴布土拨
'ba'shuo 八朔
'ba'ya'guo 芭亚果
'bai'bian'guai 百变怪
'bai'he'gen'wa'wa 百合根娃娃
'bai'lu'qiu'gu 败露球菇
'bai'se'xiang'cao 白色香草
'ban'ji'la'si 班吉拉斯
'ban'yan 搬岩
'bao'bao'ding 宝宝丁
'bao'bei'long 宝贝龙
'bao'fei'long 暴飞龙
'bao'li'long 暴鲤龙
'bao'mu'man'bo 保姆曼波
'bao'shi'gui 暴噬龟
'bao'shi'tang 宝食堂
'bao'xue'wang 暴雪王
'bei'ke'zhi'ling 贝壳之铃
'bi'ba'guo 比巴果
'bi'nan'bei'bao 避难背包
'bian'ying'guo 扁樱果
'bing'bao 冰宝
'bing'bu 冰布
'bing'gui'hu 冰鬼护
'bing'leng'yan'shi 冰冷岩石
'bing'qi'e 冰砌鹅
'bing'xuan 冰旋
'bing'yan'guai 冰岩怪
'bing'yi'bu 冰伊布
'bo'pi 波琵
'bo'pu'hai'tun 波普海豚
'bo'shi'yan'jing 博识眼镜
'bo'wu'zhong'zi 薄雾种子
'bu'bian'shi 不变石
'bu'bian'zhi'shi 不变之石
'bu'bo 布拨
'bu'huo'li 捕获力
'bu'li'mu'wen 布莉姆温
'bu'liang'wa 不良蛙
'bu'na'shi'cao 怖纳噬草
'bu'rong'bing 不融冰
'bu'si'hu 怖思壶
'bu'tu'bo 布土拨
'bu'wei'hu'ju 部位护具
'cai'fen'die 彩粉蝶
'cang'bao'li'shu 藏饱栗鼠
'cang'yan'ren'gui 苍炎刃鬼
'cao'can'guo 草蚕果
'cao'xian'zhu 操陷蛛
'chan'hong'he 缠红鹤
'chan'xian'rong'yuan 颤弦蝾螈
'chang'chi'ou 长翅鸥
'chang'mao'ju'mo 长毛巨魔
'chao'huai'xing 超坏星
'chao'neng'yan'tuo 超能艳鸵
'chao'shi'yan'shi 潮湿岩石
'cheng'cheng'guo 橙橙果
'chi'hou'ba 吃吼霸
'chi're'yan'shi 炽热岩石
'chong'dian'dian'chi 充电电池
'chong'gun'ni 虫滚泥
'chong'jia'sheng 虫甲圣
'chong'pu 虫扑
'chou'chou'ni 臭臭泥
'chou'ni 臭泥
'chou'you'pu 臭鼬噗
'ci'er'guo 刺耳果
'ci'jia'bei 刺甲贝
'ci'qiu'xian'ren'zhang 刺球仙人掌
'ci'suo'yu 刺梭鱼
'ci'tie 磁铁
'cui'mian'mo 催眠貘
'da'di'mo 大地膜
'da'dian'hai'yan 大电海燕
'da'gen'jing 大根茎
'da'kong'bao'xian 打空保险
'da'ren'dai 达人带
'da'she'bei 大舌贝
'da'tan'che 大炭车
'da'wang'tong'xiang 大王铜象
'da'zai'nan 大灾难
'da'zui'ou 大嘴鸥
'dai'dai'shou 呆呆兽
'dai'dai'wang 呆呆王
'dai'huo'e 呆火鳄
'dai'huo'tuo 呆火驼
'dai'ke'shou 呆壳兽
'dai'lu'bi 戴鲁比
'dan'dan'li 蛋蛋力
'dan'qie'qiu 胆怯球
'dan'shou'long 单首龙
'dao'dan'xiao'yao 捣蛋小妖
'di'lei'miao 蒂蕾喵
'di'shu 地鼠
'dian'du'wa 电肚蛙
'dian'guang'shuang'ji 电光双击
'dian'hai'yan 电海燕
'dian'li'zhuan'huan 电力转换
'dian'long 电龙
'dian'qi'qiu 电气球
'dian'qi'zhong'zi 电气种子
'dian'yin'ying 电音婴
'diao'chu'zhong'zi 掉出种子
'dong'dong'shu 咚咚鼠
'dong'ji'long 冻脊龙
'dong'yuan'xiong 冻原熊
'dou'li'gu 斗笠菇
'dou'xi'shuai 豆蟋蟀
'du'dian'ying 毒电婴
'du'ku'wa 毒骷蛙
'du'man'di 毒满地
'du'yu 毒玉
'du'zao'long 毒藻龙
'du'zhen 毒针
'du'zhu 毒珠
'duan'wei 断尾
'dui'jiao'jing 对焦镜
'dun'jia 顿甲
'duo'long'ba'lu'tuo 多龙巴鲁托
'duo'long'mei'xi'ya 多龙梅西亚
'duo'long'qi 多龙奇
'fan'chi'she 饭匙蛇
'fan'li'guo 番荔果
'fang'chen'hu'mu'jing 防尘护目镜
'fei'hong'mai'dong 绯红脉动
'fei'tian'tang'lang 飞天螳螂
'fen'die'chong 粉蝶虫
'fen'die'yong 粉蝶蛹
'fen'nu'jia'qiao 愤怒甲壳
'fen'nu'zhi'quan 愤怒之拳
'feng'li'fa'dian 风力发电
'feng'mi'long 丰蜜龙
'feng'nv'wang 蜂女王
'feng'rui 锋锐
'feng'su'gou 风速狗
'fo'gan'guo 佛柑果
'fo'lie'tuo'si 佛烈托斯
'fu'lu'guo 福禄果
'fu'qian'you 浮潜鼬
'fu'sheng'qi'dao 复生祈祷
'fu'tu 弗图
'fu'ya'long 斧牙龙
'fu'zhuo'zhen 附着针
'gang'kai'ya 钢铠鸦
'gang'pao'bi'xia 钢炮臂虾
'ge'da'ya 哥达鸭
'ge'de'bao'bao 哥德宝宝
'ge'de'xiao'jie 哥德小姐
'ge'de'xiao'tong 哥德小童
'geng'gui 耿鬼
'gou'huan'liu'jian'tao 狗环六件套
'gou'huan'tao 狗环套
'gou'hun'yan 勾魂眼
'gou'zai'bao 狗仔包
'gu'dai'huo'xing 古代活性
'gu'ding'lu 古鼎鹿
'gu'jian'bao 古剑豹
'gu'jian'wo 古简蜗
'gu'le'dun 故勒顿
'gu'lu'xia 古鲁夏
'gu'wen'ju'sheng'e 骨纹巨声鳄
'gu'yu'yu 古玉鱼
'guang'dou'zai 光蚪仔
'guang'fen 光粉
'guang'jiao'jing 广角镜
'guang'tai 光苔
'guang'zhi'nian'tu 光之黏土
'gui'si 鬼斯
'gui'si'tong 鬼斯通
'guo'dong'yuan 过动猿
'ha'ke'long 哈克龙
'ha'mi'guo 哈密果
'hai'dai 海岱
'hai'di'shu 海地鼠
'hai'tu'shou 海兔兽
'hai'tun'xia 海豚侠
'hao'da'jing 浩大鲸
'hao'huai'xing 好坏星
'hao'sheng'mao'xie 好胜毛蟹
'hao'sheng'xie 好胜蟹
'he'la'ke'luo'si 赫拉克罗斯
'he'ma'shou 河马兽
'hei'an'ya 黑暗鸦
'hei'dai 黑带
'hei'lu'jia 黑鲁加
'hei'se'tie'qiu 黑色铁球
'hei'se'wu'ni 黑色污泥
'hei'se'yan'jing 黑色眼镜
'hei'yan'e 黑眼鳄
'hen'la'jiao 狠辣椒
'hong'lian'kai'qi 红莲铠骑
'hong'ming'yue 轰鸣月
'hong'xian 红线
'hou'di'xue 厚底靴
'hou'gong'zhi'wei 后攻之尾
'hou'guai 猴怪
'hou'jiao'wei 吼叫尾
'hu'dou'jian'suo 戽斗尖梭
'hu'fu'jin'bi 护符金币
'hua'bei'bei 花蓓蓓
'hua'jie'fu'ren 花洁夫人
'hua'wu'niao 花舞鸟
'hua'yan'guai 花岩怪
'hua'ye'di 花叶蒂
'huang'bo 凰檗
'huang'jin'zhi'qu 黄金之躯
'hui'nian'jian 悔念剑
'hun'hun'e 混混鳄
'huo'bao'hou 火爆猴
'huo'bao'zhu 火宝珠
'huo'bu 火布
'huo'jian'que 火箭雀
'huo'shen'e 火神蛾
'huo'yan'bao'zhu 火焰宝珠
'huo'yan'shi 火炎狮
'huo'yi'bu 火伊布
'huo'zhu 火珠
'ji'bian'tou'zi 机变骰子
'ji'he'xue'hua 几何雪花
'ji'ji'long 戟脊龙
'ji'li'dan 吉利蛋
'ji'ni'ya 吉尼亚
'ji'su'zhuan'lun 疾速转轮
'jia'qiao'long 甲壳龙
'jia'zhen'guo 嘉珍果
'jian'ya'lu'sha 尖牙陆鲨
'jian'zi'cao 毽子草
'jian'zi'hua 毽子花
'jian'zi'mian 毽子棉
'jiang'jiu'tou'dai 讲究头带
'jiang'jiu'wei'jin 讲究围巾
'jiang'jiu'yan'jing 讲究眼镜
'jiao'dian'jing 焦点镜
'jiao'xiang'zhi'qu 焦香之驱
'jie'jing'zhi'fu 洁净之符
'jie'jing'zhi'yan 洁净之盐
'jie'pai'qi 节拍器
'jin'bang'shu'dai 紧绑束带
'jin'chan'gou'zhao 紧缠钩爪
'jin'hua'qi'shi 进化奇石
'jin'shu'mo 金属膜
'jing'guang'hua 晶光花
'jing'guang'ya 晶光芽
'jing'guang'zhuan'zhuan 晶光转转
'jing'jiao'lu 惊角鹿
'jing'shen'zhong'zi 精神种子
'ju'dao'xiao'bing 驹刀小兵
'ju'du'bao'zhu 剧毒宝珠
'ju'duan'jiang 巨锻匠
'ju'jian'tu'ji 巨剑突击
'ju'li'chui 巨力锤
'ju'qian'tang'lang 巨钳螳螂
'ju'shi'ding 巨石丁
'ju'tan'shan 巨炭山
'jun'si'zhi'li 菌丝之力
'ka'di'gou 卡蒂狗
'kai'nong'pao 铠农炮
'ke'da'ya 可达鸭
'ke'fang'fu'wu 客房服务
'ke'la'wei'er 克拉韦尔
'ken'guo'chong 啃果虫
'ken'tai'luo 肯泰罗
'kou'sha 寇沙
'kua'ke'chong'neng 夸克充能
'kuai'long 快龙
'kuang'huan'lang'wu'ya 狂欢浪舞鸭
'la'jiao'jing'hua 辣椒精华
'la'la'zao 垃垃藻
'la'lu'la'si 拉鲁拉丝
'lai'bei'cha 来悲茶
'lai'mu 莱姆
'lan'ren'ta 懒人獭
'lan'sa'guo 兰萨果
'lan'tang'hua 兰螳花
'lan'ya 蓝鸦
'le'ba'guo 乐芭果
'le'ke'mao 勒克猫
'lei'bu 雷布
'lei'qiu 雷丘
'lei'yi'bu 雷伊布
'leng'gua'guo 棱瓜果
'li'liang'fu'zhong 力量负重
'li'liang'hu'huai 力量护踝
'li'liang'hu'wan 力量护腕
'li'liang'jing 力量镜
'li'liang'shu'dai 力量束带
'li'liang'tou'dai 力量头带
'li'liang'yao'dai 力量腰带
'li'mu'guo 利木果
'li'ou'lu 利欧路
'li'pu 莉普
'li'yu'wang 鲤鱼王
'lian'pu'guo 莲蒲果
'liang'ji'long 凉脊龙
'lie'jian'que 烈箭雀
'lie'tui'huang 烈腿蝗
'lie'yao'lu'sha 烈咬陆鲨
'lie'zhen'bing 列阵兵
'ling'yu'guo 零余果
'liu'guang'chong'ji 琉光冲激
'liu'liu'tang'qiu 溜溜糖球
'liu'mang'e 流氓鳄
'liu'shi'guo 榴石果
'liu'shui'xuan'wu 流水旋舞
'long'huo'guo 龙火果
'long'jing'guo 龙睛果
'long'zhi'lin'pian 龙之鳞片
'long'zhi'ya 龙之牙
'lu'di'shui'mu 陆地水母
'lu'ka'li'ou 路卡利欧
'lu'li'li 露力丽
'lun'qin'mao 伦琴猫
'luo'mei'guo 洛玫果
'luo'tuo'mu 洛托姆
'luo'zi'guo 罗子果
'ma'hua'quan 麻花犬
'ma'li'lu 玛力露
'ma'li'lu'li 玛力露丽
'ma'ma'man 麻麻鳗
'ma'ma'man'yu'wang 麻麻鳗鱼王
'ma'ma'xiao'yu 麻麻小鱼
'ma'niu'la 玛狃拉
'ma'sha'na 玛沙那
'man'mei'guo 蔓莓果
'mang'mang'guo 芒芒果
'mao'lao'da 猫老大
'mao'qiu 毛球
'mao'tou'xiao'ying 毛头小鹰
'mao'ya'xie 毛崖蟹
'mao'you'shao 猫鼬少
'mao'you'tan'zhang 猫鼬探长
'mao'you'zhan 猫鼬斩
'mei'li'kong'ke 美丽空壳
'mei'liu'guo 莓榴果
'mei'luo'ke 梅洛可
'mei'mei'guo 莓莓果
'mei'tan'gui 煤炭龟
'meng'e'gu 猛恶菇
'meng'ge'xian'ren'zhang 梦歌仙人掌
'meng'yao 梦妖
'meng'yao'mo 梦妖魔
'mi'bu'li'mu 迷布莉姆
'mi'chuan'liao 秘传料
'mi'le'dun 密勒顿
'mi'li'long 米立龙
'mi'mo'sha 米莫莎
'mi'ni'fu 迷你芙
'mi'ni'long 迷你龙
'mi'ni'qiu 谜拟丘
'mi'tan'dou'peng 密探斗篷
'mi'zhi'guo 谜芝果
'miao'miao 喵喵
'miao'tou'mu 喵头目
'mie'li'yang 咩利羊
'ming'yu 命玉
'mo'fang'xiang'cao 模仿香草
'mo'huan'jia'mian'miao 魔幻假面喵
'mo'lu'e 摩鲁蛾
'mo'mo'gu 蘑蘑菇
'mo'ru'e 末入蛾
'mo'tuo'xi 摩托蜥
'mo'ya'cai'pi'yu 磨牙彩皮鱼
'mu'ke'er 姆克儿
'mu'ke'niao 姆克鸟
'mu'ke'ying 姆克鹰
'mu'tan 木炭
'mu'xia'li'shi 幕下力士
'mu'yang'quan 墓扬犬
'mu'zai'gou 墓仔狗
'mu'zi'guo 木子果
'na'shi'cao 纳噬草
'ni'hong'yu 霓虹鱼
