'bo'hui 驳回
'bo'hui'kang'su 驳回抗诉
'bo'hui'shang'su 驳回上诉
'bu'fen'shang'su 部分上诉
'bu'gong'kai'shen'li 不公开审理
'cai'ding 裁定
'cai'jue 裁决
'cai'pan 裁判
'che'xiao'yuan'pan 撤销原判
'cheng'shen'yuan 承审员
'chong'shen 重审
'chu'shen 初审
'dang'ting'xuan'pan 当庭宣判
'dang'ting'zuo'zheng 当庭作证
'di'er'shen'cheng'xu 第二审程序
'di'yi'shen'cheng'xu 第一审程序
'ding'qi'xuan'pan 定期宣判
'du'ren'zhi 独任制
'er'shen 二审
'er'shen'an'jian 二审案件
'er'shen'cai'ding 二审裁定
'er'shen'fa'yuan 二审法院
'er'shen'pan'jue 二审判决
'er'shen'zhong'jie 二审终结
'fa'hui'chong'shen 发回重审
'fa'lan 法栏
'fa'sheng'fa'lv'xiao'li'de'cai'ding 发生法律效力的裁定
'fa'sheng'fa'lv'xiao'li'de'pan'jue 发生法律效力的判决
'fa'tai 法台
'fa'ting'bian'lun 法庭辩论
'fa'ting'diao'cha 法庭调查
'fa'ting'ji'lv 法庭纪律
'fa'ting'ming'ling 法庭命令
'fa'ting'shen'pan'bi'lu 法庭审判笔录
'fa'ting'tiao'jie 法庭调解
'gai'pan 改判
'geng'shen 更审
'gong'kai'xuan'pan 公开宣判
'gong'pan 公判
'he'bing'shen'li 合并审理
'he'yi'ting 合议庭
'he'yi'zhi 合议制
'he'zhun 核准
'ji'qing'ji'zhong 畸轻畸重
'jian'xing'ren 监刑人
'jiao'fu'zhi'xing 交付执行
'jiu'di'zheng'fa 就地正法
'ju'jue'shou'ya 拒绝收押
'jue'ding 决定
'kai'ting 开庭
'kai'ting'shen'pan 开庭审判
'kang'su 抗诉
'kang'su'qi'xian 抗诉期限
'ke'chu'xing'fa'de'pan'jue 科处刑罚的判决
'kou'tou'cai'ding 口头裁定
'li'ji'xuan'pan 立即宣判
'mian'chu'xing'fa'de'pan'jue 免除刑罚的判决
'pan'jue 判决
'pang'ting 旁听
'pang'ting'ji'lv 旁听纪律
'ping'yi 评议
'ping'yi'bi'lu 评议笔录
'qiang'jue 枪决
'quan'bu'gai'pan 全部改判
'quan'bu'shang'su 全部上诉
'que'ding'de'cai'ding 确定的裁定
'que'ding'de'pan'jue 确定的判决
'que'xi'pan'jue 缺席判决
'que'xi'shen'pan 缺席审判
'shang'su 上诉
'shang'su'bu'jia'xing 上诉不加刑
'shang'su'qi'xian 上诉期限
'shang'su'quan 上诉权
'shang'su'shen 上诉审
'shang'su'zhuang 上诉状
'shen'cha'gong'su 审查公诉
'shen'jie 审结
'shen'li 审理
'shen'pan 审判
'shen'pan'gong'gao 审判公告
'shen'pan'guan 审判官
'shen'pan'jian'du'cheng'xu 审判监督程序
'shen'pan'zhang 审判长
'shen'pan'zu'zhi 审判组织
'shen'xian 审限
'shi'ti'shen 实体审
'shi'yong'fa'lv'bu'dang 适用法律不当
'shou'quan'he'zhun 授权核准
'shu'mian'cai'ding 书面裁定
'shu'mian'shen 书面审
'shu'mian'shen'li 书面审理
'si'xing'fu'he 死刑复核
'si'xing'fu'he'cai'ding 死刑复核裁定
'si'xing'fu'he'cheng'du 死刑复核程度
'si'xing'fu'he'zhi'du 死刑复核制度
'si'xing'he'zhun 死刑核准
'si'xing'he'zhun'quan 死刑核准权
'su'de'fen'li 诉的分离
'su'song'he'bing 诉讼合并
'ti'qi'zai'shen 提起再审
'ti'qian'shi'fang 提前释放
'ti'shen 提审
'ting'zhi'shen'pan 停止审判
'ting'zhi'zhi'xing 停止执行
'wei'chi'yuan'pan 维持原判
'wei'tuo'diao'cha 委托调查
'wu'zui'pan'jue 无罪判决
'xing'shi'cai'ding'shu 刑事裁定书
'xing'shi'pan'jue 刑事判决
'xing'shi'pan'jue'shu 刑事判决书
'xing'shi'shang'su'zhuang 刑事上诉状
'xing'shi'tiao'jie 刑事调解
'xing'shi'tiao'jie'shu 刑事调解书
'xiu'ting 休庭
'xuan'bu'kai'ting 宣布开庭
'xuan'gao'pan'jue 宣告判决
'xuan'gao'wu'zui 宣告无罪
'yan'ci'shen'li 言词审理
'yan'ming'zheng'shen 验明正身
'yan'qi'shen'li 延期审理
'yan'qi'zhi'xing 延期执行
'yi'bu'gai'pan 一部改判
'yi'bu'shang'su 一部上诉
'yi'shen 一审
'yi'shen'an'jian 一审案件
'yi'shen'cai'ding 一审裁定
'yi'shen'fa'yuan 一审法院
'yi'shen'pan'jue 一审判决
'yi'shen'zhong'jie 一审终结
'you'zui'pan'jue 有罪判决
'yuan'shen 原审
'zai'shen 再审
'zai'shen'cai'ding 再审裁定
'zai'shen'fa'yuan 再审法院
'zai'shen'li'you 再审理由
'zai'shen'shen'qing 再审申请
'zhi'jie'shen'li 直接审理
'zhi'xing 执行
'zhi'xing'bi'lu 执行笔录
'zhi'xing'bian'geng 执行变更
'zhi'xing'cheng'xu 执行程序
'zhi'xing'ji'guan 执行机关
'zhi'xing'jian'du 执行监督
'zhi'xing'si'xing'ming'ling 执行死刑命令
'zhi'xing'ting'zhi 执行停止
'zhi'xing'tong'zhi'shu 执行通知书
'zhong'shen 终审
'zhong'shen'cai'ding 终审裁定
'zhong'shen'pan'jue 终审判决
'zi'xing'he'jie 自行和解
'zui'fan 罪犯
'zui'hou'chen'shu'quan 最后陈述权
