'an'hei'yao'jing 暗黑妖精
'an'hei'yao'jing'xi'bao 暗黑妖精细胞
'an'ji'zhi'jia 安济知佳
'bai'gui'ye'xing 百鬼夜行
'bai'shi'liang'zi 白石凉子
'bei'ou'shi'jie 北欧世界
'cao'ti'da'she 草薙大蛇
'cao'ti'ming 草薙命
'cao'ti'shu'xi 草薙树夕
'cao'ti'xiao 草薙哮
'cao'ti'zhen'ming'liu 草薙真明流
'cao'ti'zhu'ren'liu 草薙诸刃流
'chi'yu'gen'jian'zhi 赤羽根健治
'da'jiu'bao'liu'mei 大久保瑠美
'da'ye'mu'bi'fang 大野木彼方
'da'yuan'sha'ye'xiang 大原沙耶香
'di'ling'jian'mie'ji'dong'dui 第零歼灭机动队
'di'shi'yan'xiao'dui 第试验小队
'duan'ye'shi 锻冶师
'dui'mo'dao'xue'yuan 对魔导学园
'dui'mo'dao'xue'yuan'ce'shi'xiao'dui 对魔导学园测试小队
'e'ma'ma 鹅妈妈
'er'jie'tang'zhen'li 二阶堂真理
'feng'cheng'he'zhen 峰城和真
'feng'sa'yue 凤飒月
'feng'xiao'yue 凤晓月
'feng'yang'yan 凤阳炎
'feng'ying'hua 凤樱花
'fu'la'de 弗拉德
'fu'shen'mo'fa 附身魔法
'gong'si 公司
'gu'chuan'shen 古川慎
'guan'gen'ming'liang 关根明良
'hong'lian'gong'zhu 红莲公主
'huan'xiang'jiao'tuan 幻想教团
'huang'hun'yi'chan 黄昏遗产
'ji'guang'mo'nv 极光魔女
'ji'shui'ming 吉水明
'jie'jie'mo'fa 结界魔法
'jin'ji'hong'shan 禁忌红闪
'jin'si'que 金丝雀
'jin'tian'jian'ci'lang 津田健次郎
'la'bi'si'la'si'li 拉碧丝拉斯莉
'la'fo'mei'ka 拉佛梅卡
'lei'bang'ting 雷邦汀
'mei'fei'si'te 梅菲斯特
'mo'nv'lie'ren 魔女猎人
'mo'nv'lie'ren'hua 魔女猎人化
'mu'lan'hua 木兰花
'ni'lu 尼禄
'quan'neng'mo'nv 全能魔女
'quan'tang'jing 泉堂静
'ren'zao'tian'cai 人造天才
'san'mu'zhen'yi'lang 三木真一郎
'san'ping'you'bu'zi 三瓶由步子
'shan'bo'ban'jiu 杉波斑鸠
'shan'bo'yi'sha 杉波伊砂
'shan'bo'zhu'que 杉波朱雀
'shan'tian'nai'dou'mei 山田奈都美
'shang'tian'li'nai 上田丽奈
'shen'sha'fu'fa 神杀赋法
'sheng'tian'shan'zi 生田善子
'shi'mo'sheng'wu 噬魔圣物
'tian'ming'lu'li'zhen 天明路礼真
'tie'sun'ren 铁隼人
'wu'gu'jing'ye 雾谷京夜
'xi'gu'jia'zheng 细谷佳正
'xi'xue'gui 吸血鬼
'xi'yuan'si'jia 西园寺家
'xi'yuan'si'jie'geng 西园寺桔梗
'xi'yuan'si'tu 西园寺兔
'xia'bing'xie'jiang'xiao'dui 虾兵蟹将小队
'xian'zhe'zhi'shi 贤者之石
'xiao'shan'li'ye 小山力也
'xiao'tu 小兔
'xin'jing'li'mei 新井里美
'xing'bai'liu 星白流
'xiong'sha 凶煞
'ya'ren'jie'jing 亚人结晶
'ya'se'wang 亚瑟王
'yao'shi 药师
'ye'shui'yi'zhi 野水伊织
'yi'duan'shen'wen'guan 异端审问官
'yi'duan'shen'wen'guan'yu'cheng'ji'guan 异端审问官育成机关
'yi'li'sha'bai 伊丽莎白
'yi'teng'jia'nai'hui 伊藤加奈惠
'yin'hu'zhi'jian 银槲之剑
'yin'xie'zhi'jian 银榭之剑
'ying'xiong'zhao'huan'shi'jian 英雄召唤事件
'yong'heng'zhi'qiang 永恒之枪
'you'zuo'hao'er 游佐浩二
'zhan'luan'mo'jian 战乱魔剑
'zhu'ren'liu'jian'shu 诸刃流剑术
