'ai'hao 哀嚎
'an'dao 暗道
'bai'che 掰扯
'bei'hou'chuan'le'xia'hua 背后传了瞎话
'bi'wen 逼问
'bian'bai 辩白
'bu'da'fan'wen 不答反问
'bu'xiang'ji'xu'zhe'ge'hua'ti 不想继续这个话题
'can'jiao 惨叫
'chen'sheng 沉声
'chen'yin 沉吟
'chi'ze 斥责
'chong'ta'shuo 冲她说
'chu'sheng 出声
'chuan'lai'mo'sheng'ren'de'kou'yin 传来陌生人的口音
'chun'hou'de'sheng'yin 醇厚的声音
'cuo'ci'yan'jin 措辞严谨
'da'cha 打岔
'da'hua 搭话
'da'qiang 搭腔
'da'qu 打趣
'da'shan 搭讪
'di'gu 嘀咕
'di'yu 低语
'du'du'nang'nang 嘟嘟囔囔
'du'nang 嘟囔
'dui'le'yi'ju 怼了一句
'fan'bo 反驳
'fan'wen 反问
'fen'fen'dao 愤愤道
'fen'fu 吩咐
'gai'kou 改口
'gao'sheng'ze'wen 高声责问
'han'hu'bu'qing'di'wen 含糊不清地问
'he'chi 呵斥
'he'dao 喝道
'hen'hen'dao 恨恨道
'hou'dao 吼道
'hua'dou'shuo'dao'zhe'fen'shang'le 话都说到这份上了
'hua'feng'yi'zhuan 话锋一转
'hua'tun'hui'du'zi'li 话吞回肚子里
'hua'yin'qing'chan 话音轻颤
'ji'hu'yi'sheng 疾呼一声
'jian'rui'zhe'sang'yin 尖锐着嗓音
'jiang'shang'ji'ju 犟上几句
'jie'hua 接话
'jie'zhu'yao'shuo'de'hua 截住要说的话
'jin'le'sheng 噤了声
'jing'zi'shuo'dao 径自说道
'keng'sheng 吭声
'kou'wen'bu'si'ming'ling 口吻不似命令
'leng'sheng 冷声
'li'he 厉喝
'li'sheng 厉声
'lian'sheng 连声
'lin'sheng 凛声
'lue'dai'zi'chao'de'shuo 略带自嘲地说
'ming'ling'de'kou'wen 命令的口吻
'qing'sheng 轻声
'ruo'ruo'de'shuo 弱弱地说
'shan'shan'de'ying'le'yi'ju 讪讪地应了一句
'sheng'diao'qing'wei 声调轻微
'sheng'yin'bu'ji'bu'huan 声音不急不缓
'sheng'yin'bu'you'de'jian'rui'le'ji'fen 声音不由得尖锐了几分
'sheng'yin'wen'run'ru'yu 声音温润如玉
'shi'sheng 失声
'shou'sheng 收声
'suo'xing'shuo 索性说
'ti'dian 提点
'xie'si'li'di'di'han'le'yi'sheng 歇斯里底地喊了一声
'xu'shuo 叙说
'xun'chi 训斥
'yang'sheng 扬声
'yi'zi'yi'dun 一字一顿
'ying'sheng 应声
'ying'yun 应允
'yong'bi'zi'heng'chu'ji'ge'zi 用鼻子哼出几个字
'yu'dai'dai'zhe'ku'qiang 语带带着哭腔
'yu'diao'sheng'ying 语调生硬
'yu'qi'li'mei'you'ren'he'tiao'xiao'de'yi'wei 语气里没有任何调笑的意味
'yu'qi'you'xie'bu'yue 语气有些不悦
'yu'su'gang'gang'hao 语速刚刚好
'zhi'wu 支吾
'zi'sheng 吱声
'zui'li'sui'sui'de'nian'le'yi'ju 嘴里碎碎的念了一句
'zui'pi'zi'li'suo 嘴皮子利索
