'a'xu 阿虚
'bei'gao'wen'yi'she 北高文艺社
'chang'men 长门
'chang'men'you'xi 长门有希
'chao'bi'nai'shi'jiu'liu 朝比奈实玖瑠
'chao'cang'liang'zi 朝仓凉子
'chao'neng'li'zhe 超能力者
'gu'quan'yi'shu 古泉一树
'guang'yang'yuan 光阳园
'he'wu'xue'jie 鹤屋学姐
'hou'teng'yi'zi 后藤邑子
'liang'gong'chun'ri 凉宫春日
'liang'gong'chun'ri'de'you'yu 凉宫春日的忧郁
'mao'yuan'shi'li 茅原实里
'ping'xing'shi'jie 平行世界
'ping'ye'ling 平野绫
'sang'gu'xia'zi 桑谷夏子
'shan'tian'zhi'he 杉田智和
'shi'fu 师父
'shi'jiu'liu'fen'si'ju'le'bu 实玖琉粉丝俱乐部
'shu'yuan'de'dui'xiang 疏远的对象
'song'gang'you'gui 松冈由贵
'wai'xing'ren 外星人
'wei'lai'ren 未来人
'xi'lv'jiang'mei'li 喜绿江美里
'xiao'shi'chang'men 消失长门
'xiao'ye'da'fu 小野大辅
'yi'lei 异类
