'bo'zhu 拨珠
'hua'hua'ti 滑滑梯
'jian'bu'jin'yi 减补进一
'jin'wei 进位
'jin'yi'jia'bu 进一加补
'kan'zhu'yi'shu 看珠译数
'kong'bo 空拨
'man'wu'jia 满五加
'man'wu'jin'wei'jia 满五进位加
'nao'zhu'xiang 脑珠像
'pa'lou'ti 爬楼梯
'po'wu'jian 破五减
'po'wu'tui'wei'jian 破五退位减
'shu'zhu'hu'yi 数珠互译
'ting'zhu'yi'shu 听珠译数
'tui'tu'ji 推土机
'tui'wei 退位
'wa'tu'ji 挖土机
'xin'suan 心算
'xin'suan'kong'bo 心算空拨
'zhi'jia 直加
'zhi'jia'zhi'jian 直加直减
'zhi'jian 直减
'zhi'jie'jin'wei'jia 直接进位加
'zhi'jie'tui'wei'jian 直接退位减
'zhu'xiang 珠像
'zhu'xiang'tu 珠像图
'zhu'xin'suan 珠心算
