'ai'sheng'bai'mu'da'cao 矮生百慕大草
'ai'sheng'gao'yang'mao 矮生高羊茅
'ai'sheng'mei'ren'jiao 矮生美人蕉
'ao'ye'hou'po 凹叶厚朴
'ba'jiao 芭蕉
'ba'jiao'jin'pan 八角金盘
'ba'xian'hua 八仙花
'bai'ji 白芨
'bai'la 白蜡
'bai'mu'da'cao 百慕大草
'bai'yu'lan 白玉兰
'ban'gen'cao 绊根草
'ben'te'yi'hao'cao 本特一号草
'bi'li 薜荔
'bi'qi 荸荠
'bi'tao 碧桃
'bo'qiao'shan'he'tao 薄壳山核桃
'bu'ji'zhu 哺鸡竹
'ce'bai 侧柏
'cha'mei 茶梅
'chang'chun'teng 常春藤
'chao'xian'zhi'zi'hua 朝鲜栀子花
'cheng'liu 柽柳
'chi'shan 池杉
'chong'yang'mu 重阳木
'chou'chun 臭椿
'chui'liu 垂柳
'chui'si'hai'tang 垂丝海棠
'chui'zhi'mei 垂枝梅
'chui'zhi'tao 垂枝桃
'chui'zhi'yu 垂枝榆
'chun'cai 莼菜
'chun'juan 春鹃
'ci'bai'qiu 刺柏球
'ci'gu 慈姑
'ci'huai 刺槐
'ci'xiao'zhu 慈孝竹
'cong'lan 葱兰
'cui'bai 翠柏
'cui'bai'qiu 翠柏球
'da'hua'zui'yu'cao 大花醉鱼草
'da'wu'feng'cao 大吴风草
'da'ye'hai'cai'hua 大叶海菜花
'da'ye'huang'yang 大叶黄杨
'da'ye'huang'yang'qiu 大叶黄杨球
'dan'ban'cha'hua 单瓣茶花
'dan'ban'hong'hua'you'cha'hua 单瓣红花油茶花
'dan'gui 丹桂
'dan'zhu 淡竹
'de'guo'yuan'wei 德国鸢尾
'deng'xin'cao 灯心草
'di'tang 棣棠
'ding'xiang 丁香
'du'ying 杜英
'du'zhong 杜仲
'e'zhang'qiu 鹅掌楸
'er'qiao'yu'lan 二乔玉兰
'er'tai'gou'gu'qiu 二台枸骨球
'fei'shu 榧树
'feng'wei'zhu 凤尾竹
'feng'xiang 枫香
'feng'yang 枫杨
'fu'fang'teng 扶芳藤
'gang'zhu 刚竹
'gao'yang'mao 高羊茅
'gou'gu 枸骨
'gou'gu'qiu 枸骨球
'gua'zi'huang'yang 瓜子黄杨
'gua'zi'huang'yang'qiu 瓜子黄杨球
'guang'yu'lan 广玉兰
'gui'jia'dong'qing 龟甲冬青
'guo'huai 国槐
'guo'lu'huang 过路黄
'guo'mei 果梅
'guo'shi'liu 果石榴
'hai'bin'mu'jin 海滨木槿
'hai'tong 海桐
'hai'tong'qiu 海桐球
'han'san'cao 旱伞草
'han'xiao 含笑
'he'hua 荷花
'he'huan 合欢
'hei'mai'cao 黑麦草
'hei'song 黑松
'hong'feng 红枫
'hong'guo'dong'qing 红果冬青
'hong'hua'ji'mu 红花继木
'hong'hua'ji'mu'qiu 红花继木球
'hong'hua'mu'lian 红花木莲
'hong'hua'zuo'jiang'cao 红花酢浆草
'hong'mei 红梅
'hong'nan 红楠
'hong'ye'li 红叶李
'hong'ye'shi'nan 红叶石楠
'hong'ye'tao 红叶桃
'hong'yu'lan 红玉兰
'hou'pi'xiang 厚皮香
'hu'die'hua 蝴蝶花
'hu'tui'zi 胡颓子
'hu'tui'zi'qiu 胡颓子球
'hu'wei'zao 狐尾藻
'hua'bai 花柏
'hua'bai'qiu 花柏球
'hua'chang'pu 花菖蒲
'hua'lin 花蔺
'hua'shi'liu 花石榴
'hua'ye'lu'wei 花叶芦苇
'hua'ye'shui'cong 花叶水葱
'hua'ye'yu'zan 花叶玉簪
'hua'ye'ze'tai 花叶泽苔
'hua'zhong'mu'lan 华中木兰
'huang'chang'pu 黄菖蒲
'huang'hua'lin 黄花蔺
'huang'lian'mu 黄连木
'huang'shan'luan'shu 黄山栾树
'huang'si'cao 黄丝草
'huo'ji 火棘
'huo'ji'qiu 火棘球
'ji'xue'teng 鸡血藤
'ji'zhao'qi 鸡爪槭
'jia'zhu'tao 夹竹桃
'jian'gu'ying'cao 剪股颖草
'jian'ma 剑麻
'jiang'nan'qi'mu 江南桤木
'jie'xiang 结香
'jin'bian'huang'yang 金边黄杨
'jin'bian'huang'yang'qiu 金边黄杨球
'jin'gui 金桂
'jin'he'huan 金合欢
'jin'jie 金桔
'jin'qian'song 金钱松
'jin'shan'xiu'xian'ju 金山绣线菊
'jin'si'chui'liu 金丝垂柳
'jin'si'mei 金丝梅
'jin'si'tao 金丝桃
'jin'ye'chui'huai 金叶垂槐
'jin'ye'nv'zhen 金叶女贞
'jin'yin'hua 金银花
'jin'yu'zao 金鱼藻
'jin'zhong 金钟
'jiu'lan 韭兰
'ju'cao 聚草
'ju'shu 榉树
'ju'zi 桔子
'ku'cao 苦草
'ku'lian 苦楝
'ku'zhu 苦槠
'ku'zhu 苦竹
'kuan'ye'ze'tai 宽叶泽苔
'kuo'ye'shi'da'gong'lao 阔叶十大功劳
'la'mei 腊梅
'lao'yu'shan 落羽杉
'le'chang'han'xiao 乐昌含笑
'lei'zhu 雷竹
'ling'xiao 凌霄
'liu'dao'mu 六道木
'liu'yue'xue 六月雪
'long'bai 龙柏
'long'bai'qiu 龙柏球
'long'zhao'liu 龙爪柳
'luan'shu 栾树
'lun'ye'hei'zao 轮叶黑藻
'luo'han'song 罗汉松
'luo'han'song'qiu 罗汉松球
'luo'shi 络石
'lv'mei 绿梅
'ma'nao'shi'liu 玛瑙石榴
'ma'ni'la'cao 马尼拉草
'ma'ti'jin'cao 马蹄筋草
'mai'dong'cao 麦冬草
'mao'juan 毛鹃
'mao'zhu 毛竹
'mi'hou'tao 猕猴桃
'miao'mu'ming'cheng 苗木名称
'mu'fu'rong 木芙蓉
'mu'gua 木瓜
'mu'he 木荷
'mu'jin 木槿
'mu'xiang 木香
'nan'fang'hong'dou'shan 南方红豆杉
'nan'tian'zhu 南天竺
'nv'zhen 女贞
'pan'huai 盘槐
'pao'tong 泡桐
'pi'pa 枇杷
'ping'peng'cao 萍蓬草
'pu'di'bai 铺地柏
'pu'tao 葡萄
'qi'jie'mei 七姐妹
'qi'ye'shu 七叶树
'qian'qu'cai 千屈菜
'qian'shi 芡实
'qiang'wei 蔷薇
'qing'gang'li 青冈栎
'qing'tong 青桐
'qiong'hua 琼花
'qiu'shu 楸树
'que'she'huang'yang'qiu 雀舌黄杨球
'ri'ben'di'tan'cao 日本地毯草
'ri'ben'leng'shan 日本冷杉
'ri'ben'liu'shan 日本柳杉
'ri'ben'wan'ying 日本晚樱
'ri'ben'ying'hua 日本樱花
'ruo'zhu 箬竹
'sa'jin'bai'qiu 洒金柏球
'san'bai'cao 三白草
'san'jiao'feng 三角枫
