'bing'zu 冰族
'chao'ya 潮涯
'da'ji'si 大祭司
'dan'xing'zhang 诞星仗
'dong'fang'hu'wei 东方护卫
'feng'tian 封天
'hei'mo'fa 黑魔法
'huan'cheng 幻城
'huan'shu'shi 幻术师
'huan'xue'di'guo 幻雪帝国
'huan'xue'shen'shan 幻雪神山
'huang'tuo 皇柝
'huo'zu 火族
'jian'tong 剪瞳
'ka'suo 卡索
'ke'tuo 克托
'lan'shang 岚裳
'li'jing 离镜
'li'luo 梨落
'li'tian'jin 罹天烬
'lian'ji 莲姬
'liao'jian 辽溅
'luo'xing'zhang 落星杖
'pian'feng 片风
'qing'ren 倾刃
'ren'xue'cheng 刃雪城
'ren'yu'zu 人鱼族
'tan'xi'qiang 叹息墙
'wu'shi 巫师
'xing'gui 星轨
'xing'jiu 星旧
'xing'zhou 星昼
'xue'wu'sen'lin 雪雾森林
'ying'kong'shi 樱空释
'yuan'ji 渊祭
'yue'shen 月神
'zhan'xing'shi 占星师
