'ai'zhang'xia 矮嶂下
'ai'zi 隘子
'an'dun 安墩
'an'jing 暗迳
'an'liu 安流
'an'quan'chu'shui'liang 安全出水量
'an'xian 岸线
'ang'ping 昂坪
'ao'an 凹岸
'ao'du 凹肚
'ao'tou 澳头
'ao'xia 坳下
'ba'chi 八尺
'ba'jia'xu 八甲圩
'ba'tou 坝头
'ba'wei 坝尾
'ba'wei'shui'ku 坝尾水库
'ba'yi'li 扒移力
'ba'zai 坝仔
'ba'zhuang 巴庄
'bai'ca 白礤
'bai'ca'shui'ku 白礤水库
'bai'dong 白洞
'bai'dong'shui'ku 白洞水库
'bai'du 白渡
'bai'du'he 白渡河
'bai'gong'ao 佰公坳
'bai'gong'ao'shui'ku 佰公坳水库
'bai'hou 百侯
'bai'hou 百候
'bai'hua'lin 百花林
'bai'hua'lin'shui'ku 百花林水库
'bai'hua'tou 百花头
'bai'jiao 白蕉
'bai'kan'jiao 白勘角
'bai'keng 柏坑
'bai'lu'ling 白露岭
'bai'mang 白芒
'bai'mang'he 白芒河
'bai'mei 白梅
'bai'mei'xin'xu 白梅新圩
'bai'mian'shi 白面石
'bai'miao 白庙
'bai'ni'keng 白泥坑
'bai'pen'zhu 白盆珠
'bai'pen'zhu'shui'ku 白盆珠水库
'bai'pu 白蒲
'bai'pu'he 柏埔河
'bai'qiao 柏桥
'bai'sha'dun 白沙墩
'bai'sha'he 白沙河
'bai'sha'he'shui'ku 白沙河水库
'bai'sha'xi 白沙溪
'bai'sha'xi'shui'ku 白沙溪水库
'bai'sha'zai 白沙仔
'bai'shi'he 白石河
'bai'shi'yao 白石窑
'bai'shi'yao'shui'ku 白石窑水库
'bai'shun 百顺
'bai'tang 柏塘
'bai'teng 白藤
'bai'teng'hu 白藤湖
'bai'tu 白土
'bai'xi 白溪
'bai'xi'shui'ku 白溪水库
'bai'yu'feng 白玉峰
'bai'yun'ao 白云坳
'bai'yun'qu 白云区
'bai'yun'shui 白云水
'bai'zhu 白竹
'ban'cun 板村
