'a'man'mi'huang 阿曼米黄
'ai'mi 埃米
'ao'te'man 奥特曼
'bai'ma 白麻
'bai'mei'gui 白玫瑰
'bai'sha'mi'huang 白沙米黄
'bai'yu'lan 白玉兰
'bao'zhuang 包装
'bei'dao 背倒
'bei'hou 背后
'bo'xi'mi'huang 波西米黄
'bu'ban 补板
'chuang'tai'ban 窗台板
'da'mo 打磨
'da'xie'bian 大斜边
'da'yan 打眼
'di'wang'jin 帝王金
'ding'hou 定厚
'dong'shi 洞石
'fa'guo'bian 法国边
'fa'guo'mu'wen 法国木纹
'fa'guo'mu'wen'huang'jia'yu 法国木纹皇家玉
'fang'gu'mian 仿古面
'fang'hu 防护
'fang'hua'cao 防滑槽
'gai'dao 改刀
'hai'tang'bian 海棠边
'han'bai'yu 汉白玉
'hei'jin'sha 黑金沙
'hei'jin'sha'hei'jin'hua 黑金沙黑金花
'hu'tou 虎头
'hu'xing'ban 弧形板
'huang'jin'ma 黄金麻
'huang'jin'mi'huang 黄金米黄
'jia'hou 加厚
'jia'jin 加金
'jian'guang 见光
'jin'bi'mi'huang 金碧米黄
'jin'shi'ji 金世纪
'jin'xian'mi'huang 金线米黄
'jin'xiang'yu 金香玉
'kai'cao 开槽
'la'mao 拉毛
'lao'hu'mi'huang 老虎米黄
'li'mian 立面
'pai'ban 排版
'pin'hua 拼花
'ping'bian 平边
'qi'zi'bian 棋子边
'qian'fei'wang 浅啡网
'qiao'zhi'ya'hui 乔治亚灰
'qie'ban 切板
'qie'hu 切弧
'qie'jiao 切角
'ruo'wa'mi'huang 若娃米黄
'sha'lang'mi'huang 沙浪米黄
'sha'mo'zhen'zhu 沙漠珍珠
'sha'yan'ao'jin'mi'huang 砂岩奥金米黄
'shen'hui'wang 深灰网
'sheng'an'na 圣安娜
'shi'dao'hong 石岛红
'shou'gong'qie'hu 手工切弧
'shua'mao 刷毛
'suo'fei'ya 索菲亚
'ta'bu 踏步
'tai'shang'pen 台上盆
'tai'xia'pen 台下盆
'teng'long'bian 腾龙边
'ti'jiao'xian 踢脚线
'wen'sha'shi 温莎石
'xi'mi 西米
'xian'tiao 线条
'xiang'cun'lv 乡村绿
'xiao'yuan'bian 小圆边
'xin'xi'mi 新西米
'xin'ya'mi'huang 新雅米黄
'xiu'shi 锈石
'xue'hua'bai 雪花白
'ya'shi'bai 雅士白
'yi'lang'mi'huang 伊朗米黄
'zhan'bei'tiao 粘背条
'zhan'jie 粘接
'zheng'dao 正倒
'zhi'bian 直边
'zhong'ou'mi'huang 中欧米黄
'zi'luo'hong 紫罗红
