'an'cha'xiao 暗插销
'an'deng 暗灯
'an'fang 暗房
'an'guan 暗管
'an'jian 暗间
'an'lu'pian 暗炉片
'an'niu 按钮
'an'niu'kai'guan 按钮开关
'an'niu'kong'zhi 按钮控制
'an'quan 安全
'an'quan'cao'zuo 安全操作
'an'quan'chu'kou 安全出口
'an'quan'chu'kou'deng 安全出口灯
'an'quan'chu'kou'deng'chu'xian'kou 安全出口灯出线口
'an'quan'jing'bao'xi'tong 安全警报系统
'an'quan'kai'guan 安全开关
'an'quan'she'bei 安全设备
'an'quan'she'shi 安全设施
'an'quan'shu'san'xian'lu 安全疏散线路
'an'quan'ti 安全梯
'an'quan'xi'shu 安全系数
'an'shi 暗室
'an'xian 暗线
'an'zhuang 安装
'an'zhuang'gong'cheng 安装工程
'an'zhuang'kong'tiao'qi 暗装空调器
'an'zhuang'san're'qi 暗装散热器
'an'zhuang'tu 安装图
'ao'ru'shi'ding'deng 凹入式顶灯
'ba'qi'zhao 拔气罩
'bai'chi'deng 白炽灯
'bai'chi'deng'tou 白炽灯头
'bai'chi'deng'zhao'ming 白炽灯照明
'bai'shui'ni 白水泥
'bai'ye'chuang 百叶窗
'bai'ye'shi'chu'qi'kou 百叶式出气口
'bai'ye'shi'jin'qi'kou 百叶式进气口
'ban'gong'lou 办公楼
'ban'gong'shi 办公室
'ban'gong'zi'dong'hua 办公自动化
'ban'shi'san're'qi 板式散热器
'ban'tiao'diao'ding 板条吊顶
'ban'tiao'mo'hui 板条抹灰
'ban'ying'zhi'su'liao 半硬质塑料
'ban'yong'jiu'xing'jian'zhu 半永久性建筑
'ban'yuan'tou'luo'ding 半圆头螺钉
'ban'zhi'jie'zhao'ming 半直接照明
'ban'zi'dong'hua 半自动化
'bang'qiu'chang 棒球场
'bao'bi'gang'guan 薄壁钢管
'bao'gao 报告
'bao'guan'shi 保管室
'bao'guo'shi 包裹室
'bao'hu'ceng 保护层
'bao'hu'xi'tong 保护系统
'bao'hu'zhao 保护罩
'bao'hu'zhuang'zhi 保护装置
'bao'hua'ban 刨花板
'bao'jia 报价
'bao'jia'dan 报价单
'bao'jian'zhan 保健站
'bao'jin'shu'pi 包金属皮
'bao'jing'feng'ming'qi 报警蜂鸣器
'bao'jing'qi 报警器
'bao'jing'she'bei 报警设备
'bao'kan'yue'lan'shi 报刊阅览室
'bao'mi'gong'cheng 保密工程
'bao'mu'shi 保姆室
'bao'wen 保温
'bao'wen'ban 保温板
'bao'wen'cai'liao 保温材料
'bao'wen'ceng 保温层
'bao'wen'men 保温门
'bao'xian'dian'ti 保险电梯
'bao'xian'ku 保鲜库
'bao'xian'xi'shu 保险系数
'bao'xian'zhuang'zhi 保险装置
'bao'xiu'qi 保修期
'bao'zhuang'che'jian 包装车间
'bei'can'shi 备餐室
'bei'jing'mu 背景幕
'bei'jing'yin'yue 背景音乐
'bei'jing'zhao'ming 背景照明
'bei'li'mian 背立面
'bei'li'mian 北立面
'bei'mian 背面
'bei'yong 备用
'bei'yong'beng 备用泵
'bei'yong'dian'chi 备用电池
'bei'yong'dian'yuan 备用电源
'bei'yong'fa'dian'ji 备用发电机
'bei'yong'fang'jian 备用房间
'bei'yong'ji'zu 备用机组
'bei'yong'she'bei 备用设备
'bei'yong'zhao'ming 备用照明
'beng'fang 泵房
'beng'keng 泵坑
'bi'ban 壁板
'bi'chu 壁橱
'bi'deng 壁灯
'bi'deng'jia 壁灯架
'bi'gua 壁挂
'bi'gui'diao'gua'zhuang'zhi 壁柜吊挂装置
'bi'he'dian'qi 闭合电器
'bi'kan 壁龛
'bi'lei 避雷
'bi'lei'qi 避雷器
'bi'lei'xi'tong 避雷系统
'bi'lei'zhen 避雷针
'bi'li'chi 比例尺
'bi'lu 壁炉
'bi'lu'dian'shi 闭路电视
'bian'dian'suo 变电所
'bian'geng'tong'zhi 变更通知
'bian'guang'deng 变光灯
'bian'hao 编号
'bian'jie'mian 变截面
'bian'liu'qi 变流器
'bian'pin'qi 变频器
'bian'su 变速
'bian'xing'feng 变形缝
'bian'ya'qi 变压器
'bian'ya'qi'rong'liang 变压器容量
'bian'ya'qi'shi 变压器室
'bian'ya'qi'zu 变压器组
'bian'zhi'xian 编织线
'bian'zhi'yu'suan 编制预算
'biao'gao 标高
'biao'hao 标号
'biao'mian'chu'li 表面处理
'biao'mian'wen'du 表面温度
'biao'zhi'zhao'ming'xi'tong 标志照明系统
'biao'zhun 标准
'biao'zhun'ceng 标准层
'biao'zhun'ceng'ping'mian 标准层平面
'biao'zhun'da'yang 标准大样
'biao'zhun'gou'jian 标准构件
'biao'zhun'guang'yuan 标准光源
'biao'zhun'ji'shu'gui'fan 标准技术规范
'biao'zhun'jie'mian 标准截面
'biao'zhun'she'ji 标准设计
'biao'zhun'tu 标准图
'biao'zhun'zhu'zhai 标准住宅
'bie'shu 别墅
'bin'guan 宾馆
'bing'fang 病房
