'an'di'dian'zu'zhi 按地电阻值
'an'quan 安全
'an'quan'jie'di 安全接地
'an'zhuang'chi'cun 安装尺寸
'an'zhuang'rong'liang 安装容量
'bi'lei'dai 避雷带
'bi'lei'qi 避雷器
'bi'lei'zhen 避雷针
'bi'li 比例
'bian'hao 编号
'bian'pei'dian'zhan 变配电站
'bian'ya'qi 变压器
'biao'gao 标高
'biao'zhu 标注
'biao'zhun'tu 标准图
'bu'chang'gui 补偿柜
'bu'chong'tu'li 补充图例
'bu'xian 布线
'bu'zhi'tu 布置图
'cao'zuo'dian'yuan 操作电源
'ce'ji'lei 侧击雷
'ce'shi'dian 测试点
'ceng'shu 层数
'cha'zuo 插座
'chong'fu'jie'di 重复接地
'chu'bu'she'ji 初步设计
'dan'xiang'fu'he 单相负荷
'dang'ju 档距
'dang'shu 挡数
'dao'lu 道路
'deng'dian'wei 等电位
'deng'ju 灯具
'di'xing 地形
'dian'gong'yi'biao 电工仪表
'dian'qi'zong'ping'mian'tu 电气总平面图
'dian'yuan'dian 电源点
'dian'yuan'jie'di 电源接地
'ding'ceng 顶层
'ding'huo 定货
'du'xin'bian'gang 镀锌扁钢
'duan'jie'ka 断接卡
'duan'lu'qi 断路器
'duan'zi'pai 端子排
'er'ci'yuan'li'tu 二次原理图
'er'ci'zhuang'xiu 二次装修
'fa'dian'ji 发电机
'fang'an 方案
'fang'an'she'ji 方案设计
'fang'bao 防爆
'fang'gao'dian'wei'yin'ru 防高电位引入
'fang'kuang'tu 方框图
'fang'lei 防雷
'fang'lei'cuo'shi 防雷措施
'fang'lei'ji'dian'ci'mai'chong 防雷击电磁脉冲
'fang'lei'lei'bie 防雷类别
'feng'ji 风机
'fu'she'an'zhuang 敷设安装
'fu'she'fang'fa 敷设方法
'fu'she'fang'shi 敷设方式
'fu'tu 附图
'gan'gao 杆高
'gan'wei 杆位
'gang'jin 钢筋
'gang'jin'hun'ning'tu 钢筋混凝土
'gang'zhu 钢柱
'gao'di'ya 高低压
'gong'dian'hui'lu 供电回路
'gong'yi'she'bei 工艺设备
'gong'yong'jie'di 共用接地
'gong'zuo'jie'di 工作接地
'gou'zhu'wu 构筑物
'gui'dang 归档
'guo'lu'fang 锅炉房
'hui'lu 回路
'huo'zai'zi'dong'bao'jing 火灾自动报警
'ji'chu'gang'jin 基础钢筋
'ji'chu'nei'gang'jin 基础内钢筋
'ji'dian'bao'hu 继电保护
'ji'dian'qi 继电器
'ji'liang'yi'biao 计量仪表
'ji'suan'dian'liu 计算电流
'ji'suan'shu 计算书
'jia'kong 架空
'jia'xin'ban 夹芯板
'jia'ya'feng'ji 加压风机
'jian'ce 检测
'jian'zhu'dian'qi 建筑电气
'jian'zhu'wu 建筑物
'jie'di 接地
'jie'di'bao'hu 接地保护
'jie'di'dian'zu 接地电阻
'jie'di'gan'xian 接地干线
'jie'di'ji 接地极
'jie'di'luo'shuan 接地螺栓
'jie'di'ping'mian'tu 接地平面图
'jie'di'wang 接地网
'jie'di'xian 接地线
'jie'shan'qi 接闪器
'jin'chu'xian 进出线
'jin'feng'ji 进风机
'ju'bu'deng'dian'wei 局部等电位
'kai'guan 开关
'kai'guan'gui 开关柜
'ke'kao'han'jie 可靠焊接
'kong'tiao'ji'zu 空调机组
'kong'zhi'gui 控制柜
'kong'zhi'yuan'li'tu 控制原理图
'la'xian 拉线
'leng'dong'beng 冷冻泵
'leng'dong'ji'zu 冷冻机组
'leng'que'beng 冷却泵
'leng'shui'ji'zu 冷水机组
'lou'ceng 楼层
'mo'shu 模数
'mu'xian 母线
'pai'yan'feng'ji 排烟风机
'pei'dian'ping'mian'tu 配电平面图
'pei'dian'xi'tong'tu 配电系统图
'pei'dian'xiang 配电箱
'pei'dian'xiang'xi'tong'tu 配电箱系统图
'pen'lin'beng 喷淋泵
'pen'sa'beng 喷洒泵
'ping'pou'mian'tu 平剖面图
'qing'gang 轻钢
're'gong 热工
'rong'liang 容量
'she'bei'an'zhuang 设备安装
'she'bei'jian'kong 设备监控
'she'ji'gai'kuang 设计概况
'she'ji'shuo'ming 设计说明
'she'ji'tu'zhi 设计图纸
'shi'gong'tu 施工图
'shi'gong'yao'qiu 施工要求
'shi'wai 室外
'shu'long'shi 鼠笼式
'shu'xiang 竖向
'shuang'su'feng'ji 双速风机
'shui'beng 水泵
'tai'mian 台面
'tai'shu 台数
'tong'yong'tu 通用图
'tu'ji 图集
'tu'jian 土建
'tu'zhi'mu'lu 图纸目录
'wu'mian 屋面
'xi'tong'ji'cheng 系统集成
'xian'lu 线路
'xiang'bie 相别
'xiao'fang'lian'dong 消防联动
'xiao'huo'shuan'beng 消火栓泵
'xiao'shi 小室
'xin'feng'ji'zu 新风机组
'xin'hao'yuan'li'tu 信号原理图
'xing'hao 型号
'xing'shi 型式
'ya'xing'gang'ban 压型钢板
'yi'biao'pan 仪表盘
'yi'ci'xian'lu'tu 一次线路图
'yin'xia'xian 引下线
'yong'hu'ming'cheng 用户名称
'yu'liu 预留
'yu'mai'jian 预埋件
'yuan'gang 圆钢
'zhao'ming'deng'ju 照明灯具
'zhao'ming'ping'mian'tu 照明平面图
'zhi'bei'zhen 指北针
'zhi'jia 支架
'zhi'liu'dian'yuan 直流电源
'zhi'liu'gui 直流柜
'zhi'liu'jie'di 直流接地
'zhong'duan 终端
'zhong'yao'fu'he 重要负荷
'zhu'yao'she'bei'biao 主要设备表
'zhuang'ji 桩基
'zi'dong'tiao'jie 自动调节
'zi'ran'jie'di'ti 自然接地体
'zong'deng'dian'wei 总等电位
