'a'er'tuo 阿尔托
'a'la'bo'hua'shi 阿拉伯花饰
'a'la'bo'shi'zhu'tou 阿拉伯式柱头
'ai'ao'ni'ya'zhu'shi 爱奥尼亚柱式
'ai'te'ban 埃特板
'an'cang'deng'dai 暗藏灯带
'an'cha'xiao 暗插销
'an'cheng 暗撑
'an'deng 暗灯
'an'di'dian'zu'zhi 按地电阻值
'an'fu 暗敷
'an'guan 暗管
'an'han 暗涵
'an'he'ye 暗合页
'an'jian 暗间
'an'jing'xiu'xi'qu 安静休息区
'an'liang 暗梁
'an'lu'pian 暗炉片
'an'mo'shi 按摩室
'an'quan'chu'kou 安全出口
'an'quan'chu'kou'deng 安全出口灯
'an'quan'chu'kou'deng'chu'xian'kou 安全出口灯出线口
'an'quan'dao 安全岛
'an'quan'fa'men'tiao'shi'ji'lu 安全阀门调试记录
'an'quan'fang'fan'she'shi 安全防范设施
'an'quan'guan'li 安全管理
'an'quan'jie'di 安全接地
'an'quan'jing'bao'xi'tong 安全警报系统
'an'quan'she'shi 安全设施
'an'quan'shu'san'xian'lu 安全疏散线路
'an'quan'ti 安全梯
'an'quan'xing 安全性
'an'quan'zhao'ming 安全照明
'an'shi 暗室
'an'shi'jue 暗视觉
'an'shi'ying 暗适应
'an'teng'zhong'xiong 安藤忠雄
'an'xian 暗线
'an'xiao'guo'tu 按效果图
'an'zhou 暗轴
'an'zhu 暗柱
'an'zhuang 暗装
'an'zhuang'kong'tiao'qi 暗装空调器
'an'zhuang'rong'liang 安装容量
'an'zhuang'san're'qi 暗装散热器
'ao'ru'shi'ding'deng 凹入式顶灯
'ba'lei'wu'ju'yuan 芭蕾舞剧院
'ba'liang 扒梁
'ba'luo'ke'jian'zhu 巴洛克建筑
'ba'luo'ke'shi'yuan'lin 巴洛克式园林
'ba'pu'zuo 八铺作
'ba'qi'zhao 拔气罩
'ba'sang 拔磉
'ba'shan'lang 扒山廊
'ba'yuan'fu 八掾袱
'bai'chi'deng 白炽灯
'bai'chi'deng'tou 白炽灯头
'bai'chi'deng'zhao'ming 白炽灯照明
'bai'fen'bi'shou'fei 百分比收费
'bai'huo'shang'dian 百货商店
'bai'shui'ni 白水泥
'bai'ye'chuang 百页窗
'bai'ye'chuang 百叶窗
'bai'ye'shi'chu'qi'kou 百叶式出气口
'bai'ye'shi'jin'qi'kou 百叶式进气口
'bai'ye'xing'feng'kou 百叶型风口
'bai'zao'sheng 白噪声
'bai'zhan'ting'jian'zhu 拜占庭建筑
'ban'cai'diao'ding 板材吊顶
'ban'chang'lv'zhi'wu 半常绿植物
'ban'dao'yuan 半岛园
'ban'di 板底
'ban'di'gang'jin 板底钢筋
'ban'di'xia'shi 半地下室
'ban'diao'ding 板吊顶
'ban'ding 板顶
'ban'ding'gang'jin 板顶钢筋
'ban'gong'jian'zhu 办公建筑
'ban'gong'lou 办公楼
'ban'gong'qu 办公区
'ban'gong'zhuo 办公桌
'ban'hou 板厚
'ban'jian'jie'zhao'ming 半间接照明
'ban'jin 板筋
'ban'mian 板面
'ban'mian'jin 板面筋
'ban'nai'han'zhi'wu 半耐寒植物
'ban'pei'jin 板配筋
'ban'pei'jin'tu 板配筋图
'ban'qiang'jin 板墙筋
'ban'qiong'ding 半穹顶
'ban'qiu'xing'qiong'ding 半球形穹顶
'ban're'guan 伴热管
'ban'shang'tie 板上铁
'ban'shi 板石
'ban'shi'huan're'qi 板式换热器
'ban'shi'lou'ti 板式楼梯
'ban'shi'san're'qi 板式散热器
'ban'shi'zhu'zhai 板式住宅
'ban'tiao 板条
'ban'tiao'diao'ding 板条吊顶
'ban'tiao'mo'hui 板条抹灰
'ban'tiao'mo'hui'diao'ding 板条抹灰吊顶
'ban'wa 板瓦
'ban'yan 板岩
'ban'ye'zhi'wu 斑叶植物
'ban'ying'zhi'su'liao 半硬质塑料
'ban'yong'jiu'xing'jian'zhu 半永久性建筑
'ban'yuan'quan 半圆券
'ban'yuan'xing'bi'kan 半圆形壁龛
'ban'zhi'jie'zhao'ming 半直接照明
'ban'zhu'jie'gou 板柱结构
'bang'jin 绑筋
'bang'ke'lou 邦克楼
'bang'qiu'chang 棒球场
'bang'ying'tu 棒影图
'bang'za 绑扎
'bao'an'xi'tong 保安系统
'bao'bi'gan'xi 薄壁杆系
'bao'bi'gang'guan 薄壁钢管
'bao'bi'xing'gang 薄壁型钢
'bao'gu'shi 抱鼓石
'bao'he'kong'qi'wen'du 饱和空气温度
'bao'he'shui'zheng'qi'ya'li 饱和水蒸气压力
'bao'he'tu 饱和土
'bao'hen 刨痕
'bao'hu'ceng 保护层
'bao'hu'fang'bao'deng'ju 保护防爆灯具
