'a'fei'zheng'zhuan 阿飞正传
'ai'mu 爱慕
'ai'qing'li'he'qi 爱情离合器
'ai'you'wan'wan'qian 爱有万万千
'bao'feng'yi'zu 暴风一族
'bei'shang'de'yu'yan 悲伤的语言
'ben'xiang'wei'lai'ri'zi 奔向未来日子
'bie'hua 别话
'bo'li'zhi'qing 玻璃之情
'bu'guan'ni'shi'shui 不管你是谁
'bu'ji'de'feng 不羁的风
'bu'pa'ji'mo 不怕寂寞
'bu'que'ding'de'nian'ji 不确定的年纪
'bu'xiang'yong'bao'wo'de'ren 不想拥抱我的人
'bu'yao'ai'ta 不要爱他
'ce'mian 侧面
'chen'mo'shi'jin 沉默是金
'chi'xin'de'wo 痴心的我
'chun'guang'zha'xie 春光乍泄
'chun'xia'qiu'dong 春夏秋冬
'cong'wei'ke'yi 从未可以
'da'kai'xin'xiang 打开信箱
'da're 大热
'dan'yuan'ren'chang'jiu 但愿人长久
'dang'ai'ji'cheng'wang'shi 当爱己成往事
'dang'nian'qing 当年情
'di'han 滴汗
'di'kang'ye'han 抵抗夜寒
'die'bian 蝶变
'du'ji 妒忌
'fang'dang 放荡
'fang'hua'jue'dai 芳华绝代
'fen'shou 分手
'feng'ji'xu'chui 风继续吹
'feng'zai'qi'shi 风再起时
'fu'sheng'ruo'meng 浮生若梦
'gong'ni'bie'li 共你别离
'gong'tong'du'guo 共同度过
'guai'ni'guo'fen'mei'li 怪你过分美丽
'he'qu'he'cong 何去何从
'hei'se'wu'ye 黑色午夜
'hong'hu'die 红蝴蝶
'hong'yan'bai'fa 红颜白发
'ji'mo'you'hai 寂寞有害
'ji'xu'tiao'wu 继续跳舞
'jie'shen'zi'ai 洁身自爱
'jin'sheng'jin'shi 今生今世
'ju'jue'zai'wan 拒绝再玩
'ke'gu'ming'xin 刻骨铭心
'ke'tu'qiu'hen 客途秋恨
'lan'se'you'yu 蓝色忧郁
'lian'ai'jiao'cha 恋爱交叉
'lie'huo'deng'e 烈火灯蛾
'liu'zhu'zuo'tian 留住昨天
'lu'guo'qing'ting 路过蜻蜓
'man'tian'feng'yu 漫天风雨
'mei'lai'yan'qu 眉来眼去
'mei'you'ai 没有爱
'mei'you'yan'zong'you'hua 没有烟总有花
'meng'dao'nei'he 梦到内河
'meng'si'zui'sheng 梦死醉生
'mi'huo'wo 迷惑我
'mian'hua'tang 棉花糖
'ming'xing 明星
'mo'mo'xiang'shang'you 默默向上游
'na'yi'ji'er'guang 那一记耳光
'nan'yi'zai'shuo'dui'bu'qi 难以再说对不起
'nei'xin'zheng'dou 内心争斗
'ni'de'yi'qie 你的一切
'ni'jiao'wo'dian'hao 你教我点好
'ni'shi'wo'yi'ban 你是我一半
'ni'wo'zhi'jian 你我之间
'ni'zai'he'di 你在何地
'ni'zhe'yang'hen'wo 你这样恨我
'nong'ben'duo'qing 侬本多情
'nuo'ya'fang'zhou 挪亚方舟
'pei'ni'dao'shu 陪你倒数
'pian'duan 片段
'pian'xin 偏心
'qi'ji 奇迹
'qian'jiao'bai'mei 千娇百媚
'qian'nv'you'hun 倩女幽魂
'qian'qian'que'ge 千千阙歌
'qian'xi'sheng'shi 千喜盛世
'quan'lai'you'ni 全赖有你
'quan'shen'dou'shi'ai 全身都是爱
'quan'shi'jie'zhi'xiang'ni'lai'ai'wo 全世界只想你来爱我
'rang'wo'xiao'shi'qu 让我消失去
're'qing'de'sha'mo 热情的沙漠
'ren'sheng'de'gu'shou 人生的鼓手
'rou'qing'mi'yi 柔情蜜意
'san'xiao'yin'yuan 三笑姻缘
'shang'di 上帝
'shang'hai'tan 上海滩
'shao'nv'xin'shi 少女心事
'shen'bian'you'ren 身边有人
'shi'zhong'hui'yun'xing 始终会运行
'shuang'fei'yan 双飞燕
'shui'fu'le'shui 谁负了谁
'shui'ling'ni'xin'chi 谁令你心痴
'si'shui'liu'nian 似水流年
'sui'xin 随心
'tan'lian'ai 谈恋爱
'tan'qing'shuo'ai 谈情说爱
'ti'xiao'yin'yuan 啼笑姻缘
'tian'mi'de'jin'guo 甜蜜的禁果
'tie'shen 贴身
'ting'zhi'zhuan'dong 停止转动
'tong'bu'guo'dong 同步过冬
'tong'dao'zhong'ren 同道中人
'tong'nian'shi 童年时
'tou'qing 偷情
'wang'xiang 妄想
'wei'lai'zhi'ge 未来之歌
'wei'ni'zhong'qing 为你钟情
'wo 我
'wo'de'xin'li'mei'you'ta 我的心里没有他
'wo'wei'jing'guo 我未惊过
'wo'yan'zhong'de'ta 我眼中的她
'wo'yao'ni'feng'qu 我要逆风去
'wo'zhi'ni'hao 我知你好
'wo'zhu'yi'ba'ji'mo 握住一把寂寞
'wo'zou'wo'lu 我走我路
'wu'hou'hong'cha 午后红茶
'wu'xin'shui'mian 无心睡眠
'wu'xu'yao'tai'duo 无需要太多
'xiang'ni 想你
'xiao'ming'xing 小明星
'xin'tiao'hu'xi'zheng'chang 心跳呼吸正常
'xin'zhong'qing 心中情
'xin'zhong'zhi'you'ni 心中只有你
'xu'yao'ni 需要你
'yan'zhi'kou 胭脂扣
'ye'you'suo'meng 夜有所梦
'yi'bei'zi'shi'qu'le'ni 一辈子失去了你
'yi'hou 以后
'yi'pian'chi 一片痴
'yi'you'wei'jin 意犹未尽
'yi'zhan'xiao'ming'deng 一盏小明灯
'yi'zhang'xiao'lian 一张笑脸
'yong'yuan'de'peng'you 永远的朋友
'yong'yuan'ji'de 永远记得
'yong'zhe'wu'di 勇者无敌
'you'ling'kai'shi 由零开始
'you'shui'gong'ming 有谁共鸣
'you'xin'ren 有心人
'yu'zhong'de'lang'man 雨中的浪漫
'yuan'fen 缘份
'yuan'fen'you'ji'duo 缘分有几多
'yuan'jia 冤家
'yuan'nan 怨男
'yuan'neng'bi'yi'fei 愿能比翼飞
'yuan'ni'jue'ding 愿你决定
'yue'liang'dai'biao'wo'de'xin 月亮代表我的心
'zai'gong'wu 再共舞
'zai'lian 再恋
'zai'ni'de'yan'li'kan'bu'jian'wo'de'xin 在你的眼里看不见我的心
'zhe'ke'xiang'jian'hou 这刻相见后
'zhe'me'yuan'na'me'jin 这么远那么近
'zhe'xie'nian'lai 这些年来
'zhen'tou 枕头
'zhi'chuan 纸船
'zhi'dao'shi'jie'mei'you'ai'qing 直到世界没有爱情
'zhi'pa'bu'zai'yu'shang 只怕不再遇上
'zhi'shao'hai'you'ni 至少还有你
'zhui 追
'zhui'zu 追族
'zui'ai 最爱
'zui'leng'yi'tian 最冷一天
'zuo'you'shou 左右手
