'ai'shi'yi'sheng'de'mo'nan 爱是一生的磨难
'ai'yue'zhong'nian 哀乐中年
'bai'liu'su 白流苏
'ban'sheng'yuan 半生缘
'bi'ye'zheng'ming'hu 必也正名乎
'biao'yi'xi'yi'ji'qi'ta 表姨细姨及其他
'bu'ai'shi'yi'sheng'de'yi'han 不爱是一生的遗憾
'bu'liao'qing 不了情
'bu'xing'de'ta 不幸的她
'cao'lu'bing 草炉饼
'chen'xiang'xie'di'yi'lu'xiang 沉香屑第一炉香
'chi'di'zhi'lian 赤地之恋
'chi'mu 迟暮
'chuang'shi'ji 创世纪
'da'ren 打人
'dang'ni'ai'wo'shi 当你爱我时
'dang'wo'ai'ni'shi 当我爱你时
'dao'di'shi'shang'hai'ren 到底是上海人
'dao'lu'yi'mu 道路以目
'duan'de'shi'ren'sheng 短的是人生
'duo'shao'hen 多少恨
'fan'liu'yuan 范柳原
'fang'yi'peng 方一鹏
'feng'suo 封锁
'fu'hua'lang'rui 浮花浪蕊
'geng'yi'ji 更衣记
'gong'yu'sheng'huo'ji'qu 公寓生活记趣
'gu'gu'yu'lu 姑姑语录
'gu'man'lu 顾曼璐
'gu'man'zhen 顾曼桢
'gui'hua'zheng'a'xiao'bei'qiu 桂花蒸阿小悲秋
'hai'shang'hua 海上花
'he'yi'qing 何以晴
'hong'lou'meng 红楼梦
'hong'luan'xi 鸿鸾禧
'hong'mei'gui'yu'bai'mei'gui 红玫瑰与白玫瑰
'hua'diao 花凋
'hua'li'yuan 华丽缘
'hui'bei'wei'dao'chen'ai'li 会卑微到尘埃里
'hun'gui'li'hen'tian 魂归离恨天
'ji'li 吉利
'jie'yin'deng 借银灯
'jin'suo'ji 金锁记
'jin'yu'lu 烬余录
'lei'feng'ta 雷峰塔
'lian'huan'tao 连环套
'liu'li'wa 琉璃瓦
'liu'qing 留情
'liu'yue'xin'niang 六月新娘
'lun'xie'zuo 论写作
'meng'yan'li 孟烟鹂
'mo'li'xiang'pian 茉莉香片
'mu'yang'zhe'su'miao 牧羊者素描
'nan'bei'xi'xiang'feng 南北喜相逢
'nan'bei'yi'jia'qin 南北一家亲
'ni'de'xin'zai'chen'shui 你的心在沉睡
'ni'hai'bu'lai 你还不来
'ni'ru'guo'ren'shi'cong'qian'de'wo 你如果认识从前的我
'nian'qing'de'shi'hou 年青的时候
'qi'duan'qing'chang'ji'qi'ta 气短情长及其它
'qing'chang'ru'zhan'chang 情场如战场
'qing'cheng'zhi'lian 倾城之恋
'qiu'yu 秋雨
'ran'hou'kai'chu'hua'lai 然后开出花来
'ren'cai'liang'de 人财两得
'ren'sheng'tai'chang 人生太长
'ren'sheng'tai'duan 人生太短
'san'xi 散戏
'se'jie 色戒
'shen'shi'jun 沈世均
'sheng'ming'you'ta'de'tu'an 生命有它的图案
'shi'ba'chun 十八春
'shi'cui'zhi 石翠芝
'shi'yu'hu'shuo 诗与胡说
'shuang'sheng 双声
'shuo'hu'luo'bo 说胡萝卜
'si'yu 私语
'suo'yi'ci'bei 所以慈悲
'suo'yi'kuan'rong 所以宽容
'tai'tai'wan'sui 太太万岁
'tan'chi'yu'hua'bing'chong'ji 谈吃与画饼充饥
'tan'kan'shu 谈看书
'tan'nv'ren 谈女人
'tan'tiao'wu 谈跳舞
'tan'yin'yue 谈音乐
'tao'hua'yun 桃花运
'tian'cai'meng 天才梦
'tian'di 天地
'tong'xue'shao'nian'dou'bu'jian 同学少年都不贱
'tong'yan'wu'ji 童言无忌
'tong'zhen'bao 佟振保
'wang'bu'liao'de'hua 忘不了的画
'wang'jia'zhi 王佳芝
'wang'jiao'rui 王娇蕊
'wang'ran'ji 惘然记
'wo'de'xin'yi'bing'feng 我的心已冰封
'wo'kan'su'qing 我看苏青
'wo'men'pa'ji'mo 我们怕寂寞
'wo'men'pa'lai'bu'ji 我们怕来不及
'wo'men'wei'you'lin'mo 我们惟有临摹
'wo'zen'gan'lao'qu 我怎敢老去
'wu'si'yi'shi 五四遗事
'xi'huan'yi'ge'ren 喜欢一个人
'xiao'ai 小艾
'xiao'er'nv 小儿女
'xiao'pin'san'ze 小品三则
'xiao'tuan'yuan 小团圆
'xie'shen'me 写什么
'xin'jing 心经
'xin'yuan 心愿
'xu'shu'hui 许叔惠
'xu'shu'xuan 许叔萱
'yan'ying'yu'lu 炎樱语录
'yang'ge 秧歌
'yang'ren'kan'jing'xi'ji'qi'ta 洋人看京戏及其他
'ye'xu'ni'hui'yuan'liang'xian'zai'de'wo 也许你会原谅现在的我
'ye'ying'de'la'ba 夜营的喇叭
'yi'fan'sheng'ming'zhong'de'yi'tian 伊凡生命中的一天
'yi'hu'shi'zhi 忆胡适之
'yi'mo'cheng 易默成
'yi'qu'nan'wang 一曲难忘
'yi'xiang'ji 异乡记
'yin'bao'yan'song'hua'lou'hui 殷宝滟送花楼会
'yin'wei'ai'guo 因为爱过
'yin'wei'dong'de 因为懂得
'you'ji'ju'hua'tong'du'zhe'shuo 有几句话同读者说
'you'nv'tong'che 有女同车
'yu'jin'xiang 郁金香
'yu'san'xia 雨伞下
'yuan'nv 怨女
'zao'ren 造人
'zhang'de'shi'mo'nan 长的是磨难
'zhang'kan 张看
'zhang'ying 张煐
'zhang'yu'jin 张豫瑾
'zhong'guo'de'ri'ye 中国的日夜
'zhong'guo'ren'de'zong'jiao 中国人的宗教
'zhu'hong'cai 祝鸿才
'zi'ji'de'wen'zhang 自己的文章
