'ai'mu'shi'shi'yan 艾姆氏实验
'ai'zi'bing 爱滋病
'ba'si'de'xiao'du 巴斯德消毒
'bao'mo'bing'du 包膜病毒
'bao'nang 孢囊
'bei'dong'kuo'san 被动扩散
'bian'mao 鞭毛
'biao'xing 表型
'bing'yuan'ti 病原体
'bing'yuan'xue 病原学
'bu'ti 补体
'chao'yang'li'zi 超氧离子
'ci'tu 刺突
'dan'he'xi'bao 单核细胞
'dan'ke'long'kang'ti 单克隆抗体
'dan'xi'bao'dan'bai 单细胞蛋白
'er'fen'lie 二分裂
'fang'fu'ji 防腐剂
'fen'jie'dai'xie 分解代谢
'fen'sheng'bao'zi 分生孢子
'fu'ran'se 负染色
'gan'ran'xing'ji'bing 感染性疾病
'gan'rao'su 干扰素
'ge'lan'shi'ran'se 革兰氏染色
'gu'dan 固氮
'guang'neng'zi'yang'jun 光能自养菌
'guang'pu 广谱
'hao'yang'wei'sheng'wu 好氧微生物
'he'cheng'dai'xie 合成代谢
'he'yi'ke 核衣壳
'hu'xi'lian 呼吸链
'hua'neng'zi'yang'jun 化能自养菌
'huang'qu'mei'du'su 黄曲霉毒素
'hun'he'pei'yang 混合培养
'ji'ding'zhi 几丁质
'jia'fu'pei'yang'ji 加富培养基
'jia'jun'si 假菌丝
'jia'mo 荚膜
'jian'bie'pei'yang'ji 鉴别培养基
'jian'bie'ran'se 鉴别染色
'jie'bao'zi 节孢子
'jun'zhu 菌株
'kang'dai'xie'wu 抗代谢物
'kang'du'su 抗毒素
'kang'sheng'su 抗生素
'kang'ti 抗体
'kang'xue'qing 抗血清
'kang'yuan 抗原
'kang'yuan'jue'ding'ji 抗原决定基
'lei'du'su 类毒素
'li'xi'bao 粒细胞
'luo'jun 螺菌
'luo'xuan'ti 螺旋体
'mei'lian'mian'yi 酶联免疫
'mian'yi'fa 免疫法
'mian'yi'qiu'dan'bai 免疫球蛋白
'mian'yi'xi'tong 免疫系统
'mian'yi'yuan 免疫原
'nei'du'su 内毒素
'nei'han'wu 内含物
'ni'he 拟核
'ni'zhuan'lu'mei 逆转录酶
'pei'yang'wu 培养物
'qian'fu 潜伏
'qian'shi'jun'ti 前噬菌体
'qing'mei'su 青霉素
'qiu'xing'ti 球形体
'qu'hua'xing 趋化性
'rong'mei'ti 溶酶体
'rong'yuan'xing 溶原性
'sheng'zhang'yin'zi 生长因子
'shi'jun'ti 噬菌体
'shi'leng'jun 嗜冷菌
'shi're'jun 嗜热菌
'shi'yan'jun 嗜盐菌
'tang'jiao'jie 糖酵解
'wai'du'su 外毒素
'wen'he'shi'jun'ti 温和噬菌体
'wu'jun 无菌
'wu'ran'wu 污染物
'xi'bao'jie'dao'mian'yi 细胞介导免疫
'xing'si 性丝
'xuan'ze'pei'yang'ji 选择培养基
'xue'qing'xing 血清型
'ya'bao 芽孢
'ya'dan'wei'yi'miao 亚单位疫苗
'yan'yang'wei'sheng'wu 厌氧微生物
'yi'chun'fa'jiao 乙醇发酵
'yi'jun 抑菌
'yi'ke 衣壳
'yi'ke'li 衣壳粒
'yi'yang'jun 异养菌
'ying'yang'wu'zhi 营养物质
'you'bian'ji 诱变剂
'you'xing'fan'zhi 有性繁殖
'yuan'he'xi'bao 原核细胞
'yuan'sheng'zhi'ti 原生质体
'zhai'pu 窄谱
'zhi'bing'xing 致病性
'zhi'duo'tang 脂多糖
'zhi'li 质粒
'zhi'si'wen'du 致死温度
'zhou'zhi'kong'jian 周质空间
'zhu'dong'mian'yi 主动免疫
'zhu'dong'yun'shu 主动运输
'zhuan'dao 转导
'zhuan'hua 转化
'zhuan'zuo 转座
'zi'nang 子囊
'zi'shen'kang'ti 自身抗体
'zi'shen'kang'yuan 自身抗原
'zi'shen'mian'yi'ji'bing 自身免疫疾病
