'a'wei 阿味
'ai'rong 艾绒
'ai'tiao 艾条
'ai'ye 艾叶
'ai'ye'tan 艾叶炭
'ba'ji'tian 巴戟天
'ba'ji'tian'zhi 巴戟天炙
'ba'jiao'hui'xiang 八角茴香
'ba'jiao'hui'xiang'da'hui'xiang 八角茴香大茴香
'ba'qi 菝契
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'chou 白丑
'bai'ding'xiang 白丁香
'bai'dou'kou 白豆蔻
'bai'fan 白矾
'bai'guo 白果
'bai'guo'ren 白果仁
'bai'guo'ren'chao 白果仁炒
'bai'he 百合
'bai'he'hua 百合花
'bai'hu'jiao 白胡椒
'bai'hua'cai'zi 白花菜子
'bai'hua'she'cao 白花蛇草
'bai'hua'she'she'cao 白花蛇舌草
'bai'jiang'cao 败酱草
'bai'jie'zi'chao 白芥子炒
'bai'lian 白蔹
'bai'lian'zi'rou 白莲子肉
'bai'mao'gen 白茅根
'bai'mei'hua 白梅花
'bai'qi'shi 白起石
'bai'qian 白前
'bai'qu'cai 白屈菜
'bai'shao 白芍
'bai'shi'ying 白石英
'bai'shi'zhi 白石脂
'bai'tou'weng 白头翁
'bai'wei 白薇
'bai'xian'pi'pian 白鲜皮片
'bai'yan'zhan 白燕盏
'bai'ying 白英
'bai'yun'xiang'bai'jiao'xiang 白云香白胶香
'bai'zhi 白芷
'bai'zhi'fen 白芷粉
'bai'zhu 白术
'bai'zhu'chao 白术炒
'bai'zi'ren 柏子仁
'ban'bian'lian 半边莲
'ban'he'kong'jun 斑褐孔菌
'ban'he'kong'jun'pian 斑褐孔菌片
'ban'mao 斑蝥
'ban'xia'qu 半夏曲
'ban'zhi'lian 半枝莲
'bao'jian'cha 保健茶
'bei'dou'gen 北豆根
'bei'sha'shen 北沙参
'bi'ba 荜菝
'bi'bo 荜拨
'bi'cheng'qie 荜澄茄
'bi'ma'zi 蓖麻子
'bian'xu 扁蓄
'bian'xu 萹蓄
'bie'jia 鳖甲
'bie'jia'cu 鳖甲醋
'bing'lang 槟榔
'bing'lang'pian 槟榔片
'bo'he 薄荷
'bo'he'bing 薄荷冰
'bo'he'liang'cha 薄荷凉茶
'bo'he'ye 薄荷叶
'bu'gu'zhi'yan 补骨脂盐
'bu'lao'cao 不老草
'cai'ju'hua 彩菊花
'can'e 蚕蛾
'cang'er'zi 苍耳子
'cao'dou'kou 草豆蔻
'cao'guo'ren 草果仁
'ce'bai'tan 侧柏炭
'ce'bai'ye 侧柏叶
'chai'hu 柴胡
'chan'tui 蝉蜕
'chang'shan 常山
'chao'bai'bian'dou 炒白扁豆
'chao'bian'dou'chao'bai'bian'dou 炒扁豆炒白扁豆
'chao'bing'lang 炒槟榔
'chao'cang'zhu'pian 炒苍术片
'chao'chuan'lian'zi 炒川楝子
'chao'chun'gen'pi 炒椿根皮
'chao'dao'ya 炒稻芽
'chao'di'yu 炒地榆
'chao'gu'ya 炒谷芽
'chao'hei'chou 炒黑丑
'chao'huai'hua 炒槐花
'chao'ji'nei'jin 炒鸡内金
'chao'ji'nei'jin'fen 炒鸡内金粉
'chao'jiang'can 炒僵蚕
'chao'ju'he 炒桔核
