'cheng'shen 成神
'chong'su'ji 重塑级
'er'shi'si'da'tian'ling 二十四大天灵
'gu'yuan'ji 固元级
'hu'ling'ji 护灵级
'hua'xian'ji 化仙级
'huan'xing'ji 幻形级
'huo'xi'yi'mai 火系一脉
'ju'ling'ji 聚灵级
'lin'yu'fen 林雨纷
'mo'you'ju 莫佑雎
'mo'ze'cheng 莫则城
'ning'ling'ji 凝灵级
'ning'xing'ji 凝形级
'po'kong'ji 破空级
'po'xing'ji 破形级
'qing'ling'ji 清灵级
'run'ling'ji 润灵级
'shen'dan 神丹
'sheng'ling'ji 圣灵级
'shui'xi'yi'mai 水系一脉
'tian'ling'ji 天灵级
'tian'xing'ji 天形级
'xian'dan 仙丹
'yao'xi'yi'mai 药系一脉
'yu'ling'ji 玉灵级
'yuan'li'yi'mai 源力一脉
'yue'xi'rou 月夕柔
'zhong'jie'ji 重劫级
