'a'de'la'nuo 阿德拉诺
'a'di'jie 阿迪杰
'a'er'ba'long'ge 阿尔巴隆戈
'a'er'bi'nuo'le'fei 阿尔比诺勒菲
'a'er'hai'luo 阿尔海罗
'a'er'zha'kai'na 阿尔扎凯纳
'a'ge'li'ya'ni'si 阿戈里亚尼斯
'a'lai'sang'de'li'ya 阿莱桑德里亚
'a'le'ta'mu'la 阿勒塔姆拉
'a'lei'zuo 阿雷佐
'a'qi'lei'ya'lai 阿奇雷亚莱
'a'se'la'na 阿瑟拉那
'a'si'ke'li 阿斯科利
'a'si'te'li'ya 阿斯特里亚
'a'wei'li'nuo 阿韦利诺
'a'wei'zha'nuo 阿韦扎诺
'a'xi'ka'te'na 阿西卡特纳
'ai'bo'li'ta'na 埃波里塔纳
'ai'lang'nei 埃朗内
'ai'si'te 艾斯特
'ai'suo'la'li'li 艾索拉利里
'an'de'li'ya 安德里亚
'an'ge'li 安格里
'an'ke'na 安科纳
'an'qi'ao'la'wa'nuo 安齐奥拉瓦诺
'ao'er'ba'sa'nuo'an'quan 奥尔巴萨诺安全
'ao'er'bi'ya 奥尔比亚
'ao'er'ge'na'te 奥尔格纳特
'ao'si'di'ya 奥斯蒂亚
'ao'wei'ta'na 奥威塔纳
'ao'xi'la'ku'zha 奥锡拉库扎
'ba'le'mo 巴勒莫
'ba'le'ta 巴勒塔
'ba'li 巴里
'ba'qie'luo'na 巴切洛纳
'ba'sa'nuo'wei'te'si 巴萨诺维特斯
'bei'la'li'ya 贝拉利亚
'bei'lu'nuo 贝卢诺
'bei'nei'wen'tuo 贝内文托
'bi'dun'tu 比顿图
'bi'sa 比萨
'bi'ye'la 比耶拉
'bo'cha'nuo 波查诺
'bo'dai'nuo'nei 波代诺内
'bo'ge'man'ruo 玻哥曼若
'bo'jia'nuo 玻加诺
'bo'la'na 波拉纳
'bo'luo'ni'ya 博洛尼亚
'bo'mi'ge'li'ya'nuo 波米格利亚诺
'bo'tan'cha'jing'ji 波坦察竞技
'bu'lei'xi'ya 布雷西亚
'bu'lin'di'xi 布林迪西
'bu'luo'ni 布罗尼
'da'er'fu'bo'ni'ao 达尔夫伯尼奥
'da'meng'te'ji'ao 大蒙特基奥
'di'sang'ge'luo 迪桑格罗
'du'ling 都灵
'en'bo'li 恩波利
'fa'luo'qun'dao'wa'la 法罗群岛瓦拉
'fa'nuo 法诺
'fan'fu'la'luo'di 范弗拉罗迪
'fan'na'fo'luo 范那佛洛
'fei'deng'zha 菲登扎
'fei'ge'lai'en 菲戈莱恩
'fei'ren'ti'nuo 菲仁提诺
'fo'gen'la 佛根拉
'fo'luo'lun'sa 佛罗伦萨
'fo'te 佛特
'fu'er'di'si'qing'nian 福尔蒂斯青年
'fu'er'ke'li 弗尔科利
'fu'jia 福贾
'fu'lan'ka'wei'la 弗兰卡维拉
'fu'li'ge'li'ya'ba'xi'ren 弗利戈里亚巴西人
'fu'li'nuo 弗里诺
'fu'luo'xi'nuo'nei 弗洛西诺内
'ge'lu'a'luo 格鲁阿罗
'ge'luo'sai'tuo 格罗塞托
'ge'luo'ta'lie 格罗塔列
'ge'luo'te'ma'le 格罗特马勒
'gen'zha'nuo 根扎诺
'gu'bi'ao 古比奥
'gu'xin'sha 古辛沙
'gui'duo'ni'ya 圭多你亚
'guo'ji'mi'lan 国际米兰
'huang'jia'ka'xi'nuo 皇家卡西诺
'huang'jia'meng'te'ji'ao 皇家蒙特基奥
'ji'ao'jia 基奥贾
'jia'kan'ni'si 加坎尼斯
'jia'le 加勒
'jia'li'bo'li 加里波利
'jia'wei'nuo 加维诺
'jie'la 杰拉
'jie'suo'luo'cheng 杰索罗城
'jing'ji'ka'er'qi'ao 竞技卡尔奇奥
'jing'ji'ka'ta'ni'ya 竞技卡塔尼亚
'ka'er'ke'luo 卡尔克罗
'ka'ge'li'si 卡格里斯
'ka'la'li'si 卡拉里斯
'ka'lan'jia'nu'si 卡兰加奴斯
'ka'li'ya'li 卡利亚里
'ka'luo'na'xin'bao 卡罗纳新堡
'ka'na'wei'si 卡纳维斯
'ka'nai'li 卡奈利
'ka'pei'nei'duo'luo 卡佩内多罗
'ka'pi 卡皮
'ka'sa'lai 卡萨莱
'ka'si'te'la'na 卡斯特拉纳
'ka'si'te'li'fei'la'ni'ke 卡斯特里费拉尼科
'ka'si'te'li'te'si 卡斯特里特斯
'ka'si'te'luo'wei'la'li 卡斯特罗维拉里
'ka'si'te'sheng'bi'de 卡斯特圣彼得
'ka'suo'la 卡索拉
'ka'tan'ni'ya 卡坦尼亚
'ka'tan'zha'luo 卡坦扎罗
'ka'tuo'li'ka'gu'dong 卡托利卡古董
'ka'wei'si 卡维斯
'ka'xi'na 卡西纳
'kai'si'tai'le'la'nuo 凯斯泰勒拉诺
'kan'pu'bo'lei 坎普伯雷
'ke'lei'meng'ni'si 克雷蒙尼斯
'ke'luo'ge'na 克洛格纳
'ke'luo'tuo'nei 克罗托内
'ke'mi'suo 科米索
'ke'mo 科莫
'ke'sen'zha 科森扎
'ku'ao'ka'pi'nuo 库奥卡皮诺
'ku'ni'er 库尼尔
'kun'tuo'lian 昆托联
'la'gu'sa 拉古萨
'la'mei'zi'ya 拉梅兹亚
'la'qi'ao 拉齐奥
'la'wa'ge'na 拉瓦格纳
'la'wei'na 拉韦纳
'lai'ke 莱科
'lai'qie 莱切
'lai'wu'luo 莱乌洛
'lan'xi'an'nu 兰西安奴
'lei'deng'ge'san'nuo 雷登哥散诺
'lei'ji'na 雷吉纳
'lei'ji'ya'na 雷吉亚纳
'lei'na'te 雷纳特
'lei'na'tuo 雷纳托
'lei'ni'er'ruo 雷尼尔若
'lei'nuo 雷诺
'li'ka'ta 里卡塔
'li'mi'ni 里米尼
'li'qi'ao'ni 里奇奥尼
'li'wa'nuo'le'si 里瓦诺勒斯
'li'wei'na'nuo 里维纳诺
'li'wo'na'pi'qi 利沃纳皮奇
'li'wo'nuo 利沃诺
'lie'di 列迪
'lu'ka 卢卡
'lu'mo'zha'ni 鲁默扎尼
'luo'ma 罗马
