'ce'hua 策划
'ce'hua'jing'li 策划经理
'ce'hua'zhu'li 策划助理
'ce'hua'zhuan'yuan 策划专员
'ce'hua'zong'jian 策划总监
'ce'lue'bao'gao 策略报告
'da'pai 大牌
'ding'wei'bao'gao 定位报告
'dong'xian 动线
'fa'sheng'fei'lv 发生费率
'fa'sheng'fei'yong 发生费用
'fei'lv 费率
'gao'pao 高炮
'guang'gao'gong'si 广告公司
'hou'ce 后策
'kai'pan 开盘
'kai'pan'huo'dong 开盘活动
'ling'xing'fu'kuan 零星付款
'mei'ti 媒体
'nuan'chang'huo'dong 暖场活动
'qi'hua'gong'si 企划公司
'qian'ce 前策
'quan'mian'yu'suan 全面预算
'shi'jian'huo'dong 事件活动
'shou'lou'chu 售楼处
'tui'guang'zhu'ti 推广主题
'wu'liao 物料
'xian'chang'bao'zhuang 现场包装
'yang'ban'fang 样板房
'ying'xiao'zhong'xin 营销中心
'ying'xiao'zong 营销总
'ying'xiao'zong'jian 营销总监
'yu'suan 预算
'zhan'dian 展点
'zheng'pan'ying'xiao 整盘营销
'zhi'fu'fei'lv 支付费率
'zhi'fu'fei'yong 支付费用
'zhong'rui'tou'zi 中锐投资
'zhu'chang'ce'hua 驻场策划
