'a'da'you'si 阿达由斯
'ai'li'ya 艾莉亚
'ai'li'ya 艾莉娅
'ai'si'de'si 艾斯德斯
'an'sha'zhe 暗杀者
'ao'nei'si'te'da'chen 奥内斯特大臣
'ba'chi'qiong'gou'yu 八尺琼勾玉
'ba'fang 八房
'ba'lu'te'si'zu 巴鲁特斯族
'ba'zhi'jing 八咫镜
'bai'bi'ju'ren 百臂巨人
'bai'ren'zhan 白刃战
'bai'ren'zhan 百人斩
'bai'shou'wang'hua 百兽王化
'bei'er'wa'ke 贝尔瓦克
'bian'shen'zi'zai 变身自在
'bo'li'ke 伯利克
'bo'lu'si 波鲁斯
'bu'de 布德
'bu'lan'de 布兰德
'cheng'tian'jian 成田剑
'cheng'xia'ding 城下町
'chi'tong 赤瞳
'ci'yuan'fang'zhen 次元方阵
'cun'yu 村雨
'da'di'ye 大地叶
'da'qiao'cai'xiang 大桥彩香
'da'yi'da'si 达伊达斯
'di'du 帝都
'di'guo 帝国
'di'ju 帝具
'dian'guang'shi'huo 电光石火
'duan'zao'ji'neng 锻造技能
'duo'ya 朵雅
'e'gui'chan'shen 恶鬼缠身
'e'mo'zhi'cui 恶魔之粹
'gai'ya'fen'di 盖亚粉底
'gao'ban'du'zhi 高坂笃志
'gao'qiao'xiao'zhi 高桥孝治
'gao'ya'zheng'ce 高压政策
'ge'ming'jun 革命军
'gui'ren'zhao'lai 鬼人招来
'gui'zu'zhan'che 贵族战车
'hei'fa'chi'yan 黑发赤眼
'hei'ma'lin 黑马林
'hei'tong 黑瞳
'hong'bei'bo'lao 红背伯劳
'hua'ze'xiang'cai 花泽香菜
'huang'di 皇帝
'huo'hun 祸魂
'huo'hun'xian'xian 祸魂显现
'huo'li'ma'ka 霍利马卡
'jian'dao'chun'si 间岛淳司
'jian'shi 剑士
'jian'xiao 尖啸
'jian'ze'gong'ping 菅沢公平
'jiao'cha'zhi'wei 交叉之尾
'jiao'tuan'ji'dou 教团激斗
'jiao'zhu 教主
'jie'duan'xian 界断线
'jing'ying'qi'ren 精英七人
'jiu'chi'rou'lin 酒池肉林
'ju'ji'shou 狙击手
'jun'yue'meng'xiang 军乐梦想
'kai'zhi'di'ju 铠之帝具
'kuang'bao'hua 狂暴化
'kuang'ye'lie'quan 狂野猎犬
'la'bo'ke 拉伯克
'lang'man'pao'tai 浪漫炮台
'lao'wan'gu 老顽固
'lei'di'zhao'lai 雷帝招来
'lei'ou'nai 雷欧奈
'lei'shen'fen'nu 雷神愤怒
'li'wa 利瓦
'li'wa'jiang'jun 利瓦将军
'lian'yu'zhao'lai 炼狱招来
'liang'bing'da'fu 两柄大斧
'ling'lu 玲鹿
'ling'mu'ai'nai 铃木爱奈
'long'chuan 龙船
'luo'cha'si'gui 罗刹四鬼
'ma'tou 马头
'ma'yin 玛茵
'ming'ban'cong'mei 明坂聪美
'ming'zhong'jia'zhi 名冢佳织
'mo'ke'bo'te'mo 摩珂钵特摩
'mo'shen'xian'xian 魔神显现
'mo'shou'bian'hua 魔兽变化
'mo'si'ti'ma 莫斯提马
'mu'cun'liang'ping 木村良平
'na'jie'ta 娜杰塔
'na'ta'la 纳塔拉
'nai'cun'jian'ci 乃村健次
'nan'gua 南瓜
'neng'deng'ma'mei'zi 能登麻美子
'ni'wu 妮乌
'nu'ma'sai'ka 努马塞卡
'ou'ka 欧卡
'qi'qi'guai'guai 奇奇怪怪
'qi'teng'zhuang'ma 齐藤壮马
'qian'bian'wan'hua 千变万化
'qian'chuan'you 浅川悠
'qian'zhao'jin'tai'lang 浅沼晋太郎
'qie'er'qian 切尔茜
'ri'ye'cong 日野聪
'sai'liu 赛琉
'sai'liu'you'bi'ji'ta'si 赛琉尤比基塔斯
'san'shou'shi 三兽士
'sha'shou'ji'tuan 杀手集团
'sha'you 莎悠
'shang'pu 尚普
'shen'zhi'yu 神之羽
'shen'zhi'yu'shou 神之御手
'sheng'tian'mu'ren'mei 生天目仁美
'sheng'xing'li 胜杏里
'shi'jing'kang'si 石井康嗣
'shi'kong'dong'jie 时空冻结
'shi'shang 时尚
'shi'wang'zhi'cai'jue 十王之裁决
'shi'zi'wang 狮子王
'shi'zi'yong'bu'mie 狮子永不灭
'shou'hua 兽化
'shou'ren 狩人
'shui'long'ping'yi 水龙凭依
'shui'long'tian'zheng 水龙天征
'shui'ye'li'sha 水野理纱
'si'la'mu 斯拉姆
'si'zhe'xing'jun 死者行军
'si'zhi'di'ju 丝之帝具
'song'gang'zhen'cheng 松冈祯丞
'song'jing'hui'li'zi 松井惠理子
'ta'zi'mi 塔兹米
'tai'lan'de 泰兰德
'tian'cong'yun'jian 天丛云剑
'tian'cun'you'xiang'li 田村由香里
'wan'li'fei'xiang 万里飞翔
'wan'mei'zhe 完美者
'wan'wu'liang'duan 万物两断
'wang'pai 王牌
'wei'er 威尔
'xi'er 希尔
'xi'gu'jia'zheng 细谷佳正
'xi'la 席拉
'xiang'ge'li'la 香格里拉
'xiang'tian'sui'ji 乡田穗积
'xiao'bi 小比
'xiao'bi'xiao'ke 小比小可
'xiao'hun 消魂
'xiao'song'wei'ke'zi 小松未可子
'xiao'xi'ke'xing 小西克幸
'xin'xing'jin'yao 新型禁药
'xiu'luo'hua'shen 修罗化身
'xu'zuo'zhi'nan 须佐之男
'xue'dao'sha 血刀杀
'ya'de'mi'le 亚得米勒
'yan'qi'zheng'shi 岩崎征实
'yao'dao 妖刀
'ye'xi 夜袭
'yi'ye'ya'si 伊耶亚斯
'yi'zhan'bi'sha 一斩必杀
'yu'gong'tian 雨宫天
'zang'song 葬送
'zhan'chi'hong'zhi'tong 斩赤红之瞳
'zhong'tian'rang'zhi 中田让治
'zhou'du 咒毒
'zhu'ben'ying'shi 竹本英史
'zhu'tian 朱天
'zuo'teng'zou'mei 佐藤奏美
