'an'yun'po 黯云坡
'bai'bu'shen'xing 百步神行
'bai'chong 百虫
'bai'gu'dong 白骨洞
'bai'gui'ye'xing 百鬼夜行
'bai'jian'hu'ti 百剑护体
'bai'mo'bu'qin 百魔不侵
'bai'shou'gu 百兽谷
'bao'zha'xian'jing 爆炸陷阱
'bei'gu'xue'yuan 北固雪原
'bi'fang'zhi'yu 毕方之羽
'bing'bao 冰暴
'bing'feng'bao'yu 冰风暴雨
'bing'ling 冰菱
'bing'ling'san'she 冰菱散射
'bing'qi'pu 兵器铺
'bing'zhu 冰柱
'bu'kan'yi'ji 不堪一击
'cang'mang'xue'gu 苍茫雪谷
'cao'mu'jie'bing 草木皆兵
'chen'cheng 陈城
'cheng'du'cheng 成都城
'chi'yue'yuan 赤月原
'chong'ji'bo 冲击波
'chuan'xin'lian'huan'ji 穿心连环击
'chuan'xin'yi'ji 穿心一击
'chuan'yun'zhui'yue 穿云追月
'chun'man'ren'jian 春满人间
'chun'yi'ang'ran 春意盎然
'ci'ke 刺客
'cun'bu'nan'xing 寸步难行
'da'ling 打灵
'dang'gui'zhi'xu 当竃之须
'dang'shan 砀山
'di'gong 地宫
'di'gui 地鬼
'di'huo'kuang'long 地火狂龙
'di'jiang'zhi'ge 帝江之革
'di'lei'zhen 地雷阵
'dian'shan'lei'ming 电闪雷鸣
'dian'shi'cheng'yong 点石成俑
'ding'tao 定陶
'dong'hai 东海
'du'bo 毒波
'du'jian'xian'jing 毒箭陷阱
'du'qi'xian'jing 毒气陷阱
'du'wu 毒雾
'du'zhang'chan'shen 毒瘴缠身
'du'zhang'xian'jing 毒瘴陷阱
'dun'di'wu'xing 遁地无形
'e'hu'pu'shi 饿虎扑食
'e'lang'gu 恶狼谷
'er'jie 二阶
'er'you'dong 二酉洞
'fei'huo'liu'xing 飞火流星
'fei'jian 飞剑
'fei'jian'duo'po 飞剑夺魄
'feng'dou'gui'cheng 酆都鬼城
'feng'dou'nei'fu 酆都内府
'feng'juan'can'yun 风卷残云
'feng'xian 丰县
'fu'hu'xiang'long 伏虎降龙
'fu'ying'dong 蝠影洞
'gan'nao'tu'di 肝脑涂地
'gu'huo'ren'xin 蛊惑人心
'guang'yang'cun 广阳村
'guang'yang'jun 广阳郡
'gui'huo'zhen 鬼火阵
'gui'zhu'dong 鬼蛛洞
'gun'shi 滚石
'han'xiao'dong 寒鸮洞
'he'jiang'cun 合江村
'hei'feng'da'lao 黑风大牢
'hei'feng'zhai 黑风寨
'hei'xiong'dong 黑熊洞
'heng'chong'zhi'zhuang 横冲直撞
'heng'sao'qian'jun 横扫千军
'heng'shan'cun 衡山村
'heng'shan'cun 恒山村
'heng'shan'jun 衡山郡
'heng'shan'jun'jiao'ye 衡山郡郊野
'hong'min 红民
'hong'ming'cun 红名村
'hong'shu 红书
'hong'yan'ling 鸿雁岭
'hu'lun'bei'xue'yuan 呼伦贝雪原
'hu'tiao'jian 虎跳涧
'hu'xiao'long'yin 虎啸龙吟
'hua'xue'cheng'mo 化血成魔
'huan'dian 换点
'huan'fu 换服
'huan'ying'qiang 幻影墙
'huang'ling 皇陵
'huang'ming 黄名
'hui'cheng 回城
'hun'fei'po'san 魂飞魄散
'huo'bao 火宝
'huo'fang 火防
'huo'gong 火攻
'huo'liu'xing 火流星
'huo'long 火龙
'huo'mu 火木
'huo'qiu 火球
'huo'yan'zhen 火焰阵
'ji'dian 疾电
'ji'feng'luan'wu 疾风乱舞
'ji'feng'sao'luo'ye 疾风扫落叶
'ji'guan'jian'jing 机关箭阱
'jia'lan 加蓝
'jia'xue 加血
'jian'qi'chong'tian 剑气冲天
'jian'qi'ling'yun 剑气凌云
'jiao'shi'dong 蛟噬洞
'jin'bao 金宝
'jin'can 金蚕
'jin'can'man'tian 金蚕漫天
'jin'can'shi'gu 金蚕噬骨
'jin'fang 金防
'jin'gang'bu'huai 金刚不坏
'jin'gang'bu'mie 金刚不灭
'jin'gong 金攻
'jin'jing'huo'yan 金睛火眼
'jin'mu 金木
'jin'she 金蛇
'jin'she'kuang'wu 金蛇狂舞
'jin'shen'zhou 紧身咒
'jin'zhong'hu'ti 金钟护体
'jing'ji'qiang 荆棘墙
'jing'wei 精卫
'jiu'zhao'di'gong 旧赵地宫
'ju'huo'liao'yuan 举火燎原
'ju'huo'shao'tian 举火烧天
'ju'ling'zhi'ye 巨灵之野
'ka'bu'xue'yuan 喀布雪原
'kang'long'chong'tian 亢龙冲天
'ku'chang'dong 枯肠洞
'kuai'ji 会稽
'kuai'ji'shan 会稽山
'kun'shou'xian'jing 困兽陷阱
