'ai'qi'tun'suan 嗳气吞酸
'ai'tiao 艾条
'an'duo'lin'jiao'nang 安多霖胶囊
'an'gong'niu'huang'wan 安宫牛黄丸
'an'luo'hua'xian'wan 安络化纤丸
'ao'ran'zi'de 傲然自得
'ba'bao'dan'jiao'nang 八宝丹胶囊
'ba'du'gao 拔毒膏
'ba'zhen'ke'li 八珍颗粒
'ba'zhen'tang 八珍汤
'ba'zheng'mu'tong'yu'che'qian 八正木通与车前
'ba'zheng'san 八正散
'bai'he'gu'jin'er'di'huang 百合固金二地黄
'bai'he'gu'jin'tang 百合固金汤
'bai'hu'gao'zhi'gan'cao'jing 白虎膏知甘草粳
'bai'hu'tang 白虎汤
'bai'hua 白滑
'bai'le'mian'jiao'nang 百乐眠胶囊
'bai'ling'jiao'nang 百令胶囊
'bai'ni 白腻
'bai'qian'gan'cao'gong'wei'mo 白前甘草共为末
'bai'tou'weng'tang 白头翁汤
'bai'tou'weng'tang'zhi're'li 白头翁汤治热痢
'bai'zi'yang'xin'wan 柏子养心丸
'ban'huang'yang'du'jie'ke'zhi 斑黄阳毒皆可治
'ban'lan'gen'ke'li 板兰根颗粒
'ban'xia'bai'mu'tian'ma'tang 半夏白木天麻汤
'ban'xia'bai'zhu'tian'ma'tang 半夏白术天麻汤
'ban'xia'can'cao'da'zao'jiang 半夏参草大枣姜
'ban'xia'hou'po'tan'qi'shu 半夏厚朴痰气疏
'ban'xia'hou'po'tang 半夏厚朴汤
'ban'xia'ren'shen'gan'cao'cong 半夏人参甘草从
'ban'xia'ren'shen'ju'fu'ling 半夏人参橘茯苓
'ban'xia'tang'jiang 半夏糖浆
'ban'xia'xie'xin'huang'lian'qin 半夏泻心黄连芩
'ban'xia'xie'xin'tang 半夏泻心汤
'bao'fei'qing'xin'zhi'shu'yin 保肺清心治暑淫
'bao'fu'kang'shuan 保妇康栓
'bao'he'shen'qu'yu'shan'zha 保和神曲与山楂
'bao'he'wan 保和丸
'bao'ji'wan 保济丸
'bi'dang'an'shen'ding'zhi 必当安神定志
'bi'dou'yan'kou'fu'ye 鼻窦炎口服液
'bi'jie'fen'qing'shi'chang'pu 萆解分清石菖蒲
'bi'sai'yan'gan 鼻塞咽干
'bi'xian'zhen'hou'yi'shen'zhi 必先诊候以审之
'bi'xie'fen'qing'yin 萆薢分清饮
'bi'xin'pian 痹欣片
'bi'yan'pian 鼻炎片
'bi'you'da'duan'yao'ji'zhi'chu 必有大段要急之处
'bi'yuan'jiao'nang 鼻渊胶囊
'bian'bian'pi'man'xie're'liang 便鞭痞满泻热良
