'bao'gao'wen'xue 报告文学
'chen'mo'de'luo'xuan'li'lun 沉默的螺旋理论
'chuang'xin'kuo'san'li'lun 创新扩散理论
'chun'xin'wen 纯新闻
'da'zhong'chuan'bo 大众传播
'da'zhong'wen'hua 大众文化
'dan'xiang'du'de'ren 单向度的人
'dang'xing'yuan'ze 党性原则
'diao'cha'bao'gao 调查报告
'diao'cha'xing'bao'dao 调查性报道
'fu'hao'hua 符号化
'ge'ren'cha'yi 个人差异
'gong'kai'xing 公开性
'he'xin'jing'zheng'li 核心竞争力
'ji'shi'xing 及时性
'jiao'cha'xin'wen'xue 交叉新闻学
'jie'shi'xing'bao'dao 解释性报道
'la'si'wei'er'mo'shi 拉斯韦尔模式
'liang'ji'chuan'bo'li'lun 两级传播理论
'lu'tou'she 路透社
'mei'jie'zheng'he 媒介整合
'mei'lian'she 美联社
'mi'er'dun 弥尔顿
'mian'yi'xiao'guo 免疫效果
'ni'tai'huan'jing 拟态环境
'qiang'xiao'guo'li'lun 强效果理论
'qun'ti'gan'ran 群体感染
'qun'ti'ji'hua 群体极化
'ruan'xin'wen 软新闻
'shang'xian'xiao'guo 上限效果
'she'hui'ze'ren'li'lun 社会责任理论
'shi'du'xiao'guo'li'lun 适度效果理论
'shi'yong'yu'man'zu'li'lun 使用与满足理论
'shou'zhong'ding'wei 受众定位
'te'gao 特稿
'wen'hua'di'guo'zhu'yi 文化帝国主义
'wen'hua'gui'fan 文化规范
'xin'wen'ben'yuan 新闻本源
'xin'wen'ce'hua 新闻策划
'xin'wen'chao'zuo 新闻炒作
'xin'wen'fa'zhi 新闻法治
'xin'wen'jia'zhi 新闻价值
'xin'wen'lai'yuan 新闻来源
'xin'wen'min'gan 新闻敏感
'xin'wen'shi'ye 新闻事业
'xin'wen'shu'ping 新闻述评
'xin'wen'te'xie 新闻特写
'xin'wen'ti'zhi 新闻体制
'xin'wen'xuan'ze 新闻选择
'xin'wen'zhi'dao'xing 新闻指导性
'xin'wen'zi'you 新闻自由
'xin'xian'xing 新鲜性
'xiu'mian'xiao'guo 休眠效果
'xuan'ze'xing'ji'yi 选择性记忆
'xuan'ze'xing'li'jie 选择性理解
'xuan'ze'xing'zhu'yi 选择性注意
'yi'jian'qi'hou 意见气候
'ying'xin'wen 硬新闻
'you'chang'xin'wen 有偿新闻
'yu'lun'jian'du 舆论监督
'yu'lun'yin'dao 舆论引导
'za'wen 杂文
'zhi'qing'quan 知情权
'zi'ben'zhu'yi 资本主义
'zi'wo'chuan'bo 自我传播
'zi'you'zhu'yi'li'lun 自由主义理论
