'ai'fu'nuan'gong'wan 艾附暖宫丸
'an'gong'niu'huang'wan 安宫牛黄丸
'ba'zhen'tang 八珍汤
'ba'zheng'san 八正散
'bai'du'san 败毒散
'bai'he'gu'jin'tang 百合固金汤
'bai'hu'jia'cang'zhu'tang 白虎加仓术汤
'bai'hu'jia'gui'zhi'tang 白虎加桂枝汤
'bai'hu'jia'ren'shen'tang 白虎加人参汤
'bai'hu'tang 白虎汤
'bai'tong'tang 白通汤
'bai'tou'weng'jia'gan'cao'e'jiao'tang 白头翁加甘草阿胶汤
'bai'tou'weng'tang 白头翁汤
'bai'zi'yang'xin'wan 柏子养心丸
'ban'xia'bai'zhu'tian'ma'tang 半夏白术天麻汤
'ban'xia'hou'po'tang 半夏厚朴汤
'ban'xia'xie'xin'tang 半夏泻心汤
'bao'chan'wu'you'san 保产无忧散
'bao'he'wan 保和丸
'bao'yin'jian 保阴煎
'bao'yuan'tang 保元汤
'bei'mu'gua'lou'san 贝母瓜蒌散
'bi'xie'fen'qing'yin 萆薢分清饮
'bi'yu'san 碧玉散
'bie'jia'jian'wan 鳖甲煎丸
'bu'dai'wan 布袋丸
'bu'fei'e'jiao'tang 补肺阿胶汤
'bu'yang'huan'wu'tang 补阳还五汤
'bu'zhong'yi'qi'tang 补中益气汤
'can'shi'tang 蚕矢汤
'cang'fu'dao'tan'wan 苍附导痰丸
'chai'ge'jie'ji'tang 柴葛解肌汤
'chai'hu'shu'gan'san 柴胡疏肝散
'chai'hu'xian'xiong'tang 柴胡陷胸汤
'chai'ping'tang 柴平汤
'chuan'xiong'cha'tiao'san 川芎茶调散
'ci'zhu'wan 磁朱丸
'cong'bai'qi'wei'yin 葱白七味饮
'da'bu'yin'wan 大补阴丸
'da'chai'hu'tang 大柴胡汤
'da'cheng'qi'tang 大承气汤
'da'ding'feng'zhu 大定风珠
'da'huang'fu'zi'tang 大黄附子汤
'da'huang'mu'dan'tang 大黄牡丹汤
'da'huo'luo'dan 大活络丹
'da'jian'zhong'tang 大建中汤
'da'qin'jiao'tang 大秦艽汤
'da'qing'long'tang 大青龙汤
'dai'huang'cuo'chong'wan 大黄错虫丸
'dan'shen'yin 丹参饮
'dang'gui'bu'xue'tang 当归补血汤
'dang'gui'jian'zhong'tang 当归建中汤
'dang'gui'liu'huang'tang 当归六黄汤
'dang'gui'long'hui'wan 当归龙荟丸
'dang'gui'nian'tong'tang 当归拈痛汤
'dang'gui'si'ni'tang 当归四逆汤
'dang'gui'yin'zi 当归饮子
'dao'chi'san 导赤散
