'a'ba 阿八
'a'feng'dun'gong'zuo'zhan 阿锋顿工作站
'a'ke'si'dun 阿克斯顿
'ai'guo'zhe 爱国者
'ai'hao'zhe 爱好者
'ai'ju 爱菊
'ai'zhi'zhong'quan 爱之重拳
'ai'zi 矮子
'ai'zi'chao'feng 矮子嘲讽
'an'zhong'tu'xi 暗中突袭
'an'zhuo'kuang'zao 安卓狂躁
'ang'zang'jing'xi 肮脏惊喜
'ao'tuo'ren'ou 奥托人偶
'ba'da'hong 吧嗒轰
'ba'wang'long 霸王龙
'bai'lian'cheng'gang 百炼成钢
'bai'zhe'bu'nao 百折不挠
'bao'bei'zhi'zao'zhe 宝贝制造者
'bao'dan'ju 爆蛋狙
'bao'ji'de 暴击的
'bao'ji'shang'hai 暴击伤害
'bao'ji'tian'guo 暴击天国
'bao'jian'qiang 保健枪
'bao'long'xue'xing 暴龙血性
'bao'luo 暴落
'bao'nue'zhi'quan 暴虐之拳
'bao'po'jian 爆破剑
'bao'po'zhe 爆破者
'bao'xian 保险
'bao'xin'jiu'huo 抱薪救火
'bao'zha 爆炸
'bao'zha'feng 爆炸疯
'bao'zha'pen'qiang 爆炸喷枪
'bao'zha'qiang 爆炸枪
'bao'zha'shang'hai 爆炸伤害
'bei'hai'wang'xiang 被害妄想
'bei'jia 贝嘉
'beng'beng'tu 蹦蹦兔
'bi'nan'suo 避难所
'bian'pai'wen'ti 编派问题
'bian'tai 变态
'bian'xing'jin'gang 变形金刚
'biao'ji 标记
'biao'zhun'dun 标准盾
'biao'zi 婊子
'bie'dong'dui'yuan 别动队员
'bing'bao 冰雹
'bing'du'feng'huang 病毒凤凰
'bing'huo'xia'gu 冰火峡谷
'bing'ku 冰窟
'bu'fen'bi'ci 不分彼此
'bu'he'xie'yin 不和谐音
'bu'jie'ha'luo'de 不洁哈罗德
'bu'li'ke 布里克
'bu'qiang'bing 步枪兵
'bu'xiu'sen'lin 不朽森林
'cai'dan'dao 踩旦岛
'cai'mi'shu 财迷鼠
'can'bao 残保
'can'xue'bao'hu 残血保护
'cha'hu 茶壶
'chai'lang 豺狼
'chang'bei'bu'xie 常备不懈
'chang'bi 长臂
'chang'gong 长弓
'chang'guan'qiang 长管枪
'chang'mao 长矛
'chao'ji'da'qiang 超级大枪
'chao'ji'hun'dan 超级混蛋
