'a'er'bu'lai'te 阿尔布莱特
'a'lai'ye'shi'she 阿赖耶识社
'ban'kou'da'zhu 阪口大助
'can'nian'zhi'shi 残念知识
'chang'yu'li'la 常羽莉拉
'chuan'shen'wu 川神舞
'fu'sai'ya'xue'yuan 弗塞亚学院
'guai'ling 怪灵
'guai'ling'tun'shi'zhe 怪灵吞噬者
'he'quan'ling'nai 和泉玲奈
'he'se'ya'xue'yuan 赫塞亚学院
'hua'dao'dong'hu 华岛冬湖
'ji'ye'ai'li'si 姬野爱丽丝
'jing'shang'xi'jiu'zi 井上喜久子
'jiu'ye'mei'xiao 久野美咲
'lu'lu 露露
'nao'gong'neng'yi'chang'dui'ce'shi 脑功能异常对策室
'nei'tian'zhen'li 内田真礼
'qin'ye'zong'yi'lang 秦野宗一郎
'shang'ban'jin 上坂堇
'shui'wu'lai'xiao'mi 水无濑小糸
'tian'suo'zi 田所梓
'wan'ou'da'shi 玩偶大师
'wu'cai'xian'de'guai'ling'shi'jie 无彩限的怪灵世界
'wu'xing'zhi'qi 五行之气
'xia'ye'hong 下野紘
'xiong'zhen'jiu'liu'mei 熊枕久瑠美
'yi'tiao'liu'bo 一条瑠波
'yi'tiao'qing'yan 一条晴彦
'zao'jian'sha'zhi 早见沙织
'zhu'qiao'xiang'jie 诸桥翔介
