'ai'qi'yi 爱奇艺
'ba'ding 坝顶
'ba'gao 坝高
'ba'qian 坝前
'bai'lan 摆烂
'ban'gong'yong 办公用
'bao'jie'yuan 保洁员
'bei'su 卑俗
'cha'bai 查摆
'chang'tai'hua 常态化
'chen'hui 晨会
'chen'jing'li 陈经理
'chen'zong 陈总
'chen'zuo'fu 陈作富
'cheng'gong'zhi'mu 成功之母
'cheng'nan 城南
'chong'dian'bao 充电宝
'chou'dao 抽到
'chu'shi 处室
'da'ming'hu 大明湖
'da'tu 大图
'dang'ri 党日
'dang'shu'ban 挡鼠板
'dao'dian 倒电
'dao'rong 刀容
'deng'bie 等别
'diao'du'zhi'ling 调度指令
'ding'sun 定损
'dong'tu 动图
'du'chang'ze 杜昌泽
'du'xun 度汛
'er'dang 二档
'er'huan 二环
'er'tong'men 儿童们
'er'wei'ma 二维码
'fang'hu'lan 防护栏
'fang'lang'qiang 防浪墙
'fang'shen 防渗
'fang'shen'ti 防渗体
'fang'shu 防鼠
'fen'hong'zha 分洪闸
'fu'pan 复盘
'gao'ba 高坝
'gao'ya'shi 高压室
'gei'ni 给你
'gong'kuang 工矿
'gong'zu 公租
'gong'zuo'jian'bao 工作简报
'gong'zuo'zha'men 工作闸门
'gong'zuo'zhong 工作中
'gu'qiu 鼓秋
'hong'yuan 洪园
'hong'zha 洪闸
'hu'mian 护面
'hu'shi 呼市
'hua'te 华特
'huan'shui 换水
'huang'dou'ya 黄豆芽
'ji'keng 基坑
'ji'liang'gui 计量柜
'ji'liao 集料
'ji'mu 几木
'jian'quan 建全
'jiao'tong'qiao 交通桥
'jiao'yu 交予
'jiao'zhuang 胶装
'jie'zhi'zha 节制闸
'jing'hui 敬辉
'jing'tou 境头
'jiu'xin 就信
'jun'zhi'ba 均质坝
'ka'cao 卡槽
'kou'ji 口技
'la'shan 腊山
'la'shan'fen'hong 腊山分洪
'la'shan'fen'hong'gong'cheng 腊山分洪工程
'la'shan'fen'hong'gong'cheng'shui'zha 腊山分洪工程水闸
'la'shan'shui'zha 腊山水闸
'la'shan'zha 腊山闸
'lai'wu'qu 莱芜区
'lan'hong 拦洪
'li'kai 李凯
'lin'shi'xing 临时性
'ling'yong 领用
'liu'qian 刘千
'liu'zhe 刘哲
'lou'xiang 漏项
'lun'zhi 轮职
'luo'kou 泺口
'ma'yan'hua 马延华
'ma'zhong'shan 马中山
'mei'pian 美篇
'na'ni 那你
'nei'ye 内页
'nian'xing 黏性
'nian'ya 碾压
'nie'zi'long 聂子龙
'niu'xian'hui 牛宪辉
'o'shen'me 哦什么
'pai'liang 排量
'qi'bi 启闭
'qi'bi'ji 启闭机
'qi'diao 起吊
'qi'ye'biao'zhun 企业标准
'qiang'pi 墙皮
'qiao'jia 桥架
'qie'er 锲而
'qing'yun 清运
'qing'zheng 清整
'qu'na 去哪
'quan'li 劝离
'ren'she 人社
'ru'huang 入黄
'sai'bo 赛博
'sha'wan'yi 啥玩意
'shi'cao 实操
'shi'gong'qi 施工期
'shi'shi'hou'guo 失事后果
'shi'xi'qi 实习期
'shi'yong'nian'xian 使用年限
'shou'dao'cheng'fa 受到惩罚
'shou'ji'hao 手机号
'shu'niu'zha 枢纽闸
'shui'chi 水尺
'shui'gong'jian'zhu'wu 水工建筑物
'shui'hui 睡会
'si'bu'liang'zhi 四不两直
'song'zhuang 宋庄
'sun'jing'qi 孙靖淇
'te'si'la 特斯拉
'tian'mu 天幕
'tu'huang 土黄
'tu'liao 土料
'tui'yan 推演
'wang'ao'ran 王傲然
'wang'chao 王超
'wang'deng'qing 王登庆
'wang'die 王碟
'wang'hong 网红
'wang'hua'ke'zhang 王华科长
'wang'ke 王科
'wang'tao 王涛
'wei'wang 围网
'wei'xiu'yang'hu 维修养护
'wo'xi'huan 我喜欢
'wu'xian 五险
'xi'shui'lv 吸水率
'xian'cao 线槽
'xiang'jiao'ba 橡胶坝
'xiang'mu'fu'ze'ren 项目负责人
'xiao'hong'shu 小红书
'xiao'zha 小闸
'xing'ji'he 兴济河
'xing'li 兴利
'xiu'biao 袖标
'xiu'shu 修树
'xu'bing 徐冰
'xu'du'nian'hua 虚度年华
'xun'he 巡河
'xun'qian 汛前
'yan'shu'shu 闫淑淑
'yan'wei'jia 燕尾夹
'ye'ya'biao 液压标
'ye'ya'zhan 液压站
'yi'bu 移步
'yi'qing'fang'kong 疫情防控
'yi'zhong'ren 一种人
'yin'hang'ka 银行卡
'ying'ji'chang'kong 鹰击长空
'ying'jian 迎检
'yong'che'ren 用车人
'yong'shui 壅水
'you'wei 油位
'yu'fu'he'fu'wu'chu 玉符河服务处
'yu'xiang'qian'di 鱼翔浅底
'yue'xiu 月休
'yun'wei'bu 运维部
'zao'ci 造词
'zha'ba 闸坝
'zha'qu 闸区
'zha'shi 闸室
'zhai'zhi'hao 翟志豪
'zhan'wei 战位
'zhang'feng 张凤
'zhang'feng 张峰
'zhang'hai'qiang 张海强
'zhang'hai'yang 张海洋
'zhang'hao 张浩
'zhang'qi 张琦
'zhang'qiu 章丘
'zhang'san'feng 张三丰
'zhang'xu 张旭
'zhao'jian 找见
'zhi'fou 知否
'zhi'hui'chu 指挥处
'zhi'shui 止水
'zhi'yu 致于
'zhong'li'ba 重力坝
'zhou'tou 洲头
'zhu'gan 竹杆
'zhu'yue'long 朱跃龙
'zhu'zong 朱总
'zi'liao'yuan 资料员
'zi'pen'qi 自喷漆
'zong'he'ke 综合科
'zou'jun 邹军
'zou'zhe 走着
'zuo'feng'jian'she 作风建设
