'a'bao'zhi'gong 阿保之功
'a'bi'di'yu 阿鼻地狱
'a'gu'a'weng 阿姑阿翁
'a'jiao'jin'wu 阿娇金屋
'a'mao'a'gou 阿猫阿狗
'a'ping'jue'dao 阿平绝倒
'ai'ai'fu'mu 哀哀父母
'ai'ai'pang'pang 矮矮胖胖
'ai'ai'yu'jue 哀哀欲绝
'ai'bie'li'ku 爱别离苦
'ai'bing'bi'sheng 哀兵必胜
'ai'bu'ren'shi 爱不忍释
'ai'bu'shi'shou 爱不释手
'ai'cai'ru'ke 爱才如渴
'ai'cai'ru'ming 爱才如命
'ai'cai'ru'ming 爱财如命
'ai'cai'ruo'ke 爱才若渴
'ai'da'shou'ma 挨打受骂
'ai'dong'shou'e 挨冻受饿
'ai'e'shou'dong 挨饿受冻
'ai'er'bu'shang 哀而不伤
'ai'feng'ji'feng 挨风缉缝
'ai'fu'xian'pin 爱富嫌贫
'ai'gan'tian'di 哀感天地
'ai'gan'wan'yan 哀感顽艳
'ai'gan'zhong'nian 哀感中年
'ai'gao'bin'fu 哀告宾服
'ai'guo'ru'jia 爱国如家
'ai'he'shi'zhong 爱鹤失众
'ai'hong'bian'di 哀鸿遍地
'ai'hong'bian'ye 哀鸿遍野
'ai'hui'gu'li 哀毁骨立
'ai'hui'ji'li 哀毁瘠立
'ai'jia'ai'hu 挨家挨户
'ai'jian'bing'zu 挨肩并足
'ai'jian'ca'bang 挨肩擦膀
'ai'jian'ca'bei 挨肩擦背
'ai'jian'ca'lian 挨肩擦脸
'ai'jian'da'bei 挨肩搭背
'ai'jian'die'bei 挨肩叠背
'ai'jian'die'bei 挨肩迭背
'ai'jin'wu'xi 哀矜勿喜
'ai'kou'shi'xiu 碍口识羞
'ai'li'bu'li 爱理不理
'ai'li'cun'yang 爱礼存羊
'ai'li'zheng'shi 哀梨蒸食
'ai'mao'fan'qiu 爱毛反裘
'ai'mei'bu'ming 暧昧不明
'ai'mei'zhi'qing 暧昧之情
'ai'men'ai'hu 挨门挨户
'ai'men'zhu'hu 挨门逐户
'ai'min'ru'zi 爱民如子
'ai'mo'da'yu'xin'si 哀莫大于心死
'ai'mo'neng'zhu 爱莫能助
'ai'mo'zhi'zhu 爱莫之助
'ai'nan'cong'ming 碍难从命
'ai'qian'ru'ming 爱钱如命
'ai'ran'ke'qin 蔼然可亲
'ai'ran'ren'zhe 蔼然仁者
'ai'ren'guan'chang 矮人观场
'ai'ren'hao'shi 爱人好士
'ai'ren'kan'chang 矮人看场
'ai'ren'li'wu 爱人利物
'ai'ren'yi'de 爱人以德
'ai'ri'xi'li 爱日惜力
'ai'ru'ji'chu 爱如己出
'ai'ru'zhen'bao 爱如珍宝
'ai'san'ding'si 捱三顶四
'ai'san'ding'wu 挨三顶五
'ai'san'ding'wu 捱三顶五
'ai'sheng'tan'qi 哀声叹气
'ai'sheng'tan'qi 唉声叹气
'ai'sheng'tan'qi 嗳声叹气
'ai'shou'ai'jiao 碍手碍脚
'ai'si'hao'zhu 哀丝豪竹
'ai'si'ru'chao 哀思如潮
'ai'su'hao'gu 爱素好古
'ai'tian'jiao'di 哀天叫地
'ai'tong'yu'jue 哀痛欲绝
'ai'wu'ji'wu 爱屋及乌
'ai'xi'yu'mao 爱惜羽毛
'ai'zeng'fen'ming 爱憎分明
'ai'zi'guan'chang 矮子观场
'ai'zi'kan'xi 矮子看戏
'ai'zi'li'ba'jiang'jun 矮子里拔将军
'an'an'fen'fen 安安分分
'an'an'jing'jing 安安静静
'an'an'wen'wen 安安稳稳
'an'an'xin'xin 安安心心
'an'an'yi'yi 安安逸逸
'an'bang'ding'guo 安邦定国
'an'bang'zhi'guo 安邦治国
'an'bing'bu'dong 按兵不动
'an'bing'shu'jia 按兵束甲
'an'bu'dang'che 安步当车
'an'bu'jiu'ban 按部就班
'an'bu'wang'wei 安不忘危
'an'cang'sha'ji 暗藏杀机
'an'chang'chu'shun 安常处顺
'an'chang'lv'shun 安常履顺
'an'chang'shou'fen 安常守分
'an'chang'shou'gu 安常守故
'an'chang'xi'gu 安常习故
'an'che'pu'lun 安车蒲轮
'an'chui'da'ren 暗锤打人
'an'dan'wu'guang 暗淡无光
'an'dan'wu'guang 黯淡无光
'an'ding'tuan'jie 安定团结
'an'dou'ming'zheng 暗斗明争
'an'du'chen'cang 暗度陈仓
'an'du'chen'cang 暗渡陈仓
'an'du'jin'zhen 暗度金针
'an'du'le'ye 安堵乐业
'an'du'ru'gu 安堵如故
'an'du'zhi'lao 案牍之劳
'an'fen'shou'ji 安份守己
'an'fen'shou'ji 安分守己
'an'fen'zhi'zu 安分知足
'an'fu'xu'pin 安富恤贫
'an'fu'xu'qiong 安富恤穷
'an'fu'zun'rong 安富尊荣
'an'gu'zhi'bian 岸谷之变
'an'gu'zhong'qian 安故重迁
'an'guo'fu'min 安国富民
'an'guo'ning'jia 安国宁家
'an'hui'xiao'chen 黯晦消沉
'an'hun'ding'po 安魂定魄
'an'jia'le'ye 安家乐业
'an'jia'li'ye 安家立业
'an'jia'luo'hu 安家落户
'an'jia'qin'bing 按甲寝兵
'an'jia'xiu'bing 按甲休兵
'an'jian'ming'qiang 暗箭明枪
'an'jian'nan'fang 暗箭难防
'an'jian'shang'ren 暗箭伤人
'an'jian'zhong'ren 暗箭中人
'an'jiao'xian'tan 暗礁险滩
'an'ju'le'ye 安居乐业
'an'lao'huai'shao 安老怀少
'an'lao'qu'chou 按劳取酬
'an'liang'chu'bao 安良除暴
'an'ma'lao'dun 鞍马劳顿
'an'ma'lao'juan 鞍马劳倦
'an'ma'lao'kun 鞍马劳困
'an'ma'zhi'lao 鞍马之劳
'an'mei'dai'yan 安眉带眼
'an'mei'zhi'shi 暗昧之事
'an'min'gao'shi 安民告示
